Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Asset-class_Australian_Shares_Index_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,,37413008.0,0.46,,ART,0.4648371448225833
Asset-class_Australian_Shares_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,AUD,,6870791.0,0.09,,ART,0.08536600080679697
Asset-class_Australian_Shares_Index_Superannuation,Cash,JPMORGAN CHASE & CO,AUD,,4803976.0,0.06,,ART,0.059686900546361166
Asset-class_Australian_Shares_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,,142.0,0.0,,ART,1.764276065821995e-06
Asset-class_Australian_Shares_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,NZD,,7.0,0.0,,ART,8.697135535742229e-08
Asset-class_Australian_Shares_Index_Superannuation,Cash,,,,,,,ART,
Asset-class_Australian_Shares_Index_Superannuation,Equity,CommBank,,CBA AU,942154304.0,11.71,Listed,ART,11.705776682101268
Asset-class_Australian_Shares_Index_Superannuation,Equity,BHP,,BHP AU,569170744.0,7.07,Listed,ART,7.071650147924633
Asset-class_Australian_Shares_Index_Superannuation,Equity,NAB,,NAB AU,364352332.0,4.53,Listed,ART,4.526888020239643
Asset-class_Australian_Shares_Index_Superannuation,Equity,Westpac,,WBC AU,353456446.0,4.39,Listed,ART,4.391512309776792
Asset-class_Australian_Shares_Index_Superannuation,Equity,Csl,,CSL AU,352132224.0,4.38,Listed,ART,4.37505954090049
Asset-class_Australian_Shares_Index_Superannuation,Equity,Wesfarmers,,WES AU,292477013.0,3.63,Listed,ART,3.63387460450006
Asset-class_Australian_Shares_Index_Superannuation,Equity,Anz,,ANZ AU,263464341.0,3.27,Listed,ART,3.27340726073144
Asset-class_Australian_Shares_Index_Superannuation,Equity,Macquarie,,MQG AU,256575948.0,3.19,Listed,ART,3.187822564239358
Asset-class_Australian_Shares_Index_Superannuation,Equity,Telstra,,TLS AU,172560005.0,2.14,Listed,ART,2.143968216476224
Asset-class_Australian_Shares_Index_Superannuation,Equity,Woodside Energy,,WDS AU,136553311.0,1.7,Listed,ART,1.6966037908876574
Asset-class_Australian_Shares_Index_Superannuation,Equity,Rio Tinto,,RIO AU,124095350.0,1.54,Listed,ART,1.5418201118648136
Asset-class_Australian_Shares_Index_Superannuation,Equity,Woolworths,,WOW AU,114775744.0,1.43,Listed,ART,1.426028859690933
Asset-class_Australian_Shares_Index_Superannuation,Equity,Aristocrat Leisure,,ALL AU,113997195.0,1.42,Listed,ART,1.4163557937277664
Asset-class_Australian_Shares_Index_Superannuation,Equity,Qbe Insurance,,QBE AU,109309559.0,1.36,Listed,ART,1.3581143571074454
Asset-class_Australian_Shares_Index_Superannuation,Equity,Brambles,,BXB AU,99705398.0,1.24,Listed,ART,1.238787657215889
Asset-class_Australian_Shares_Index_Superannuation,Equity,Xero,,XRO AU,84858772.0,1.05,Listed,ART,1.054326059258068
Asset-class_Australian_Shares_Index_Superannuation,Equity,Coles,,COL AU,83838773.0,1.04,Listed,ART,1.0416531027590374
Asset-class_Australian_Shares_Index_Superannuation,Equity,Fortescue,,FMG AU,79416905.0,0.99,Listed,ART,0.9867136951630926
Asset-class_Australian_Shares_Index_Superannuation,Equity,Northern Star Resources,,NST AU,79095114.0,0.98,Listed,ART,0.9827156095328325
Asset-class_Australian_Shares_Index_Superannuation,Equity,Santos,,STO AU,77625467.0,0.96,Listed,ART,0.9644560107489797
Asset-class_Australian_Shares_Index_Superannuation,Equity,Suncorp,,SUN AU,73295350.0,0.91,Listed,ART,0.9106565615566631
Asset-class_Australian_Shares_Index_Superannuation,Equity,Resmed,,RMD AU,71837276.0,0.89,Listed,ART,0.8925407512721748
Asset-class_Australian_Shares_Index_Superannuation,Equity,Insurance Australia,,IAG AU,69527333.0,0.86,Listed,ART,0.8638409121995477
Asset-class_Australian_Shares_Index_Superannuation,Equity,Computershare,,CPU AU,65893219.0,0.82,Listed,ART,0.8186889378990644
Asset-class_Australian_Shares_Index_Superannuation,Equity,Wisetech Global,,WTC AU,65800038.0,0.82,Listed,ART,0.8175312124899845
Asset-class_Australian_Shares_Index_Superannuation,Equity,Cochlear,,COH AU,61098389.0,0.76,Listed,ART,0.7591156716407174
Asset-class_Australian_Shares_Index_Superannuation,Equity,Origin Energy,,ORG AU,56544470.0,0.7,Listed,ART,0.702535599123872
Asset-class_Australian_Shares_Index_Superannuation,Equity,James Hardie Industries,,JHX AU,54984975.0,0.68,Listed,ART,0.6831596857205687
Asset-class_Australian_Shares_Index_Superannuation,Equity,Qantas Airways,,QAN AU,51874700.0,0.64,Listed,ART,0.6445161382513821
Asset-class_Australian_Shares_Index_Superannuation,Equity,Pro Medicus,,PME AU,49992978.0,0.62,Listed,ART,0.6211367221448278
Asset-class_Australian_Shares_Index_Superannuation,Equity,Evolution Mining,,EVN AU,49946005.0,0.62,Listed,ART,0.6205531070769416
Asset-class_Australian_Shares_Index_Superannuation,Equity,Asx,,ASX AU,47640537.0,0.59,Listed,ART,0.5919088675493465
Asset-class_Australian_Shares_Index_Superannuation,Equity,Medibank Pvt,,MPL AU,46638333.0,0.58,Listed,ART,0.5794570046601136
Asset-class_Australian_Shares_Index_Superannuation,Equity,Car,,CAR AU,42532734.0,0.53,Listed,ART,0.528447074719531
Asset-class_Australian_Shares_Index_Superannuation,Equity,Sigma Healthcare,,SIG AU,42019721.0,0.52,Listed,ART,0.5220731553015343
Asset-class_Australian_Shares_Index_Superannuation,Equity,Technology One,,TNE AU,41848280.0,0.52,Listed,ART,0.5199430901395583
Asset-class_Australian_Shares_Index_Superannuation,Equity,Sonic Healthcare,,SHL AU,41620515.0,0.52,Listed,ART,0.5171132286034178
