Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Diversified_High_Growth_Index_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,USD,,2020402.0,0.24,,ART,0.23651527753611
Diversified_High_Growth_Index_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,,1565128.0,0.18,,ART,0.18321932135265
Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,,1209427.0,0.14,,ART,0.14157972649238365
Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,,461278.0,0.05,,ART,0.0539988052829594
Diversified_High_Growth_Index_Superannuation,Cash,WESTPAC BANKING CORPORATION,AUD,,331276.0,0.04,,ART,0.03878031950129349
Diversified_High_Growth_Index_Superannuation,Cash,JPMORGAN CHASE & CO,AUD,,287104.0,0.03,,ART,0.033609391715969064
Diversified_High_Growth_Index_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,,194328.0,0.02,,ART,0.022748710827368603
Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,,168386.0,0.02,,ART,0.01971185017793262
Diversified_High_Growth_Index_Superannuation,Cash,HONGKONG & SHANGHAI BANKING CORP. LTD.,AUD,,147323.0,0.02,,ART,0.017246142219445603
Diversified_High_Growth_Index_Superannuation,Cash,JPMORGAN CHASE & CO,USD,,132380.0,0.02,,ART,0.015496862723472971
Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,,97177.0,0.01,,ART,0.011375877238849775
Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,CAD,,69205.0,0.01,,ART,0.008101377736651661
Diversified_High_Growth_Index_Superannuation,Cash,BNP PARIBAS,AUD,,51790.0,0.01,,ART,0.006062717332290869
Diversified_High_Growth_Index_Superannuation,Cash,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,,50900.0,0.01,,ART,0.0059585308401931885
Diversified_High_Growth_Index_Superannuation,Cash,BARCLAYS BANK PLC,AUD,,49884.0,0.01,,ART,0.005839594350337859
Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,HKD,,48188.0,0.01,,ART,0.005641054697980931
Diversified_High_Growth_Index_Superannuation,Cash,"CITIGROUP, INC.",AUD,,46623.0,0.01,,ART,0.005457850360752987
Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,CNY,,46008.0,0.01,,ART,0.005385856324078747
Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,SAR,,43485.0,0.01,,ART,0.005090505178502963
Diversified_High_Growth_Index_Superannuation,Cash,MORGAN STANLEY,AUD,,35486.0,0.0,,ART,0.004154114447840776
