Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,AUD,,9078263.0,1.11,,ART,1.1159843831264753
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,,2254546.0,0.28,,ART,0.27714972864745846
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,,741455.0,0.09,,ART,0.09114653329508528
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,EUR,,704736.0,0.09,,ART,0.08663269286503593
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,JPY,,493521.0,0.06,,ART,0.060668183852457376
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,GBP,,311994.0,0.04,,ART,0.03835319946438669
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,USD,,286543.0,0.04,,ART,0.035224526222054776
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,,266796.0,0.03,,ART,0.0327970416235585
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,AUD,,211733.0,0.03,,ART,0.026028186382407954
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,CAD,,140486.0,0.02,,ART,0.017269843586587657
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,CNY,,110602.0,0.01,,ART,0.013596224822144325
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,HKD,,95395.0,0.01,,ART,0.011726839179295654
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,CAD,,74493.0,0.01,,ART,0.009157371256179792
Diversified_Socially_Conscious_Balanced_Superannuation,Cash,HONGKONG & SHANGHAI BANKING CORP. LTD.,USD,,65624.0,0.01,,ART,0.008067111424100824
