Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AUD,,178054161.0,0.67,,ART,0.6775949401262816
Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,USD,,110180342.0,0.42,,ART,0.4192973745813401
Lifecycle_Balanced_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,,84586808.0,0.32,,ART,0.32189976791518665
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,,75998760.0,0.29,,ART,0.28921747710165363
Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,AUD,,75349542.0,0.28,,ART,0.2867468421590706
Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,EUR,,44506957.0,0.17,,ART,0.16937368211023157
Lifecycle_Balanced_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,USD,,36372610.0,0.14,,ART,0.13841797550121052
Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,JPY,,33171168.0,0.13,,ART,0.12623471121732915
Lifecycle_Balanced_Pool_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,,32199014.0,0.12,,ART,0.1225351254973216
Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,GBP,,19238145.0,0.07,,ART,0.07321182294310843
Lifecycle_Balanced_Pool_Superannuation,Cash,NBN CO. LTD.,AUD,,10030386.0,0.04,,ART,0.03817118770458554
Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,CAD,,9518449.0,0.04,,ART,0.03622298318684092
Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,USD,,6243143.0,0.02,,ART,0.023758625372898835
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,,5840956.0,0.02,,ART,0.022228080539495203
Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,KRW,,5288020.0,0.02,,ART,0.020123852063679542
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,,5242208.0,0.02,,ART,0.01994951196838087
Lifecycle_Balanced_Pool_Superannuation,Cash,SCENTRE GROUP LTD,AUD,,4579390.0,0.02,,ART,0.017427121474936455
Lifecycle_Balanced_Pool_Superannuation,Cash,TELSTRA GROUP LTD,AUD,,4252869.0,0.02,,ART,0.016184527782082663
Lifecycle_Balanced_Pool_Superannuation,Cash,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD.,AUD,,4202675.0,0.02,,ART,0.015993511743852034
Lifecycle_Balanced_Pool_Superannuation,Cash,GPT RE LTD,AUD,,3708232.0,0.01,,ART,0.014111881608958083
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,,2416142.0,0.01,,ART,0.0091947617771572
Lifecycle_Balanced_Pool_Superannuation,Cash,WOOLWORTHS GROUP LTD,AUD,,2178721.0,0.01,,ART,0.008291243053549713
Lifecycle_Balanced_Pool_Superannuation,Cash,BENDIGO & ADELAIDE BANK LTD.,AUD,,2101337.0,0.01,,ART,0.007996753969148411
Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",USD,,1763829.0,0.01,,ART,0.0067123486411979965
Lifecycle_Balanced_Pool_Superannuation,Cash,MORGAN STANLEY,EUR,,1679311.0,0.01,,ART,0.006390710725925726
Lifecycle_Balanced_Pool_Superannuation,Cash,PACCAR FINANCIAL PTY LTD,AUD,,1636053.0,0.01,,ART,0.006226090018634407
Lifecycle_Balanced_Pool_Superannuation,Cash,BNP PARIBAS,AUD,,1466985.0,0.01,,ART,0.005582692410323134
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CNY,,956432.0,0.0,,ART,0.0036397547809897002
Lifecycle_Balanced_Pool_Superannuation,Cash,DEXUS FINANCE PTY LTD,AUD,,871404.0,0.0,,ART,0.0033161760325601283
Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",KRW,,701363.0,0.0,,ART,0.002669075619029141
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,HKD,,546586.0,0.0,,ART,0.0020800632002296415
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CAD,,544296.0,0.0,,ART,0.002071348478797834
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SAR,,495915.0,0.0,,ART,0.001887231912163653
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,COP,,441460.0,0.0,,ART,0.0016800004031815258
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,DKK,,353890.0,0.0,,ART,0.0013467479334071267
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,BRL,,339402.0,0.0,,ART,0.001291613049518906
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SEK,,320612.0,0.0,,ART,0.0012201066671155606
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PEN,,315124.0,0.0,,ART,0.001199221780120906
Lifecycle_Balanced_Pool_Superannuation,Cash,STANDARD CHARTERED BANK,AUD,,299631.0,0.0,,ART,0.0011402623132462369
Lifecycle_Balanced_Pool_Superannuation,Cash,MORGAN STANLEY,USD,,247097.0,0.0,,ART,0.0009403412758232807
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,ILS,,224011.0,0.0,,ART,0.000852486228236073
Lifecycle_Balanced_Pool_Superannuation,Cash,BARCLAYS BANK PLC,USD,,216927.0,0.0,,ART,0.000825527675125626
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,KRW,,212742.0,0.0,,ART,0.0008096014265701176
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,MXN,,208165.0,0.0,,ART,0.000792183400372134
Lifecycle_Balanced_Pool_Superannuation,Cash,SOCIETE GENERALE,AUD,,197696.0,0.0,,ART,0.0007523430428744959
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,MYR,,197125.0,0.0,,ART,0.0007501700708493595
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,ZAR,,193471.0,0.0,,ART,0.0007362645721105717
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,THB,,192500.0,0.0,,ART,0.0007325693780012768
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,KWD,,183423.0,0.0,,ART,0.0006980263533565102
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,IDR,,182066.0,0.0,,ART,0.0006928622149360025
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,NOK,,168224.0,0.0,,ART,0.0006401857197136977
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PLN,,154084.0,0.0,,ART,0.0005863751690386948
Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,JPY,,140578.0,0.0,,ART,0.0005349773403670832
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CZK,,136228.0,0.0,,ART,0.0005184231752018595
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,INR,,127933.0,0.0,,ART,0.00048685609473162264
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AED,,126092.0,0.0,,ART,0.0004798500675892832
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,QAR,,107216.0,0.0,,ART,0.0004080164074378437
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CHF,,104632.0,0.0,,ART,0.0003981828527741798
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,NZD,,104423.0,0.0,,ART,0.000397387491735207
Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,GBP,,100445.0,0.0,,ART,0.0003822489931082507
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PHP,,90168.0,0.0,,ART,0.0003431393022110085
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,HUF,,85047.0,0.0,,ART,0.00032365105397856933
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,TRY,,78187.0,0.0,,ART,0.00029754494523525114
Lifecycle_Balanced_Pool_Superannuation,Cash,"CITIGROUP, INC.",JPY,,77821.0,0.0,,ART,0.0002961521120282461
Lifecycle_Balanced_Pool_Superannuation,Cash,"CITIGROUP, INC.",USD,,62534.0,0.0,,ART,0.00023797658952691872
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,TWD,,38902.0,0.0,,ART,0.00014804370879483467
Lifecycle_Balanced_Pool_Superannuation,Cash,UBS AG,AUD,,27803.0,0.0,,ART,0.00010580585151464677
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CLP,,25371.0,0.0,,ART,9.655074124296309e-05
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,RON,,16440.0,0.0,,ART,6.256332765891425e-05
Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,EUR,,15066.0,0.0,,ART,5.733449479982981e-05
Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,CAD,,7195.0,0.0,,ART,2.7380969738800974e-05
Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",GBP,,4141.0,0.0,,ART,1.5758804126250847e-05
Lifecycle_Balanced_Pool_Superannuation,Cash,BARCLAYS BANK PLC,EUR,,2186.0,0.0,,ART,8.318943689926188e-06
Lifecycle_Balanced_Pool_Superannuation,Cash,"CITIGROUP, INC.",GBP,,164.0,0.0,,ART,6.24111054504984e-07
Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,SGD,,137.0,0.0,,ART,5.213610638242853e-07
Lifecycle_Balanced_Pool_Superannuation,Cash,"CITIGROUP, INC.",EUR,,77.0,0.0,,ART,2.9302775120051077e-07
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,EGP,,5.0,0.0,,ART,1.902777605198122e-08
Lifecycle_Balanced_Pool_Superannuation,Cash,BARCLAYS BANK PLC,GBP,,-4.0,0.0,,ART,-1.5222220841584976e-08
Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",CAD,,-9827.0,0.0,,ART,-3.739719105256389e-05
Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,HKD,,-14074.0,0.0,,ART,-5.355938403111673e-05
Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",MXN,,-33515.0,0.0,,ART,-0.0001275431828764301
Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",SEK,,-41923.0,0.0,,ART,-0.00015954029108544173
Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",EUR,,-177450.0,0.0,,ART,-0.0006752957720848134
Lifecycle_Balanced_Pool_Superannuation,Cash,BANK OF AMERICA NATIONAL ASSOCIATION,AUD,,-188429.0,0.0,,ART,-0.0007170769627397538
Lifecycle_Balanced_Pool_Superannuation,Cash,ROYAL BANK OF CANADA,AUD,,-438697.0,0.0,,ART,-0.001669485654135201
Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",JPY,,-761674.0,0.0,,ART,-0.0028985924593233486
Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SGD,,-790570.0,0.0,,ART,-0.0030085577826829586
Lifecycle_Balanced_Pool_Superannuation,Cash,MORGAN STANLEY,AUD,,-2188594.0,-0.01,,ART,-0.008328815300141956
Lifecycle_Balanced_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",AUD,,-2382729.0,-0.01,,ART,-0.009067606760912231
Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,AUD,,-2891479.0,-0.01,,ART,-0.011003682974201321
Lifecycle_Balanced_Pool_Superannuation,Cash,"CITIGROUP, INC.",AUD,,-3400950.0,-0.01,,ART,-0.012942502992797107
Lifecycle_Balanced_Pool_Superannuation,Cash,BARCLAYS BANK PLC,AUD,,-3638578.0,-0.01,,ART,-0.013846809466333144
Lifecycle_Balanced_Pool_Superannuation,Cash,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,,-3638589.0,-0.01,,ART,-0.013846851327440457
Lifecycle_Balanced_Pool_Superannuation,Cash,HONGKONG & SHANGHAI BANKING CORP. LTD.,AUD,,-10746561.0,-0.04,,ART,-0.040896631207391065
Lifecycle_Balanced_Pool_Superannuation,Cash,WESTPAC BANKING CORPORATION,AUD,,-24420497.0,-0.09,,ART,-0.09293354959881583
Lifecycle_Balanced_Pool_Superannuation,Cash,,,,,,,ART,
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,COMMONWEALTH BANK OF AUSTRALIA,,,149960411.0,0.57,,ART,0.5706826234342122
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,,,113820826.0,0.43,,ART,0.4331514374359043
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,NATIONAL AUSTRALIA BANK LIMITED,,,112787283.0,0.43,,ART,0.4292182324870857
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,WESTPAC BANKING CORPORATION,,,111069813.0,0.42,,ART,0.4226823055798865
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,BANK OF CHINA LTD.,,,68003836.0,0.26,,ART,0.25879235241673165
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,MIZUHO BANK LTD.,,,56479389.0,0.21,,ART,0.2149354330889463
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD.,,,53026959.0,0.2,,ART,0.201797020113918
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,SUMITOMO MITSUI BANKING CORP.,,,31558247.0,0.12,,ART,0.12009665130182164
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,STANDARD CHARTERED BANK,,,29657564.0,0.11,,ART,0.11286349720786007
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",,,28444559.0,0.11,,ART,0.10824733970987337
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,SUNCORP GROUP LTD.,,,25216048.0,0.1,,ART,0.09596106285200177
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,DBS BANK LTD.,,,16810698.0,0.06,,ART,0.06397403936429771
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,AGRICULTURAL BANK OF CHINA LTD.,,,9029154.0,0.03,,ART,0.03436094405017009
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,GOLDMAN SACHS BANK USA,,,5495602.0,0.02,,ART,0.02091381682536402
Lifecycle_Balanced_Pool_Superannuation,Fixed Income Internally Managed,BENDIGO & ADELAIDE BANK LTD.,,,4202675.0,0.02,,ART,0.015993511743852034
