Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Super_Fund,Weighting_Percentage_Clean
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AUD,,475714554.0,0.69,,ART,0.6936517347615916
Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,USD,,330478367.0,0.48,,ART,0.48187908198984375
Lifecycle_High_Growth_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,,265371691.0,0.38,,ART,0.3869453483627643
Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,AUD,,135545613.0,0.2,,ART,0.19764257537677382
Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,EUR,,128489299.0,0.19,,ART,0.1873535808400994
Lifecycle_High_Growth_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,USD,,109625265.0,0.16,,ART,0.15984744339133503
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,,106683317.0,0.15,,ART,0.15555771267651985
Lifecycle_High_Growth_Pool_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,,93838597.0,0.14,,ART,0.13682849315693604
Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,JPY,,74310888.0,0.11,,ART,0.10835463397000533
Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,GBP,,29809591.0,0.04,,ART,0.043466138119632826
Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,CAD,,27763469.0,0.04,,ART,0.04048263453980782
Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,USD,,15805163.0,0.02,,ART,0.023045918273796855
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,,15107651.0,0.02,,ART,0.022028857927947048
Lifecycle_High_Growth_Pool_Superannuation,Cash,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD.,AUD,,10692688.0,0.02,,ART,0.015591285820665586
Lifecycle_High_Growth_Pool_Superannuation,Cash,MUFG BANK LTD.,AUD,,6265196.0,0.01,,ART,0.009135444853388667
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,,5859865.0,0.01,,ART,0.008544421204987421
Lifecycle_High_Growth_Pool_Superannuation,Cash,BENDIGO & ADELAIDE BANK LTD.,AUD,,5843796.0,0.01,,ART,0.008520990579138032
Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,KRW,,4001071.0,0.01,,ART,0.005834065442644196
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,,3655688.0,0.01,,ART,0.005330453528540002
Lifecycle_High_Growth_Pool_Superannuation,Cash,MEMBERS EQUITY BANK LTD.,AUD,,3270180.0,0.0,,ART,0.004768334310794833
Lifecycle_High_Growth_Pool_Superannuation,Cash,NBN CO. LTD.,AUD,,2646392.0,0.0,,ART,0.00385877284229399
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CNY,,1848725.0,0.0,,ART,0.002695673892178467
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,HKD,,1643682.0,0.0,,ART,0.0023966953735378095
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SAR,,1490410.0,0.0,,ART,0.0021732054933219966
Lifecycle_High_Growth_Pool_Superannuation,Cash,SCENTRE GROUP LTD,AUD,,1208214.0,0.0,,ART,0.0017617281834586076
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CAD,,1170324.0,0.0,,ART,0.001706479791310158
Lifecycle_High_Growth_Pool_Superannuation,Cash,TELSTRA GROUP LTD,AUD,,1122066.0,0.0,,ART,0.001636113549338665
Lifecycle_High_Growth_Pool_Superannuation,Cash,MORGAN STANLEY,USD,,1006467.0,0.0,,ART,0.0014675556479407078
Lifecycle_High_Growth_Pool_Superannuation,Cash,GPT RE LTD,AUD,,978371.0,0.0,,ART,0.0014265881413214722
Lifecycle_High_Growth_Pool_Superannuation,Cash,STANDARD CHARTERED BANK,AUD,,937691.0,0.0,,ART,0.0013672715777796691
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SEK,,934305.0,0.0,,ART,0.0013623343633216419
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,DKK,,811773.0,0.0,,ART,0.0011836672747300926
Lifecycle_High_Growth_Pool_Superannuation,Cash,SOCIETE GENERALE,AUD,,618681.0,0.0,,ART,0.0009021148192872742
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,ILS,,599165.0,0.0,,ART,0.0008736580332970621
Lifecycle_High_Growth_Pool_Superannuation,Cash,WOOLWORTHS GROUP LTD,AUD,,574828.0,0.0,,ART,0.0008381716221142483
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,KWD,,551400.0,0.0,,ART,0.0008040106474176563
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,ZAR,,544136.0,0.0,,ART,0.0007934188205354622
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,MXN,,505744.0,0.0,,ART,0.0007374384491613985
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,MYR,,504070.0,0.0,,ART,0.0007349975463253863
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,BRL,,494152.0,0.0,,ART,0.00072053585317869
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,THB,,455801.0,0.0,,ART,0.0006646152649684714
Lifecycle_High_Growth_Pool_Superannuation,Cash,PACCAR FINANCIAL PTY LTD,AUD,,431652.0,0.0,,ART,0.0006294029814637762
Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",USD,,420534.0,0.0,,ART,0.0006131915371801536
Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,JPY,,415783.0,0.0,,ART,0.0006062639808038727
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,IDR,,413613.0,0.0,,ART,0.0006030998474979308
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SGD,,407505.0,0.0,,ART,0.0005941936142109757
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PLN,,404161.0,0.0,,ART,0.000589317641042741
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CZK,,399935.0,0.0,,ART,0.0005831556007888654
Lifecycle_High_Growth_Pool_Superannuation,Cash,MORGAN STANLEY,EUR,,383931.0,0.0,,ART,0.0005598197531260576
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,NOK,,380417.0,0.0,,ART,0.0005546958985467584
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AED,,378697.0,0.0,,ART,0.0005521879219171639
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,QAR,,322044.0,0.0,,ART,0.00046958071261692363
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CHF,,305788.0,0.0,,ART,0.0004458774172153614
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,INR,,279210.0,0.0,,ART,0.0004071233457843377
Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,GBP,,270935.0,0.0,,ART,0.0003950573535692831
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PHP,,270810.0,0.0,,ART,0.0003948750878258533
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,KRW,,250530.0,0.0,,ART,0.000365304293611798
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,TRY,,235535.0,0.0,,ART,0.0003434396950299559
Lifecycle_High_Growth_Pool_Superannuation,Cash,DEXUS FINANCE PTY LTD,AUD,,229909.0,0.0,,ART,0.0003352362784496662
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,HUF,,217775.0,0.0,,ART,0.00031754337820344593
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,NZD,,198843.0,0.0,,ART,0.000289938137766538
Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",KRW,,185046.0,0.0,,ART,0.0002698203740697273
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,TWD,,117180.0,0.0,,ART,0.00017086319852085776
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,COP,,105099.0,0.0,,ART,0.00015324757894985176
Lifecycle_High_Growth_Pool_Superannuation,Cash,UBS AG,AUD,,87002.0,0.0,,ART,0.00012685987367905502
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PEN,,65045.0,0.0,,ART,9.484380225114518e-05
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CLP,,61580.0,0.0,,ART,8.979139584327035e-05
Lifecycle_High_Growth_Pool_Superannuation,Cash,BARCLAYS BANK PLC,USD,,43802.0,0.0,,ART,6.386883274970653e-05
Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,EUR,,35630.0,0.0,,ART,5.195302750723811e-05
Lifecycle_High_Growth_Pool_Superannuation,Cash,"CITIGROUP, INC.",JPY,,20532.0,0.0,,ART,2.993824195280979e-05
Lifecycle_High_Growth_Pool_Superannuation,Cash,HONGKONG & SHANGHAI BANKING CORP. LTD.,USD,,16886.0,0.0,,ART,2.4621914748448575e-05
Lifecycle_High_Growth_Pool_Superannuation,Cash,"CITIGROUP, INC.",USD,,16499.0,0.0,,ART,2.405762000678983e-05
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,RON,,4873.0,0.0,,ART,7.105447741868406e-06
Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,CAD,,1453.0,0.0,,ART,2.118657001628318e-06
Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",GBP,,837.0,0.0,,ART,1.2204514180061268e-06
Lifecycle_High_Growth_Pool_Superannuation,Cash,BARCLAYS BANK PLC,EUR,,442.0,0.0,,ART,6.44491668767871e-07
Lifecycle_High_Growth_Pool_Superannuation,Cash,"CITIGROUP, INC.",GBP,,43.0,0.0,,ART,6.269941573986076e-08
Lifecycle_High_Growth_Pool_Superannuation,Cash,"CITIGROUP, INC.",EUR,,20.0,0.0,,ART,2.9162518948772443e-08
Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,EGP,,16.0,0.0,,ART,2.3330015159017958e-08
Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",CAD,,-1985.0,0.0,,ART,-2.894380005665665e-06
Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",MXN,,-8843.0,0.0,,ART,-1.2894207753199737e-05
