AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,n/a,n/a,n/a,n/a,"$4,301,963",0.21%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,USD,n/a,n/a,n/a,n/a,"$4,165,854",0.20%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,n/a,n/a,n/a,n/a,"$3,131,088",0.15%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,WESTPAC BANKING CORPORATION,AUD,n/a,n/a,n/a,n/a,"$2,317,501",0.11%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,n/a,n/a,n/a,n/a,"$1,359,455",0.07%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,HONGKONG & SHANGHAI BANKING CORP. LTD.,AUD,n/a,n/a,n/a,n/a,"$1,030,626",0.05%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,JPMORGAN CHASE & CO,AUD,n/a,n/a,n/a,n/a,"$1,004,620",0.05%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,n/a,n/a,n/a,n/a,"$964,700",0.05%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,n/a,n/a,n/a,n/a,"$476,697",0.02%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,n/a,n/a,n/a,n/a,"$416,050",0.02%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,BNP PARIBAS,AUD,n/a,n/a,n/a,n/a,"$362,304",0.02%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,n/a,n/a,n/a,n/a,"$356,083",0.02%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,BARCLAYS BANK PLC,AUD,n/a,n/a,n/a,n/a,"$348,973",0.02%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,"CITIGROUP, INC.",AUD,n/a,n/a,n/a,n/a,"$326,162",0.02%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,CAD,n/a,n/a,n/a,n/a,"$321,429",0.02%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,JPMORGAN CHASE & CO,USD,n/a,n/a,n/a,n/a,"$272,953",0.01%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,MORGAN STANLEY,AUD,n/a,n/a,n/a,n/a,"$248,251",0.01%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",AUD,n/a,n/a,n/a,n/a,"$245,288",0.01%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,CNY,n/a,n/a,n/a,n/a,"$197,371",0.01%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,ILS,n/a,n/a,n/a,n/a,"$151,105",0.01%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,MYR,n/a,n/a,n/a,n/a,"$121,063",0.01%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,HUF,n/a,n/a,n/a,n/a,"$108,933",0.01%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,HKD,n/a,n/a,n/a,n/a,"$105,016",0.01%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,SAR,n/a,n/a,n/a,n/a,"$89,660",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,KRW,n/a,n/a,n/a,n/a,"$76,640",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,CZK,n/a,n/a,n/a,n/a,"$75,226",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,NOK,n/a,n/a,n/a,n/a,"$75,160",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,SGD,n/a,n/a,n/a,n/a,"$74,515",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,IDR,n/a,n/a,n/a,n/a,"$72,818",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,THB,n/a,n/a,n/a,n/a,"$69,520",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,DKK,n/a,n/a,n/a,n/a,"$69,153",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,SEK,n/a,n/a,n/a,n/a,"$67,159",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,NZD,n/a,n/a,n/a,n/a,"$55,467",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,MXN,n/a,n/a,n/a,n/a,"$52,800",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,RON,n/a,n/a,n/a,n/a,"$43,132",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,PLN,n/a,n/a,n/a,n/a,"$42,753",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,CHF,n/a,n/a,n/a,n/a,"$40,402",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,KWD,n/a,n/a,n/a,n/a,"$32,657",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,ROYAL BANK OF CANADA,AUD,n/a,n/a,n/a,n/a,"$30,513",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,JPMORGAN CHASE & CO,JPY,n/a,n/a,n/a,n/a,"$28,798",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,ZAR,n/a,n/a,n/a,n/a,"$27,496",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,AED,n/a,n/a,n/a,n/a,"$23,275",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,BRL,n/a,n/a,n/a,n/a,"$23,007",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,PEN,n/a,n/a,n/a,n/a,"$22,250",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,QAR,n/a,n/a,n/a,n/a,"$20,306",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,JPMORGAN CHASE & CO,GBP,n/a,n/a,n/a,n/a,"$18,243",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,BANK OF AMERICA NATIONAL ASSOCIATION,AUD,n/a,n/a,n/a,n/a,"$18,071",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,PHP,n/a,n/a,n/a,n/a,"$16,149",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,CLP,n/a,n/a,n/a,n/a,"$13,437",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,INR,n/a,n/a,n/a,n/a,"$10,143",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,TRY,n/a,n/a,n/a,n/a,"$9,491",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,TWD,n/a,n/a,n/a,n/a,"$4,767",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,JPMORGAN CHASE & CO,EUR,n/a,n/a,n/a,n/a,"$2,003",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,COP,n/a,n/a,n/a,n/a,$8,0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,UBS AG,AUD,n/a,n/a,n/a,n/a,"-$2,666",0.00%,,,,,
30 June 2025,Diversified_Balanced_Index_Superannuation,Cash,SOCIETE GENERALE,AUD,n/a,n/a,n/a,n/a,"-$18,959",0.00%,,,,,
