AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,USD,n/a,n/a,n/a,n/a,"$2,020,402",0.24%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,n/a,n/a,n/a,n/a,"$1,565,128",0.18%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,n/a,n/a,n/a,n/a,"$1,209,427",0.14%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,n/a,n/a,n/a,n/a,"$461,278",0.05%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,WESTPAC BANKING CORPORATION,AUD,n/a,n/a,n/a,n/a,"$331,276",0.04%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,JPMORGAN CHASE & CO,AUD,n/a,n/a,n/a,n/a,"$287,104",0.03%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,n/a,n/a,n/a,n/a,"$194,328",0.02%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,n/a,n/a,n/a,n/a,"$168,386",0.02%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,HONGKONG & SHANGHAI BANKING CORP. LTD.,AUD,n/a,n/a,n/a,n/a,"$147,323",0.02%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,JPMORGAN CHASE & CO,USD,n/a,n/a,n/a,n/a,"$132,380",0.02%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,n/a,n/a,n/a,n/a,"$97,177",0.01%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,CAD,n/a,n/a,n/a,n/a,"$69,205",0.01%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,BNP PARIBAS,AUD,n/a,n/a,n/a,n/a,"$51,790",0.01%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,AUD,n/a,n/a,n/a,n/a,"$50,900",0.01%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,BARCLAYS BANK PLC,AUD,n/a,n/a,n/a,n/a,"$49,884",0.01%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,HKD,n/a,n/a,n/a,n/a,"$48,188",0.01%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,"CITIGROUP, INC.",AUD,n/a,n/a,n/a,n/a,"$46,623",0.01%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,CNY,n/a,n/a,n/a,n/a,"$46,008",0.01%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,SAR,n/a,n/a,n/a,n/a,"$43,485",0.01%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,MORGAN STANLEY,AUD,n/a,n/a,n/a,n/a,"$35,486",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",AUD,n/a,n/a,n/a,n/a,"$35,063",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,ILS,n/a,n/a,n/a,n/a,"$30,268",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,MYR,n/a,n/a,n/a,n/a,"$28,900",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,SGD,n/a,n/a,n/a,n/a,"$24,743",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,SEK,n/a,n/a,n/a,n/a,"$24,455",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,DKK,n/a,n/a,n/a,n/a,"$20,865",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,HUF,n/a,n/a,n/a,n/a,"$19,774",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,NOK,n/a,n/a,n/a,n/a,"$18,201",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,IDR,n/a,n/a,n/a,n/a,"$17,544",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,CZK,n/a,n/a,n/a,n/a,"$17,175",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,THB,n/a,n/a,n/a,n/a,"$16,310",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,KWD,n/a,n/a,n/a,n/a,"$15,838",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,JPMORGAN CHASE & CO,JPY,n/a,n/a,n/a,n/a,"$13,967",0.00%,,,,,
30 June 2025,Diversified_High_Growth_Index_Superannuation,Cash,STATE STREET BANK AND TRUST,ZAR,n/a,n/a,n/a,n/a,"$13,335",0.00%,,,,,
