AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,AUD,n/a,n/a,n/a,n/a,"$9,078,263",1.11%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,n/a,n/a,n/a,n/a,"$2,254,546",0.28%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,n/a,n/a,n/a,n/a,"$741,455",0.09%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,EUR,n/a,n/a,n/a,n/a,"$704,736",0.09%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,JPY,n/a,n/a,n/a,n/a,"$493,521",0.06%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,GBP,n/a,n/a,n/a,n/a,"$311,994",0.04%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,USD,n/a,n/a,n/a,n/a,"$286,543",0.04%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,n/a,n/a,n/a,n/a,"$266,796",0.03%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,AUD,n/a,n/a,n/a,n/a,"$211,733",0.03%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MACQUARIE GROUP LTD.,CAD,n/a,n/a,n/a,n/a,"$140,486",0.02%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,CNY,n/a,n/a,n/a,n/a,"$110,602",0.01%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,HKD,n/a,n/a,n/a,n/a,"$95,395",0.01%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,CAD,n/a,n/a,n/a,n/a,"$74,493",0.01%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,HONGKONG & SHANGHAI BANKING CORP. LTD.,USD,n/a,n/a,n/a,n/a,"$65,624",0.01%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,NOK,n/a,n/a,n/a,n/a,"$59,909",0.01%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,n/a,n/a,n/a,n/a,"$58,909",0.01%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,SGD,n/a,n/a,n/a,n/a,"$42,738",0.01%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STANDARD CHARTERED BANK,AUD,n/a,n/a,n/a,n/a,"$26,695",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,SEK,n/a,n/a,n/a,n/a,"$25,154",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,SOCIETE GENERALE,AUD,n/a,n/a,n/a,n/a,"$17,613",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,JPMORGAN CHASE & CO,USD,n/a,n/a,n/a,n/a,"$17,433",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,MXN,n/a,n/a,n/a,n/a,"$16,577",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,CHF,n/a,n/a,n/a,n/a,"$2,604",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,UBS AG,AUD,n/a,n/a,n/a,n/a,"$2,478",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,ZAR,n/a,n/a,n/a,n/a,"$1,152",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,STATE STREET BANK AND TRUST,COP,n/a,n/a,n/a,n/a,"-$3,041",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,n/a,n/a,n/a,n/a,"-$14,862",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,BANK OF AMERICA NATIONAL ASSOCIATION,AUD,n/a,n/a,n/a,n/a,"-$16,788",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,ROYAL BANK OF CANADA,AUD,n/a,n/a,n/a,n/a,"-$28,347",0.00%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",AUD,n/a,n/a,n/a,n/a,"-$227,874",-0.03%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,MORGAN STANLEY,AUD,n/a,n/a,n/a,n/a,"-$230,627",-0.03%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,"CITIGROUP, INC.",AUD,n/a,n/a,n/a,n/a,"-$303,007",-0.04%,,,,,
30 June 2025,Diversified_Socially_Conscious_Balanced_Superannuation,Cash,BARCLAYS BANK PLC,AUD,n/a,n/a,n/a,n/a,"-$324,198",-0.04%,,,,,
