AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AUD,n/a,n/a,n/a,n/a,"$178,054,161",0.67%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,USD,n/a,n/a,n/a,n/a,"$110,180,342",0.42%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,n/a,n/a,n/a,n/a,"$84,586,808",0.32%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,n/a,n/a,n/a,n/a,"$75,998,760",0.29%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,AUD,n/a,n/a,n/a,n/a,"$75,349,542",0.28%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,EUR,n/a,n/a,n/a,n/a,"$44,506,957",0.17%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,USD,n/a,n/a,n/a,n/a,"$36,372,610",0.14%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,JPY,n/a,n/a,n/a,n/a,"$33,171,168",0.13%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,n/a,n/a,n/a,n/a,"$32,199,014",0.12%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,GBP,n/a,n/a,n/a,n/a,"$19,238,145",0.07%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,NBN CO. LTD.,AUD,n/a,n/a,n/a,n/a,"$10,030,386",0.04%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,CAD,n/a,n/a,n/a,n/a,"$9,518,449",0.04%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,USD,n/a,n/a,n/a,n/a,"$6,243,143",0.02%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,n/a,n/a,n/a,n/a,"$5,840,956",0.02%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,KRW,n/a,n/a,n/a,n/a,"$5,288,020",0.02%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,n/a,n/a,n/a,n/a,"$5,242,208",0.02%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,SCENTRE GROUP LTD,AUD,n/a,n/a,n/a,n/a,"$4,579,390",0.02%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,TELSTRA GROUP LTD,AUD,n/a,n/a,n/a,n/a,"$4,252,869",0.02%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD.,AUD,n/a,n/a,n/a,n/a,"$4,202,675",0.02%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,GPT RE LTD,AUD,n/a,n/a,n/a,n/a,"$3,708,232",0.01%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,n/a,n/a,n/a,n/a,"$2,416,142",0.01%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,WOOLWORTHS GROUP LTD,AUD,n/a,n/a,n/a,n/a,"$2,178,721",0.01%,,,,,
30 June 2025,Lifecycle_Balanced_Pool_Superannuation,Cash,BENDIGO & ADELAIDE BANK LTD.,AUD,n/a,n/a,n/a,n/a,"$2,101,337",0.01%,,,,,
