AsAtDate,OptionName,Type,Name,Currency,SecurityIdentifier,UnitsHeld,Address,Ownership,Value,Weighting,ActualExposure,EffectOfExposure,TotalValue,TotalWeighting,TotalActualExposure
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AUD,n/a,n/a,n/a,n/a,"$475,714,554",0.69%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,USD,n/a,n/a,n/a,n/a,"$330,478,367",0.48%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,AUD,n/a,n/a,n/a,n/a,"$265,371,691",0.38%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,AUD,n/a,n/a,n/a,n/a,"$135,545,613",0.20%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,EUR,n/a,n/a,n/a,n/a,"$128,489,299",0.19%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,COMMONWEALTH BANK OF AUSTRALIA,USD,n/a,n/a,n/a,n/a,"$109,625,265",0.16%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,USD,n/a,n/a,n/a,n/a,"$106,683,317",0.15%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,NATIONAL AUSTRALIA BANK LIMITED,AUD,n/a,n/a,n/a,n/a,"$93,838,597",0.14%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,JPY,n/a,n/a,n/a,n/a,"$74,310,888",0.11%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,GBP,n/a,n/a,n/a,n/a,"$29,809,591",0.04%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,CAD,n/a,n/a,n/a,n/a,"$27,763,469",0.04%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,USD,n/a,n/a,n/a,n/a,"$15,805,163",0.02%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,JPY,n/a,n/a,n/a,n/a,"$15,107,651",0.02%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD.,AUD,n/a,n/a,n/a,n/a,"$10,692,688",0.02%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MUFG BANK LTD.,AUD,n/a,n/a,n/a,n/a,"$6,265,196",0.01%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,GBP,n/a,n/a,n/a,n/a,"$5,859,865",0.01%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,BENDIGO & ADELAIDE BANK LTD.,AUD,n/a,n/a,n/a,n/a,"$5,843,796",0.01%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,KRW,n/a,n/a,n/a,n/a,"$4,001,071",0.01%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,EUR,n/a,n/a,n/a,n/a,"$3,655,688",0.01%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MEMBERS EQUITY BANK LTD.,AUD,n/a,n/a,n/a,n/a,"$3,270,180",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,NBN CO. LTD.,AUD,n/a,n/a,n/a,n/a,"$2,646,392",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CNY,n/a,n/a,n/a,n/a,"$1,848,725",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,HKD,n/a,n/a,n/a,n/a,"$1,643,682",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SAR,n/a,n/a,n/a,n/a,"$1,490,410",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,SCENTRE GROUP LTD,AUD,n/a,n/a,n/a,n/a,"$1,208,214",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CAD,n/a,n/a,n/a,n/a,"$1,170,324",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,TELSTRA GROUP LTD,AUD,n/a,n/a,n/a,n/a,"$1,122,066",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MORGAN STANLEY,USD,n/a,n/a,n/a,n/a,"$1,006,467",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,GPT RE LTD,AUD,n/a,n/a,n/a,n/a,"$978,371",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STANDARD CHARTERED BANK,AUD,n/a,n/a,n/a,n/a,"$937,691",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SEK,n/a,n/a,n/a,n/a,"$934,305",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,DKK,n/a,n/a,n/a,n/a,"$811,773",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,SOCIETE GENERALE,AUD,n/a,n/a,n/a,n/a,"$618,681",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,ILS,n/a,n/a,n/a,n/a,"$599,165",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,WOOLWORTHS GROUP LTD,AUD,n/a,n/a,n/a,n/a,"$574,828",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,KWD,n/a,n/a,n/a,n/a,"$551,400",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,ZAR,n/a,n/a,n/a,n/a,"$544,136",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,MXN,n/a,n/a,n/a,n/a,"$505,744",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,MYR,n/a,n/a,n/a,n/a,"$504,070",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,BRL,n/a,n/a,n/a,n/a,"$494,152",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,THB,n/a,n/a,n/a,n/a,"$455,801",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,PACCAR FINANCIAL PTY LTD,AUD,n/a,n/a,n/a,n/a,"$431,652",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",USD,n/a,n/a,n/a,n/a,"$420,534",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,JPY,n/a,n/a,n/a,n/a,"$415,783",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,IDR,n/a,n/a,n/a,n/a,"$413,613",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,SGD,n/a,n/a,n/a,n/a,"$407,505",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PLN,n/a,n/a,n/a,n/a,"$404,161",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CZK,n/a,n/a,n/a,n/a,"$399,935",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MORGAN STANLEY,EUR,n/a,n/a,n/a,n/a,"$383,931",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,NOK,n/a,n/a,n/a,n/a,"$380,417",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,AED,n/a,n/a,n/a,n/a,"$378,697",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,QAR,n/a,n/a,n/a,n/a,"$322,044",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CHF,n/a,n/a,n/a,n/a,"$305,788",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,INR,n/a,n/a,n/a,n/a,"$279,210",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,GBP,n/a,n/a,n/a,n/a,"$270,935",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PHP,n/a,n/a,n/a,n/a,"$270,810",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,KRW,n/a,n/a,n/a,n/a,"$250,530",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,TRY,n/a,n/a,n/a,n/a,"$235,535",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,DEXUS FINANCE PTY LTD,AUD,n/a,n/a,n/a,n/a,"$229,909",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,HUF,n/a,n/a,n/a,n/a,"$217,775",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,NZD,n/a,n/a,n/a,n/a,"$198,843",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",KRW,n/a,n/a,n/a,n/a,"$185,046",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,TWD,n/a,n/a,n/a,n/a,"$117,180",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,COP,n/a,n/a,n/a,n/a,"$105,099",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,UBS AG,AUD,n/a,n/a,n/a,n/a,"$87,002",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,PEN,n/a,n/a,n/a,n/a,"$65,045",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,CLP,n/a,n/a,n/a,n/a,"$61,580",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,BARCLAYS BANK PLC,USD,n/a,n/a,n/a,n/a,"$43,802",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,EUR,n/a,n/a,n/a,n/a,"$35,630",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"CITIGROUP, INC.",JPY,n/a,n/a,n/a,n/a,"$20,532",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,HONGKONG & SHANGHAI BANKING CORP. LTD.,USD,n/a,n/a,n/a,n/a,"$16,886",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"CITIGROUP, INC.",USD,n/a,n/a,n/a,n/a,"$16,499",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,RON,n/a,n/a,n/a,n/a,"$4,873",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,JPMORGAN CHASE & CO,CAD,n/a,n/a,n/a,n/a,"$1,453",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",GBP,n/a,n/a,n/a,n/a,$837,0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,BARCLAYS BANK PLC,EUR,n/a,n/a,n/a,n/a,$442,0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"CITIGROUP, INC.",GBP,n/a,n/a,n/a,n/a,$43,0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"CITIGROUP, INC.",EUR,n/a,n/a,n/a,n/a,$20,0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,STATE STREET BANK AND TRUST,EGP,n/a,n/a,n/a,n/a,$16,0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",CAD,n/a,n/a,n/a,n/a,"-$1,985",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",MXN,n/a,n/a,n/a,n/a,"-$8,843",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",SEK,n/a,n/a,n/a,n/a,"-$11,061",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,MACQUARIE GROUP LTD.,HKD,n/a,n/a,n/a,n/a,"-$36,709",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",EUR,n/a,n/a,n/a,n/a,"-$48,390",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,"GOLDMAN SACHS GROUP, INC.",JPY,n/a,n/a,n/a,n/a,"-$200,959",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,BANK OF AMERICA NATIONAL ASSOCIATION,AUD,n/a,n/a,n/a,n/a,"-$589,679",0.00%,,,,,
30 June 2025,Lifecycle_High_Growth_Pool_Superannuation,Cash,ROYAL BANK OF CANADA,AUD,n/a,n/a,n/a,n/a,"-$1,310,045",0.00%,,,,,
