Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
Australian Shares,Cash,Australia & New Zealand Banking Group Ltd,United States Dollar,,-8153.0,0.0,,,AustralianSuper,-9.292371138189983e-05
Australian Shares,Cash,BRED Banque Populaire,United States Dollar,,-5365.0,0.0,,,AustralianSuper,-6.114751767004693e-05
Australian Shares,Cash,Commonwealth Bank of Australia,Australia Dollar,,10049436.0,0.12,,,AustralianSuper,0.11453831600820238
Australian Shares,Cash,Commonwealth Bank of Australia,United States Dollar,,-14132.0,0.0,,,AustralianSuper,-0.00016106928606022427
Australian Shares,Cash,JP Morgan Securities LLC,Australia Dollar,,-8043.0,0.0,,,AustralianSuper,-9.166998781364165e-05
Australian Shares,Cash,JP Morgan Securities LLC,United States Dollar,,92489.0,0.0,,,AustralianSuper,0.0010541421736784662
Australian Shares,Cash,JP Morgan Securities PLC,Australia Dollar,,5020177.0,0.06,,,AustralianSuper,0.0572174020157061
Australian Shares,Cash,JPMorgan Chase Bank NA,Australia Dollar,,38667697.0,0.45,,,AustralianSuper,0.44071457326514835
Australian Shares,Cash,JPMorgan Chase Bank NA,Canada Dollar,,4.0,0.0,,,AustralianSuper,4.558994793666127e-08
Australian Shares,Cash,JPMorgan Chase Bank NA,United States Dollar,,1278.0,0.0,,,AustralianSuper,1.4565988365763277e-05
Australian Shares,Cash,MUFG Bank Ltd/London,United Kingdom Pound,,1.0,0.0,,,AustralianSuper,1.1397486984165317e-08
Australian Shares,Cash,National Australia Bank Ltd,Australia Dollar,,5298980.0,0.06,,,AustralianSuper,0.06039505557935234
Australian Shares,Cash,National Australia Bank Ltd,United Kingdom Pound,,2.0,0.0,,,AustralianSuper,2.2794973968330634e-08
Australian Shares,Cash,National Australia Bank Ltd,United States Dollar,,-14132.0,0.0,,,AustralianSuper,-0.00016106928606022427
Australian Shares,Cash,Royal Bank of Canada,United Kingdom Pound,,1.0,0.0,,,AustralianSuper,1.1397486984165317e-08
Australian Shares,Cash,Royal Bank of Canada,United States Dollar,,-17393.0,0.0,,,AustralianSuper,-0.00019823649111558737
Australian Shares,Cash,Royal Bank of Canada/Sydney,Australia Dollar,,8482844.0,0.1,,,AustralianSuper,0.09668310407870487
Australian Shares,Cash,Skandinaviska Enskilda Banken AB,United States Dollar,,-6571.0,0.0,,,AustralianSuper,-7.48928869729503e-05
Australian Shares,Cash,Standard Chartered Bank,United Kingdom Pound,,1.0,0.0,,,AustralianSuper,1.1397486984165317e-08
Australian Shares,Cash,Sumitomo Mitsui Banking Corp/Sydney,Australia Dollar,,3343787.0,0.04,,,AustralianSuper,0.038110768810321195
Australian Shares,Fixed Income,AMP Bank Ltd,,,686455.0,0.01,,,AustralianSuper,0.007823861927715205
Australian Shares,Fixed Income,Australia & New Zealand Banking Group Ltd,,,19999652.0,0.23,,,AustralianSuper,0.22794577335783586
Australian Shares,Fixed Income,Bank of Nova Scotia/Australia,,,277148.0,0.0,,,AustralianSuper,0.0031587907226874497
Australian Shares,Fixed Income,Bendigo & Adelaide Bank Ltd,,,3999874.0,0.05,,,AustralianSuper,0.04558851185330127
Australian Shares,Fixed Income,BRED Banque Populaire COBPFA,,,-3215.0,0.0,,,AustralianSuper,-3.6642920654091496e-05
Australian Shares,Fixed Income,Canadian Imperial Bank of Commerce/Sydney,,,789431.0,0.01,,,AustralianSuper,0.008997529547396611
Australian Shares,Fixed Income,Commonwealth Bank of Australia,,,15161689.0,0.18,,,AustralianSuper,0.17280515303546248
Australian Shares,Fixed Income,Cooperatieve Rabobank UA/Australia,,,1723623.0,0.02,,,AustralianSuper,0.01964497070810798
Australian Shares,Fixed Income,Cooperatieve Rabobank UA/NY,,,-192.0,0.0,,,AustralianSuper,-2.188317500959741e-06
Australian Shares,Fixed Income,ING Bank NV/Sydney,,,1096821.0,0.01,,,AustralianSuper,0.01250100307145919
