Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
Balanced,Cash,Australia & New Zealand Banking Group Ltd,Australia Dollar,,149605383.0,0.06,,,AustralianSuper,0.04915369370063257
Balanced,Cash,Australia & New Zealand Banking Group Ltd,United States Dollar,,76900338.0,0.03,,,AustralianSuper,0.0252660404574287
Balanced,Cash,Australia & New Zealand Banking Group Ltd/New Zealand,Australia Dollar,,1477.0,0.0,,,AustralianSuper,4.852766935253547e-07
Balanced,Cash,Bank of America NA,Australia Dollar,,3660616.0,0.0,,,AustralianSuper,0.001202716065501699
Balanced,Cash,Bank of Montreal/London,Canada Dollar,,21163370.0,0.01,,,AustralianSuper,0.006953344764694439
Balanced,Cash,Barclays Bank PLC,Australia Dollar,,-19640165.0,-0.01,,,AustralianSuper,-0.006452887157408529
Balanced,Cash,Barclays Bank PLC,United States Dollar,,-1275426.0,0.0,,,AustralianSuper,-0.00041904841714033106
Balanced,Cash,BNP Paribas SA,Australia Dollar,,-118840074.0,-0.05,,,AustralianSuper,-0.039045577636444465
Balanced,Cash,BNP Paribas SA,United States Dollar,,1041554.0,0.0,,,AustralianSuper,0.0003422084504049473
Balanced,Cash,BRED Banque Populaire,United States Dollar,,50600422.0,0.02,,,AustralianSuper,0.0166250544882516
Balanced,Cash,Citibank NA,Australia Dollar,,-17323358.0,-0.01,,,AustralianSuper,-0.005691687129990522
Balanced,Cash,Citibank NA,United States Dollar,,-2727935.0,0.0,,,AustralianSuper,-0.0008962784542668168
Balanced,Cash,Commonwealth Bank of Australia,Australia Dollar,,771117309.0,0.31,,,AustralianSuper,0.2533549478887537
Balanced,Cash,Commonwealth Bank of Australia,Euro Member Countries,,9401077.0,0.0,,,AustralianSuper,0.0030887769547307113
Balanced,Cash,Commonwealth Bank of Australia,United States Dollar,,133293919.0,0.05,,,AustralianSuper,0.043794470060498615
Balanced,Cash,Deutsche Bank AG,Australia Dollar,,-395298.0,0.0,,,AustralianSuper,-0.00012987739092565042
Balanced,Cash,Goldman Sachs International,Australia Dollar,,-96148934.0,-0.04,,,AustralianSuper,-0.031590275407926575
Balanced,Cash,Goldman Sachs International,United States Dollar,,-2129223.0,0.0,,,AustralianSuper,-0.0006995682445620422
Balanced,Cash,Hongkong and Shanghai Banking Corporation Ltd,Australia Dollar,,-31617495.0,-0.01,,,AustralianSuper,-0.010388106588459331
Balanced,Cash,JP Morgan Securities LLC,Australia Dollar,,-34446725.0,-0.01,,,AustralianSuper,-0.011317666087188335
Balanced,Cash,JP Morgan Securities LLC,Canada Dollar,,-192167.0,0.0,,,AustralianSuper,-6.313755339518405e-05
Balanced,Cash,JP Morgan Securities LLC,Euro Member Countries,,14390018.0,0.01,,,AustralianSuper,0.004727921702647486
Balanced,Cash,JP Morgan Securities LLC,Japan Yen,,-1223751.0,0.0,,,AustralianSuper,-0.00040207030397992297
Balanced,Cash,JP Morgan Securities LLC,New Zealand Dollar,,37310.0,0.0,,,AustralianSuper,1.2258411262986447e-05
Balanced,Cash,JP Morgan Securities LLC,Norway Krone,,1107475.0,0.0,,,AustralianSuper,0.00036386716734054987
Balanced,Cash,JP Morgan Securities LLC,Switzerland Franc,,-716874.0,0.0,,,AustralianSuper,-0.00023553300229810093
Balanced,Cash,JP Morgan Securities LLC,United Kingdom Pound,,10142422.0,0.0,,,AustralianSuper,0.0033323500423147016
Balanced,Cash,JP Morgan Securities LLC,United States Dollar,,175073311.0,0.07,,,AustralianSuper,0.05752132531253629
Balanced,Cash,JP Morgan Securities PLC,Australia Dollar,,-7951567.0,0.0,,,AustralianSuper,-0.00261253225599548
Balanced,Cash,JP Morgan Securities PLC,Canada Dollar,,4903832.0,0.0,,,AustralianSuper,0.0016111817051887793
Balanced,Cash,JP Morgan Securities PLC,Euro Member Countries,,34467809.0,0.01,,,AustralianSuper,0.011324593354491172
Balanced,Cash,JP Morgan Securities PLC,Hong Kong Dollar,,1659508.0,0.0,,,AustralianSuper,0.0005452407279071594
Balanced,Cash,JP Morgan Securities PLC,Japan Yen,,14091837.0,0.01,,,AustralianSuper,0.004629952650682636
Balanced,Cash,JP Morgan Securities PLC,Singapore Dollar,,238.0,0.0,,,AustralianSuper,7.819624445432255e-08
Balanced,Cash,JP Morgan Securities PLC,Switzerland Franc,,426907.0,0.0,,,AustralianSuper,0.00014026270643387176
Balanced,Cash,JP Morgan Securities PLC,United Kingdom Pound,,14351445.0,0.01,,,AustralianSuper,0.0047152483255998535
Balanced,Cash,JP Morgan Securities PLC,United States Dollar,,298657227.0,0.12,,,AustralianSuper,0.09812551903589119
Balanced,Cash,JPMorgan Chase Bank NA,Australia Dollar,,556411206.0,0.22,,,AustralianSuper,0.18281204488025388
Balanced,Cash,JPMorgan Chase Bank NA,Brazil Real,,3517055.0,0.0,,,AustralianSuper,0.0011555482879802412
Balanced,Cash,JPMorgan Chase Bank NA,Canada Dollar,,6394180.0,0.0,,,AustralianSuper,0.0021008439595165554
Balanced,Cash,JPMorgan Chase Bank NA,Chile Peso,,40629.0,0.0,,,AustralianSuper,1.3348887461910383e-05
Balanced,Cash,JPMorgan Chase Bank NA,China Yuan Renminbi,,183325.0,0.0,,,AustralianSuper,6.023246434701127e-05
Balanced,Cash,JPMorgan Chase Bank NA,Colombia Peso,,154.0,0.0,,,AustralianSuper,5.059756994103224e-08
Balanced,Cash,JPMorgan Chase Bank NA,Czech Republic Koruna,,2759.0,0.0,,,AustralianSuper,9.064850355019997e-07
Balanced,Cash,JPMorgan Chase Bank NA,Denmark Krone,,-5422493.0,0.0,,,AustralianSuper,-0.0017815907066380371
Balanced,Cash,JPMorgan Chase Bank NA,Euro Member Countries,,60030512.0,0.02,,,AustralianSuper,0.019723363828025812
Balanced,Cash,JPMorgan Chase Bank NA,Hong Kong Dollar,,-1645722.0,0.0,,,AustralianSuper,-0.00054071125973049
Balanced,Cash,JPMorgan Chase Bank NA,Hungary Forint,,147124.0,0.0,,,AustralianSuper,4.8338421298730044e-05
Balanced,Cash,JPMorgan Chase Bank NA,India Rupee,,10655749.0,0.0,,,AustralianSuper,0.003501006527932366
Balanced,Cash,JPMorgan Chase Bank NA,Indonesia Rupiah,,393975.0,0.0,,,AustralianSuper,0.00012944271180206609
Balanced,Cash,JPMorgan Chase Bank NA,Israel Shekel,,493220.0,0.0,,,AustralianSuper,0.0001620502171838696
Balanced,Cash,JPMorgan Chase Bank NA,Japan Yen,,16843618.0,0.01,,,AustralianSuper,0.005534065842954738
Balanced,Cash,JPMorgan Chase Bank NA,Korea (South) Won,,3069984.0,0.0,,,AustralianSuper,0.0010086605854405838
Balanced,Cash,JPMorgan Chase Bank NA,Malaysia Ringgit,,232837.0,0.0,,,AustralianSuper,7.649991163870211e-05
Balanced,Cash,JPMorgan Chase Bank NA,Mexico Peso,,135451.0,0.0,,,AustralianSuper,4.4503191208329596e-05
Balanced,Cash,JPMorgan Chase Bank NA,New Zealand Dollar,,1134052.0,0.0,,,AustralianSuper,0.0003725991908231655
Balanced,Cash,JPMorgan Chase Bank NA,Norway Krone,,-819446.0,0.0,,,AustralianSuper,-0.00026923361232402017
Balanced,Cash,JPMorgan Chase Bank NA,Philippines Peso,,156326.0,0.0,,,AustralianSuper,5.136179038053121e-05
Balanced,Cash,JPMorgan Chase Bank NA,Poland Zloty,,-377885.0,0.0,,,AustralianSuper,-0.00012415625141017512
Balanced,Cash,JPMorgan Chase Bank NA,Romania Leu,,1.0,0.0,,,AustralianSuper,3.285556489677418e-10
Balanced,Cash,JPMorgan Chase Bank NA,Singapore Dollar,,6963031.0,0.0,,,AustralianSuper,0.0022877431689875046
Balanced,Cash,JPMorgan Chase Bank NA,South Africa Rand,,2120790.0,0.0,,,AustralianSuper,0.0006967975347742972
Balanced,Cash,JPMorgan Chase Bank NA,Sweden Krona,,376895.0,0.0,,,AustralianSuper,0.00012383098131769706
Balanced,Cash,JPMorgan Chase Bank NA,Switzerland Franc,,82315787.0,0.03,,,AustralianSuper,0.02704531681807541
Balanced,Cash,JPMorgan Chase Bank NA,Taiwan New Dollar,,-3024841.0,0.0,,,AustralianSuper,-0.0009938285977792332
Balanced,Cash,JPMorgan Chase Bank NA,Turkey Lira,,-66068.0,0.0,,,AustralianSuper,-2.1707014616000766e-05
Balanced,Cash,JPMorgan Chase Bank NA,United Kingdom Pound,,-36346226.0,-0.01,,,AustralianSuper,-0.01194175787095821
Balanced,Cash,JPMorgan Chase Bank NA,United States Dollar,,64134645.0,0.03,,,AustralianSuper,0.02107179990929074
Balanced,Cash,Mitsubishi UFJ Trust & Banking Corp/London,Euro Member Countries,,5013340.0,0.0,,,AustralianSuper,0.0016471611771959388
Balanced,Cash,Morgan Stanley & Co International PLC,Australia Dollar,,-51778488.0,-0.02,,,AustralianSuper,-0.017012114727408434
Balanced,Cash,MUFG Bank Ltd/London,Euro Member Countries,,16295201.0,0.01,,,AustralianSuper,0.005353880339614796
Balanced,Cash,MUFG Bank Ltd/London,United Kingdom Pound,,8924560.0,0.0,,,AustralianSuper,0.00293221460255155
Balanced,Cash,National Australia Bank Ltd,Australia Dollar,,129559017.0,0.05,,,AustralianSuper,0.042567346910057695
Balanced,Cash,National Australia Bank Ltd,United Kingdom Pound,,17192672.0,0.01,,,AustralianSuper,0.005648749506449524
Balanced,Cash,National Australia Bank Ltd,United States Dollar,,133293919.0,0.05,,,AustralianSuper,0.043794470060498615
Balanced,Cash,Royal Bank of Canada,Australia Dollar,,-30629897.0,-0.01,,,AustralianSuper,-0.010063625686650087
Balanced,Cash,Royal Bank of Canada,United Kingdom Pound,,9065227.0,0.0,,,AustralianSuper,0.002978431540024895
Balanced,Cash,Royal Bank of Canada,United States Dollar,,164054055.0,0.07,,,AustralianSuper,0.05390088650631461
Balanced,Cash,Royal Bank of Canada/Sydney,Australia Dollar,,570183381.0,0.23,,,AustralianSuper,0.1873369707750762
Balanced,Cash,Skandinaviska Enskilda Banken AB,Euro Member Countries,,7161114.0,0.0,,,AustralianSuper,0.0023528244576019814
Balanced,Cash,Skandinaviska Enskilda Banken AB,Norway Krone,,4203625.0,0.0,,,AustralianSuper,0.0013811247398920238
Balanced,Cash,Skandinaviska Enskilda Banken AB,Sweden Krona,,1332175.0,0.0,,,AustralianSuper,0.00043769362166360147
Balanced,Cash,Skandinaviska Enskilda Banken AB,United States Dollar,,61981672.0,0.02,,,AustralianSuper,0.02036442846806571
Balanced,Cash,Societe Generale SA,Australia Dollar,,-17607464.0,-0.01,,,AustralianSuper,-0.005785031761196152
Balanced,Cash,Standard Chartered Bank,Australia Dollar,,619526.0,0.0,,,AustralianSuper,0.00020354876698238923
Balanced,Cash,Standard Chartered Bank,Euro Member Countries,,16295201.0,0.01,,,AustralianSuper,0.005353880339614796
Balanced,Cash,Standard Chartered Bank,United Kingdom Pound,,10159306.0,0.0,,,AustralianSuper,0.003337897375891873
Balanced,Cash,State Street Bank and Trust Co,Australia Dollar,,3975.0,0.0,,,AustralianSuper,1.3060087046467737e-06
Balanced,Cash,Sumitomo Mitsui Banking Corp/Sydney,Australia Dollar,,180767825.0,0.07,,,AustralianSuper,0.05939229005536218
Balanced,Cash,Toronto-Dominion Bank/The,Australia Dollar,,-683260.0,0.0,,,AustralianSuper,-0.00022448893271369925
Balanced,Cash,UBS AG,Australia Dollar,,3144878.0,0.0,,,AustralianSuper,0.001033267432214374
Balanced,Cash,Westpac Banking Corp,Australia Dollar,,-86851021.0,-0.04,,,AustralianSuper,-0.028535393568165972
