Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
Conservative Balanced,Cash,Australia & New Zealand Banking Group Ltd,Australia Dollar,,18689618.0,0.26,,,AustralianSuper,0.17112479369424657
Conservative Balanced,Cash,Australia & New Zealand Banking Group Ltd,United States Dollar,,1712328.0,0.02,,,AustralianSuper,0.015678318076746234
Conservative Balanced,Cash,Australia & New Zealand Banking Group Ltd/New Zealand,Australia Dollar,,44.0,0.0,,,AustralianSuper,4.0287024178593957e-07
Conservative Balanced,Cash,Bank of America NA,Australia Dollar,,80501.0,0.0,,,AustralianSuper,0.0007370785757729528
Conservative Balanced,Cash,Bank of Montreal/London,Canada Dollar,,628011.0,0.01,,,AustralianSuper,0.005750157804868857
Conservative Balanced,Cash,Barclays Bank PLC,Australia Dollar,,-1386171.0,-0.02,,,AustralianSuper,-0.012691978316514946
Conservative Balanced,Cash,Barclays Bank PLC,United States Dollar,,-68609.0,0.0,,,AustralianSuper,-0.0006281937367884438
Conservative Balanced,Cash,BNP Paribas SA,Australia Dollar,,-3311376.0,-0.05,,,AustralianSuper,-0.03031942840373085
Conservative Balanced,Cash,BNP Paribas SA,United States Dollar,,56028.0,0.0,,,AustralianSuper,0.0005130003160632413
Conservative Balanced,Cash,BRED Banque Populaire,United States Dollar,,1126712.0,0.02,,,AustralianSuper,0.010316334905979989
Conservative Balanced,Cash,Citibank NA,Australia Dollar,,-741580.0,-0.01,,,AustralianSuper,-0.006790011679627662
Conservative Balanced,Cash,Citibank NA,United States Dollar,,-146744.0,0.0,,,AustralianSuper,-0.0013436088809235436
Conservative Balanced,Cash,Commonwealth Bank of Australia,Australia Dollar,,52514395.0,0.74,,,AustralianSuper,0.48082925024755313
Conservative Balanced,Cash,Commonwealth Bank of Australia,Euro Member Countries,,307938.0,0.0,,,AustralianSuper,0.0028195240117063333
Conservative Balanced,Cash,Commonwealth Bank of Australia,United States Dollar,,2968035.0,0.04,,,AustralianSuper,0.027175749501798435
Conservative Balanced,Cash,Deutsche Bank AG,Australia Dollar,,7191.0,0.0,,,AustralianSuper,6.58418161064248e-05
Conservative Balanced,Cash,Goldman Sachs International,Australia Dollar,,-3143343.0,-0.04,,,AustralianSuper,-0.028780894418775925
Conservative Balanced,Cash,Goldman Sachs International,United States Dollar,,-114537.0,0.0,,,AustralianSuper,-0.0010487170200780946
Conservative Balanced,Cash,Hongkong and Shanghai Banking Corporation Ltd,Australia Dollar,,-1429145.0,-0.02,,,AustralianSuper,-0.013085454356753786
Conservative Balanced,Cash,JP Morgan Securities LLC,Australia Dollar,,-1722327.0,-0.02,,,AustralianSuper,-0.01576987033919209
Conservative Balanced,Cash,JP Morgan Securities LLC,Canada Dollar,,-96.0,0.0,,,AustralianSuper,-8.7898961844205e-07
Conservative Balanced,Cash,JP Morgan Securities LLC,Euro Member Countries,,736078.0,0.01,,,AustralianSuper,0.006739634587120701
Conservative Balanced,Cash,JP Morgan Securities LLC,Japan Yen,,-67941.0,0.0,,,AustralianSuper,-0.0006220774340267845
Conservative Balanced,Cash,JP Morgan Securities LLC,New Zealand Dollar,,2007.0,0.0,,,AustralianSuper,1.8376376710554106e-05
Conservative Balanced,Cash,JP Morgan Securities LLC,United Kingdom Pound,,929909.0,0.01,,,AustralianSuper,0.00851437871974821
Conservative Balanced,Cash,JP Morgan Securities LLC,United States Dollar,,6212212.0,0.09,,,AustralianSuper,0.05687989432876171
Conservative Balanced,Cash,JP Morgan Securities PLC,Australia Dollar,,-1467170.0,-0.02,,,AustralianSuper,-0.013433616650933568
Conservative Balanced,Cash,JP Morgan Securities PLC,Canada Dollar,,132818.0,0.0,,,AustralianSuper,0.0012161004493982937
Conservative Balanced,Cash,JP Morgan Securities PLC,Euro Member Countries,,1451108.0,0.02,,,AustralianSuper,0.01328655070039798
Conservative Balanced,Cash,JP Morgan Securities PLC,Hong Kong Dollar,,37825.0,0.0,,,AustralianSuper,0.00034633106580802647
Conservative Balanced,Cash,JP Morgan Securities PLC,Japan Yen,,402316.0,0.01,,,AustralianSuper,0.003683662368053456
Conservative Balanced,Cash,JP Morgan Securities PLC,Singapore Dollar,,5.0,0.0,,,AustralianSuper,4.5780709293856774e-08
Conservative Balanced,Cash,JP Morgan Securities PLC,Switzerland Franc,,9279.0,0.0,,,AustralianSuper,8.495984030753938e-05
Conservative Balanced,Cash,JP Morgan Securities PLC,United Kingdom Pound,,398921.0,0.01,,,AustralianSuper,0.0036525772664429274
Conservative Balanced,Cash,JP Morgan Securities PLC,United States Dollar,,12149354.0,0.17,,,AustralianSuper,0.11124120871643119
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Australia Dollar,,9887427.0,0.14,,,AustralianSuper,0.09053068423024607
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Brazil Real,,80164.0,0.0,,,AustralianSuper,0.0007339929559665469
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Canada Dollar,,126469.0,0.0,,,AustralianSuper,0.0011579681047369542
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Chile Peso,,926.0,0.0,,,AustralianSuper,8.478587361222274e-06
Conservative Balanced,Cash,JPMorgan Chase Bank NA,China Yuan Renminbi,,4179.0,0.0,,,AustralianSuper,3.826351682780548e-05
Conservative Balanced,Cash,JPMorgan Chase Bank NA,Colombia Peso,,8.0,0.0,,,AustralianSuper,7.324913487017084e-08
