Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
High Growth,Cash,Australia & New Zealand Banking Group Ltd,Australia Dollar,,17555681.0,0.04,,,AustralianSuper,0.04047170317415231
High Growth,Cash,Australia & New Zealand Banking Group Ltd,United States Dollar,,14051877.0,0.03,,,AustralianSuper,0.032394265707134794
High Growth,Cash,Australia & New Zealand Banking Group Ltd/New Zealand,Australia Dollar,,165.0,0.0,,,AustralianSuper,3.8038006180080007e-07
High Growth,Cash,Bank of America NA,Australia Dollar,,800861.0,0.0,,,AustralianSuper,0.001846251858629397
High Growth,Cash,Bank of Montreal/London,Canada Dollar,,2850685.0,0.01,,,AustralianSuper,0.006571780221058264
High Growth,Cash,Barclays Bank PLC,Australia Dollar,,4540013.0,0.01,,,AustralianSuper,0.010466245003129912
High Growth,Cash,Barclays Bank PLC,United States Dollar,,-35455.0,0.0,,,AustralianSuper,-8.173560661301433e-05
High Growth,Cash,BNP Paribas SA,Australia Dollar,,-9338036.0,-0.02,,,AustralianSuper,-0.02152728915623088
High Growth,Cash,BNP Paribas SA,United States Dollar,,28954.0,0.0,,,AustralianSuper,6.67486321780628e-05
High Growth,Cash,BRED Banque Populaire,United States Dollar,,9246135.0,0.02,,,AustralianSuper,0.02131542668314267
High Growth,Cash,Citibank NA,Australia Dollar,,-55666.0,0.0,,,AustralianSuper,-0.0001283287061830505
High Growth,Cash,Citibank NA,United States Dollar,,-75832.0,0.0,,,AustralianSuper,-0.00017481806573623192
High Growth,Cash,Commonwealth Bank of Australia,Australia Dollar,,99425886.0,0.24,,,AustralianSuper,0.22920984643199574
High Growth,Cash,Commonwealth Bank of Australia,Euro Member Countries,,1159227.0,0.0,,,AustralianSuper,0.0026724050781888244
High Growth,Cash,Commonwealth Bank of Australia,United States Dollar,,24356587.0,0.06,,,AustralianSuper,0.05615006102010038
High Growth,Cash,Deutsche Bank AG,Australia Dollar,,37842.0,0.0,,,AustralianSuper,8.723843817373258e-05
High Growth,Cash,Goldman Sachs International,Australia Dollar,,-9536221.0,-0.02,,,AustralianSuper,-0.021984171717127802
High Growth,Cash,Goldman Sachs International,United States Dollar,,-59189.0,0.0,,,AustralianSuper,-0.00013645039683592456
High Growth,Cash,Hongkong and Shanghai Banking Corporation Ltd,Australia Dollar,,-1838313.0,0.0,,,AustralianSuper,-0.004237924924540691
High Growth,Cash,JP Morgan Securities LLC,Australia Dollar,,-914025.0,0.0,,,AustralianSuper,-0.002107132642348341
High Growth,Cash,JP Morgan Securities LLC,Canada Dollar,,-22037.0,0.0,,,AustralianSuper,-5.08026389206317e-05
High Growth,Cash,JP Morgan Securities LLC,Euro Member Countries,,380381.0,0.0,,,AustralianSuper,0.0008769051411384855
High Growth,Cash,JP Morgan Securities LLC,Japan Yen,,-58536.0,0.0,,,AustralianSuper,-0.00013494501392467655
High Growth,Cash,JP Morgan Securities LLC,New Zealand Dollar,,1037.0,0.0,,,AustralianSuper,2.390631055075331e-06
High Growth,Cash,JP Morgan Securities LLC,United Kingdom Pound,,228160.0,0.0,,,AustralianSuper,0.0005259849387907305
High Growth,Cash,JP Morgan Securities LLC,United States Dollar,,5486797.0,0.01,,,AustralianSuper,0.012648898072414814
High Growth,Cash,JP Morgan Securities PLC,Australia Dollar,,3812778.0,0.01,,,AustralianSuper,0.008789725644077156
High Growth,Cash,JP Morgan Securities PLC,Canada Dollar,,602671.0,0.0,,,AustralianSuper,0.0013893577710639392
High Growth,Cash,JP Morgan Securities PLC,Euro Member Countries,,2109561.0,0.01,,,AustralianSuper,0.004863242082136713
High Growth,Cash,JP Morgan Securities PLC,Hong Kong Dollar,,352927.0,0.0,,,AustralianSuper,0.0008136145095222481
High Growth,Cash,JP Morgan Securities PLC,Japan Yen,,1299410.0,0.0,,,AustralianSuper,0.002995573673361076
High Growth,Cash,JP Morgan Securities PLC,Singapore Dollar,,51.0,0.0,,,AustralianSuper,1.1757201910206546e-07
High Growth,Cash,JP Morgan Securities PLC,Switzerland Franc,,81138.0,0.0,,,AustralianSuper,0.00018705016639026248
High Growth,Cash,JP Morgan Securities PLC,United Kingdom Pound,,1380378.0,0.0,,,AustralianSuper,0.003182231933020998
High Growth,Cash,JP Morgan Securities PLC,United States Dollar,,30772455.0,0.07,,,AustralianSuper,0.07094077778583235
High Growth,Cash,JPMorgan Chase Bank NA,Australia Dollar,,133604681.0,0.32,,,AustralianSuper,0.30800337464034044
High Growth,Cash,JPMorgan Chase Bank NA,Brazil Real,,747971.0,0.0,,,AustralianSuper,0.0017243227588194313
High Growth,Cash,JPMorgan Chase Bank NA,Canada Dollar,,1463545.0,0.0,,,AustralianSuper,0.0033739596215045563
High Growth,Cash,JPMorgan Chase Bank NA,Chile Peso,,8640.0,0.0,,,AustralianSuper,1.991808323611462e-05
High Growth,Cash,JPMorgan Chase Bank NA,China Yuan Renminbi,,38988.0,0.0,,,AustralianSuper,8.988035060296722e-05
High Growth,Cash,JPMorgan Chase Bank NA,Colombia Peso,,4.0,0.0,,,AustralianSuper,9.221334831534546e-09
High Growth,Cash,JPMorgan Chase Bank NA,Czech Republic Koruna,,551.0,0.0,,,AustralianSuper,1.2702388730438837e-06
High Growth,Cash,JPMorgan Chase Bank NA,Denmark Krone,,511604.0,0.0,,,AustralianSuper,0.0011794179462881
