Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
Index Diversified,Cash,Australia & New Zealand Banking Group Ltd,United States Dollar,,103391.0,0.0,,,AustralianSuper,0.001746233068505353
Index Diversified,Cash,Bank of Montreal/London,Canada Dollar,,33891.0,0.0,,,AustralianSuper,0.0005724055761595778
Index Diversified,Cash,Barclays Bank PLC,Australia Dollar,,11383.0,0.0,,,AustralianSuper,0.0001922543646816109
Index Diversified,Cash,BRED Banque Populaire,United States Dollar,,68031.0,0.0,,,AustralianSuper,0.0011490166637665529
Index Diversified,Cash,Citibank NA,Australia Dollar,,6883.0,0.0,,,AustralianSuper,0.00011625114575274776
Index Diversified,Cash,Commonwealth Bank of Australia,Australia Dollar,,13935129.0,0.37,,,AustralianSuper,0.2353588133753221
Index Diversified,Cash,Commonwealth Bank of Australia,Euro Member Countries,,11856.0,0.0,,,AustralianSuper,0.0002002431474712447
Index Diversified,Cash,Commonwealth Bank of Australia,United States Dollar,,179212.0,0.0,,,AustralianSuper,0.003026819749039871
Index Diversified,Cash,Deutsche Bank AG,Australia Dollar,,-30250.0,0.0,,,AustralianSuper,-0.0005109105272440243
Index Diversified,Cash,JP Morgan Securities LLC,Australia Dollar,,-11153.0,0.0,,,AustralianSuper,-0.00018836975571413564
Index Diversified,Cash,JP Morgan Securities LLC,United States Dollar,,128251.0,0.0,,,AustralianSuper,0.0021661086290768053
Index Diversified,Cash,JP Morgan Securities PLC,Australia Dollar,,1443589.0,0.04,,,AustralianSuper,0.02438164684673302
Index Diversified,Cash,JP Morgan Securities PLC,Euro Member Countries,,12216.0,0.0,,,AustralianSuper,0.00020632340498555378
Index Diversified,Cash,JP Morgan Securities PLC,Japan Yen,,3482.0,0.0,,,AustralianSuper,5.880960184673364e-05
Index Diversified,Cash,JP Morgan Securities PLC,United Kingdom Pound,,98119.0,0.0,,,AustralianSuper,0.001657191075129138
Index Diversified,Cash,JP Morgan Securities PLC,United States Dollar,,429400.0,0.01,,,AustralianSuper,0.007252396046234183
Index Diversified,Cash,JPMorgan Chase Bank NA,Australia Dollar,,29805867.0,0.79,,,AustralianSuper,0.503409296659017
Index Diversified,Cash,JPMorgan Chase Bank NA,Brazil Real,,304385.0,0.01,,,AustralianSuper,0.005140942176369334
Index Diversified,Cash,JPMorgan Chase Bank NA,Canada Dollar,,339296.0,0.01,,,AustralianSuper,0.005730575148819454
Index Diversified,Cash,JPMorgan Chase Bank NA,China Yuan Renminbi,,84265.0,0.0,,,AustralianSuper,0.001423202498453478
Index Diversified,Cash,JPMorgan Chase Bank NA,Colombia Peso,,322.0,0.0,,,AustralianSuper,5.438452554465317e-06
Index Diversified,Cash,JPMorgan Chase Bank NA,Czech Republic Koruna,,40768.0,0.0,,,AustralianSuper,0.000688555384287087
Index Diversified,Cash,JPMorgan Chase Bank NA,Denmark Krone,,107221.0,0.0,,,AustralianSuper,0.0018109202526159186
Index Diversified,Cash,JPMorgan Chase Bank NA,Euro Member Countries,,1424316.0,0.04,,,AustralianSuper,0.024056133504862805
Index Diversified,Cash,JPMorgan Chase Bank NA,Hong Kong Dollar,,720368.0,0.02,,,AustralianSuper,0.01216673040296606
Index Diversified,Cash,JPMorgan Chase Bank NA,Hungary Forint,,106327.0,0.0,,,AustralianSuper,0.0017958209464553842
Index Diversified,Cash,JPMorgan Chase Bank NA,India Rupee,,76190.0,0.0,,,AustralianSuper,0.001286818944486685
Index Diversified,Cash,JPMorgan Chase Bank NA,Indonesia Rupiah,,47.0,0.0,,,AustralianSuper,7.938113977014593e-07
Index Diversified,Cash,JPMorgan Chase Bank NA,Israel Shekel,,231051.0,0.01,,,AustralianSuper,0.0039023599414961677
Index Diversified,Cash,JPMorgan Chase Bank NA,Japan Yen,,1370742.0,0.04,,,AustralianSuper,0.023151289849108376
Index Diversified,Cash,JPMorgan Chase Bank NA,Korea (South) Won,,27575.0,0.0,,,AustralianSuper,0.0004657308359918668
Index Diversified,Cash,JPMorgan Chase Bank NA,Mexico Peso,,37975.0,0.0,,,AustralianSuper,0.0006413827197385727
Index Diversified,Cash,JPMorgan Chase Bank NA,New Zealand Dollar,,59301.0,0.0,,,AustralianSuper,0.0010015704190445582
Index Diversified,Cash,JPMorgan Chase Bank NA,Norway Krone,,203073.0,0.01,,,AustralianSuper,0.003429822595009116
Index Diversified,Cash,JPMorgan Chase Bank NA,Philippines Peso,,3337.0,0.0,,,AustralianSuper,5.636060923680361e-05
Index Diversified,Cash,JPMorgan Chase Bank NA,Poland Zloty,,136490.0,0.0,,,AustralianSuper,0.0023052620781334504
Index Diversified,Cash,JPMorgan Chase Bank NA,Qatar Riyal,,33105.0,0.0,,,AustralianSuper,0.0005591303472533364
Index Diversified,Cash,JPMorgan Chase Bank NA,Singapore Dollar,,37208.0,0.0,,,AustralianSuper,0.0006284283933122531
Index Diversified,Cash,JPMorgan Chase Bank NA,South Africa Rand,,23144.0,0.0,,,AustralianSuper,0.0003908929997532463
Index Diversified,Cash,JPMorgan Chase Bank NA,Sweden Krona,,26799.0,0.0,,,AustralianSuper,0.00045262450312768957
Index Diversified,Cash,JPMorgan Chase Bank NA,Switzerland Franc,,949617.0,0.03,,,AustralianSuper,0.016038655277682272
Index Diversified,Cash,JPMorgan Chase Bank NA,Taiwan New Dollar,,156509.0,0.0,,,AustralianSuper,0.0026433750647416533
Index Diversified,Cash,JPMorgan Chase Bank NA,Turkey Lira,,58807.0,0.0,,,AustralianSuper,0.0009932269545665897
Index Diversified,Cash,JPMorgan Chase Bank NA,United Arab Emirates Dirham,,204668.0,0.01,,,AustralianSuper,0.003456761513718346
Index Diversified,Cash,JPMorgan Chase Bank NA,United Kingdom Pound,,1262560.0,0.03,,,AustralianSuper,0.021324138686850094
Index Diversified,Cash,JPMorgan Chase Bank NA,United States Dollar,,9564687.0,0.25,,,AustralianSuper,0.1615437777882336
Index Diversified,Cash,Mitsubishi UFJ Trust & Banking Corp/London,Euro Member Countries,,6322.0,0.0,,,AustralianSuper,0.00010677607779294949
Index Diversified,Cash,MUFG Bank Ltd/London,Euro Member Countries,,20550.0,0.0,,,AustralianSuper,0.00034708136644180827
