Option_Name,Asset_Class,Name,Currency,Security_Identifier,Dollar_Value,Weighting_Percentage,Listing_Status,Management_Type,Super_Fund,Weighting_Percentage_Clean
International Shares,Cash,Australia & New Zealand Banking Group Ltd,United States Dollar,,6497796.0,0.07,,,AustralianSuper,0.07073991696583107
International Shares,Cash,Bank of Montreal/London,Canada Dollar,,992489.0,0.01,,,AustralianSuper,0.010804985174896335
International Shares,Cash,BRED Banque Populaire,United States Dollar,,4275550.0,0.05,,,AustralianSuper,0.046546867889244135
International Shares,Cash,Citibank NA,Australia Dollar,,118946.0,0.0,,,AustralianSuper,0.0012949360311431356
International Shares,Cash,Commonwealth Bank of Australia,Australia Dollar,,7641983.0,0.09,,,AustralianSuper,0.0831964011911566
International Shares,Cash,Commonwealth Bank of Australia,Euro Member Countries,,173325.0,0.0,,,AustralianSuper,0.0018869469137077664
International Shares,Cash,Commonwealth Bank of Australia,United States Dollar,,11262847.0,0.13,,,AustralianSuper,0.12261586260616053
International Shares,Cash,JP Morgan Securities LLC,Australia Dollar,,-6116.0,0.0,,,AustralianSuper,-6.658339722623221e-05
International Shares,Cash,JP Morgan Securities LLC,United States Dollar,,70333.0,0.0,,,AustralianSuper,0.0007656981813460743
International Shares,Cash,JP Morgan Securities PLC,Australia Dollar,,7376.0,0.0,,,AustralianSuper,8.030070927741806e-05
International Shares,Cash,JP Morgan Securities PLC,Canada Dollar,,76552.0,0.0,,,AustralianSuper,0.000833402914398713
International Shares,Cash,JP Morgan Securities PLC,Euro Member Countries,,1126849.0,0.01,,,AustralianSuper,0.012267729656798978
International Shares,Cash,JP Morgan Securities PLC,Hong Kong Dollar,,176266.0,0.0,,,AustralianSuper,0.0019189648619161296
International Shares,Cash,JP Morgan Securities PLC,Japan Yen,,322371.0,0.0,,,AustralianSuper,0.003509574288295897
International Shares,Cash,JP Morgan Securities PLC,Singapore Dollar,,25.0,0.0,,,AustralianSuper,2.7216888990448097e-07
International Shares,Cash,JP Morgan Securities PLC,Switzerland Franc,,22307.0,0.0,,,AustralianSuper,0.00024285085708397025
International Shares,Cash,JP Morgan Securities PLC,United Kingdom Pound,,402722.0,0.0,,,AustralianSuper,0.004384335987204495
