Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARAS,Australian Shares,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,United States Dollar,,,,,,,-8153.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,BRED Banque Populaire,Name of Institution,United States Dollar,,,,,,,-5365.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,Commonwealth Bank of Australia,Name of Institution,Australia Dollar,,,,,,,10049436.0,0.12,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,Commonwealth Bank of Australia,Name of Institution,United States Dollar,,,,,,,-14132.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,JP Morgan Securities LLC,Name of Institution,Australia Dollar,,,,,,,-8043.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,JP Morgan Securities LLC,Name of Institution,United States Dollar,,,,,,,92489.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,JP Morgan Securities PLC,Name of Institution,Australia Dollar,,,,,,,5020177.0,0.06,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Australia Dollar,,,,,,,38667697.0,0.45,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Canada Dollar,,,,,,,4.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,JPMorgan Chase Bank NA,Name of Institution,United States Dollar,,,,,,,1278.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,MUFG Bank Ltd/London,Name of Institution,United Kingdom Pound,,,,,,,1.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,National Australia Bank Ltd,Name of Institution,Australia Dollar,,,,,,,5298980.0,0.06,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,National Australia Bank Ltd,Name of Institution,United Kingdom Pound,,,,,,,2.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,National Australia Bank Ltd,Name of Institution,United States Dollar,,,,,,,-14132.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,Royal Bank of Canada,Name of Institution,United Kingdom Pound,,,,,,,1.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,Royal Bank of Canada,Name of Institution,United States Dollar,,,,,,,-17393.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,Royal Bank of Canada/Sydney,Name of Institution,Australia Dollar,,,,,,,8482844.0,0.1,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,Skandinaviska Enskilda Banken AB,Name of Institution,United States Dollar,,,,,,,-6571.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,Standard Chartered Bank,Name of Institution,United Kingdom Pound,,,,,,,1.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,Sumitomo Mitsui Banking Corp/Sydney,Name of Institution,Australia Dollar,,,,,,,3343787.0,0.04,,,,,,,nan,nan
ARAS,Australian Shares,Cash,,,Total,Total,,,,,,,,70882909.0,0.82,,,,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Asset Class,,Equity,Asset Class,,,,,,,,,,,95.04,1.31,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Asset Class,,Infrastructure,Asset Class,,,,,,,,,,,2.49,,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Asset Class,,Property,Asset Class,,,,,,,,,,,1.4,,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Asset Class,,Fixed Income,Asset Class,,,,,,,,,,,1.17,-0.07,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Asset Class,,Alternatives,Asset Class,,,,,,,,,,,0.31,,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Asset Class,,Cash,Asset Class,,,,,,,,,,,-0.41,-1.24,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Asset Class,,Total,Total,,,,,,,,,,,100.0,0.0,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Currency,,AUD,Currency Exposure,,,,,,,,,,96.2,,0.0,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Currency,,Currencies of other developed markets,Currency Exposure,,,,,,,,,,3.8,,,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Currency,,USD,Currency Exposure,,,,,,,,,,0.0,,,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Currency,,Total,Total,,,,,,,,,,100.0,,0.0,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Kind,,Futures,Kind of Derivatives,,,,,,,,211681.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Kind,,Swaps,Kind of Derivatives,,,,,,,,6920.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Derivatives,By Kind,,,Total,,,,,,,,218601.0,0.0,,,,,,,nan,nan
ARAS,Australian Shares,Fixed Income,All Assets,,AMP Bank Ltd,Name of Issuer/Counterparty,,Corporate,,,,,,686455.0,0.01,,,,,,,nan,nan
