Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARBA,Balanced,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,Australia Dollar,,,,,,,149605383.0,0.06,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,United States Dollar,,,,,,,76900338.0,0.03,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Australia & New Zealand Banking Group Ltd/New Zealand,Name of Institution,Australia Dollar,,,,,,,1477.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Bank of America NA,Name of Institution,Australia Dollar,,,,,,,3660616.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Bank of Montreal/London,Name of Institution,Canada Dollar,,,,,,,21163370.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Barclays Bank PLC,Name of Institution,Australia Dollar,,,,,,,-19640165.0,-0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Barclays Bank PLC,Name of Institution,United States Dollar,,,,,,,-1275426.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,BNP Paribas SA,Name of Institution,Australia Dollar,,,,,,,-118840074.0,-0.05,,,,,,,nan,nan
ARBA,Balanced,Cash,,,BNP Paribas SA,Name of Institution,United States Dollar,,,,,,,1041554.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,BRED Banque Populaire,Name of Institution,United States Dollar,,,,,,,50600422.0,0.02,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Citibank NA,Name of Institution,Australia Dollar,,,,,,,-17323358.0,-0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Citibank NA,Name of Institution,United States Dollar,,,,,,,-2727935.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Commonwealth Bank of Australia,Name of Institution,Australia Dollar,,,,,,,771117309.0,0.31,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Commonwealth Bank of Australia,Name of Institution,Euro Member Countries,,,,,,,9401077.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Commonwealth Bank of Australia,Name of Institution,United States Dollar,,,,,,,133293919.0,0.05,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Deutsche Bank AG,Name of Institution,Australia Dollar,,,,,,,-395298.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Goldman Sachs International,Name of Institution,Australia Dollar,,,,,,,-96148934.0,-0.04,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Goldman Sachs International,Name of Institution,United States Dollar,,,,,,,-2129223.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,Hongkong and Shanghai Banking Corporation Ltd,Name of Institution,Australia Dollar,,,,,,,-31617495.0,-0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Australia Dollar,,,,,,,-34446725.0,-0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Canada Dollar,,,,,,,-192167.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Euro Member Countries,,,,,,,14390018.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Japan Yen,,,,,,,-1223751.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,New Zealand Dollar,,,,,,,37310.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Norway Krone,,,,,,,1107475.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Switzerland Franc,,,,,,,-716874.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,United Kingdom Pound,,,,,,,10142422.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,United States Dollar,,,,,,,175073311.0,0.07,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Australia Dollar,,,,,,,-7951567.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Canada Dollar,,,,,,,4903832.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Euro Member Countries,,,,,,,34467809.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Hong Kong Dollar,,,,,,,1659508.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Japan Yen,,,,,,,14091837.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Singapore Dollar,,,,,,,238.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Switzerland Franc,,,,,,,426907.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,United Kingdom Pound,,,,,,,14351445.0,0.01,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,United States Dollar,,,,,,,298657227.0,0.12,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Australia Dollar,,,,,,,556411206.0,0.22,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Brazil Real,,,,,,,3517055.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Canada Dollar,,,,,,,6394180.0,0.0,,,,,,,nan,nan
ARBA,Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Chile Peso,,,,,,,40629.0,0.0,,,,,,,nan,nan
