Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARYO,Conservative Balanced,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,Australia Dollar,,,,,,,18689618.0,0.26,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,United States Dollar,,,,,,,1712328.0,0.02,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Australia & New Zealand Banking Group Ltd/New Zealand,Name of Institution,Australia Dollar,,,,,,,44.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Bank of America NA,Name of Institution,Australia Dollar,,,,,,,80501.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Bank of Montreal/London,Name of Institution,Canada Dollar,,,,,,,628011.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Barclays Bank PLC,Name of Institution,Australia Dollar,,,,,,,-1386171.0,-0.02,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Barclays Bank PLC,Name of Institution,United States Dollar,,,,,,,-68609.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,BNP Paribas SA,Name of Institution,Australia Dollar,,,,,,,-3311376.0,-0.05,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,BNP Paribas SA,Name of Institution,United States Dollar,,,,,,,56028.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,BRED Banque Populaire,Name of Institution,United States Dollar,,,,,,,1126712.0,0.02,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Citibank NA,Name of Institution,Australia Dollar,,,,,,,-741580.0,-0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Citibank NA,Name of Institution,United States Dollar,,,,,,,-146744.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Commonwealth Bank of Australia,Name of Institution,Australia Dollar,,,,,,,52514395.0,0.74,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Commonwealth Bank of Australia,Name of Institution,Euro Member Countries,,,,,,,307938.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Commonwealth Bank of Australia,Name of Institution,United States Dollar,,,,,,,2968035.0,0.04,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Deutsche Bank AG,Name of Institution,Australia Dollar,,,,,,,7191.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Goldman Sachs International,Name of Institution,Australia Dollar,,,,,,,-3143343.0,-0.04,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Goldman Sachs International,Name of Institution,United States Dollar,,,,,,,-114537.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,Hongkong and Shanghai Banking Corporation Ltd,Name of Institution,Australia Dollar,,,,,,,-1429145.0,-0.02,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Australia Dollar,,,,,,,-1722327.0,-0.02,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Canada Dollar,,,,,,,-96.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Euro Member Countries,,,,,,,736078.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,Japan Yen,,,,,,,-67941.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,New Zealand Dollar,,,,,,,2007.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,United Kingdom Pound,,,,,,,929909.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities LLC,Name of Institution,United States Dollar,,,,,,,6212212.0,0.09,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Australia Dollar,,,,,,,-1467170.0,-0.02,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Canada Dollar,,,,,,,132818.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Euro Member Countries,,,,,,,1451108.0,0.02,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Hong Kong Dollar,,,,,,,37825.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Japan Yen,,,,,,,402316.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Singapore Dollar,,,,,,,5.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,Switzerland Franc,,,,,,,9279.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,United Kingdom Pound,,,,,,,398921.0,0.01,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JP Morgan Securities PLC,Name of Institution,United States Dollar,,,,,,,12149354.0,0.17,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Australia Dollar,,,,,,,9887427.0,0.14,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Brazil Real,,,,,,,80164.0,0.0,,,,,,,nan,nan
ARYO,Conservative Balanced,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Canada Dollar,,,,,,,126469.0,0.0,,,,,,,nan,nan
