Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARHG,High Growth,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,Australia Dollar,,,,,,,17555681.0,0.04,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,United States Dollar,,,,,,,14051877.0,0.03,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Australia & New Zealand Banking Group Ltd/New Zealand,Name of Institution,Australia Dollar,,,,,,,165.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Bank of America NA,Name of Institution,Australia Dollar,,,,,,,800861.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Bank of Montreal/London,Name of Institution,Canada Dollar,,,,,,,2850685.0,0.01,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Barclays Bank PLC,Name of Institution,Australia Dollar,,,,,,,4540013.0,0.01,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Barclays Bank PLC,Name of Institution,United States Dollar,,,,,,,-35455.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,BNP Paribas SA,Name of Institution,Australia Dollar,,,,,,,-9338036.0,-0.02,,,,,,,nan,nan
ARHG,High Growth,Cash,,,BNP Paribas SA,Name of Institution,United States Dollar,,,,,,,28954.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,BRED Banque Populaire,Name of Institution,United States Dollar,,,,,,,9246135.0,0.02,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Citibank NA,Name of Institution,Australia Dollar,,,,,,,-55666.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Citibank NA,Name of Institution,United States Dollar,,,,,,,-75832.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Commonwealth Bank of Australia,Name of Institution,Australia Dollar,,,,,,,99425886.0,0.24,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Commonwealth Bank of Australia,Name of Institution,Euro Member Countries,,,,,,,1159227.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Commonwealth Bank of Australia,Name of Institution,United States Dollar,,,,,,,24356587.0,0.06,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Deutsche Bank AG,Name of Institution,Australia Dollar,,,,,,,37842.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Goldman Sachs International,Name of Institution,Australia Dollar,,,,,,,-9536221.0,-0.02,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Goldman Sachs International,Name of Institution,United States Dollar,,,,,,,-59189.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,Hongkong and Shanghai Banking Corporation Ltd,Name of Institution,Australia Dollar,,,,,,,-1838313.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Australia Dollar,,,,,,,-914025.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Canada Dollar,,,,,,,-22037.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Euro Member Countries,,,,,,,380381.0,0.0,,,,,,,nan,nan
ARHG,High Growth,Cash,,,JP Morgan Securities LLC,Name of Institution,Japan Yen,,,,,,,-58536.0,0.0,,,,,,,nan,nan
