Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARDO,Index Diversified,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,United States Dollar,,,,,,,103391.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,Bank of Montreal/London,Name of Institution,Canada Dollar,,,,,,,33891.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,Barclays Bank PLC,Name of Institution,Australia Dollar,,,,,,,11383.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,BRED Banque Populaire,Name of Institution,United States Dollar,,,,,,,68031.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,Citibank NA,Name of Institution,Australia Dollar,,,,,,,6883.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,Commonwealth Bank of Australia,Name of Institution,Australia Dollar,,,,,,,13935129.0,0.37,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,Commonwealth Bank of Australia,Name of Institution,Euro Member Countries,,,,,,,11856.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,Commonwealth Bank of Australia,Name of Institution,United States Dollar,,,,,,,179212.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,Deutsche Bank AG,Name of Institution,Australia Dollar,,,,,,,-30250.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JP Morgan Securities LLC,Name of Institution,Australia Dollar,,,,,,,-11153.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JP Morgan Securities LLC,Name of Institution,United States Dollar,,,,,,,128251.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JP Morgan Securities PLC,Name of Institution,Australia Dollar,,,,,,,1443589.0,0.04,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JP Morgan Securities PLC,Name of Institution,Euro Member Countries,,,,,,,12216.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JP Morgan Securities PLC,Name of Institution,Japan Yen,,,,,,,3482.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JP Morgan Securities PLC,Name of Institution,United Kingdom Pound,,,,,,,98119.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JP Morgan Securities PLC,Name of Institution,United States Dollar,,,,,,,429400.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Australia Dollar,,,,,,,29805867.0,0.79,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Brazil Real,,,,,,,304385.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Canada Dollar,,,,,,,339296.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,China Yuan Renminbi,,,,,,,84265.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Colombia Peso,,,,,,,322.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Czech Republic Koruna,,,,,,,40768.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Denmark Krone,,,,,,,107221.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Euro Member Countries,,,,,,,1424316.0,0.04,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Hong Kong Dollar,,,,,,,720368.0,0.02,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Hungary Forint,,,,,,,106327.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,India Rupee,,,,,,,76190.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Indonesia Rupiah,,,,,,,47.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Israel Shekel,,,,,,,231051.0,0.01,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Japan Yen,,,,,,,1370742.0,0.04,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Korea (South) Won,,,,,,,27575.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Mexico Peso,,,,,,,37975.0,0.0,,,,,,,nan,nan
ARDO,Index Diversified,Cash,,,JPMorgan Chase Bank NA,Name of Institution,New Zealand Dollar,,,,,,,59301.0,0.0,,,,,,,nan,nan
