Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARIS,International Shares,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,United States Dollar,,,,,,,6497796.0,0.07,,,,,,,nan,nan
ARIS,International Shares,Cash,,,Bank of Montreal/London,Name of Institution,Canada Dollar,,,,,,,992489.0,0.01,,,,,,,nan,nan
ARIS,International Shares,Cash,,,BRED Banque Populaire,Name of Institution,United States Dollar,,,,,,,4275550.0,0.05,,,,,,,nan,nan
ARIS,International Shares,Cash,,,Citibank NA,Name of Institution,Australia Dollar,,,,,,,118946.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,Commonwealth Bank of Australia,Name of Institution,Australia Dollar,,,,,,,7641983.0,0.09,,,,,,,nan,nan
ARIS,International Shares,Cash,,,Commonwealth Bank of Australia,Name of Institution,Euro Member Countries,,,,,,,173325.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,Commonwealth Bank of Australia,Name of Institution,United States Dollar,,,,,,,11262847.0,0.13,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities LLC,Name of Institution,Australia Dollar,,,,,,,-6116.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities LLC,Name of Institution,United States Dollar,,,,,,,70333.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities PLC,Name of Institution,Australia Dollar,,,,,,,7376.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities PLC,Name of Institution,Canada Dollar,,,,,,,76552.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities PLC,Name of Institution,Euro Member Countries,,,,,,,1126849.0,0.01,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities PLC,Name of Institution,Hong Kong Dollar,,,,,,,176266.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities PLC,Name of Institution,Japan Yen,,,,,,,322371.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities PLC,Name of Institution,Singapore Dollar,,,,,,,25.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities PLC,Name of Institution,Switzerland Franc,,,,,,,22307.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities PLC,Name of Institution,United Kingdom Pound,,,,,,,402722.0,0.0,,,,,,,nan,nan
ARIS,International Shares,Cash,,,JP Morgan Securities PLC,Name of Institution,United States Dollar,,,,,,,3280214.0,0.04,,,,,,,nan,nan
