Option Code,Option Name,Asset Class,Filter,Sub-Filter,Name,Name Type,Currency,Issuer Type,Security Identifier,Units Held,Location,Address,% Ownership,$ Value,Weighting (%),Actual Currency Exposure (%),Actual Asset Allocation (%),Effect of Derivatives Exposure (%),Classification,Sort Order,Value Range,Geo Latitude,Geo Longitude
ARSB,Socially Aware,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,Australia Dollar,,,,,,,1422863.0,0.04,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Australia & New Zealand Banking Group Ltd,Name of Institution,United States Dollar,,,,,,,1192418.0,0.04,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Australia & New Zealand Banking Group Ltd/New Zealand,Name of Institution,Australia Dollar,,,,,,,19.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Bank of America NA,Name of Institution,Australia Dollar,,,,,,,-2824.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Bank of Montreal/London,Name of Institution,Canada Dollar,,,,,,,90759.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Barclays Bank PLC,Name of Institution,Australia Dollar,,,,,,,353898.0,0.01,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,BNP Paribas SA,Name of Institution,Australia Dollar,,,,,,,-1049503.0,-0.03,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,BRED Banque Populaire,Name of Institution,United States Dollar,,,,,,,784611.0,0.02,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Citibank NA,Name of Institution,Australia Dollar,,,,,,,-54088.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Commonwealth Bank of Australia,Name of Institution,Australia Dollar,,,,,,,7700835.0,0.24,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Commonwealth Bank of Australia,Name of Institution,Euro Member Countries,,,,,,,66805.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Commonwealth Bank of Australia,Name of Institution,United States Dollar,,,,,,,2066859.0,0.06,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Deutsche Bank AG,Name of Institution,Australia Dollar,,,,,,,22336.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Goldman Sachs International,Name of Institution,Australia Dollar,,,,,,,-899393.0,-0.03,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Hongkong and Shanghai Banking Corporation Ltd,Name of Institution,Australia Dollar,,,,,,,-373288.0,-0.01,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities LLC,Name of Institution,Australia Dollar,,,,,,,-373.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities LLC,Name of Institution,Canada Dollar,,,,,,,-9397.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities LLC,Name of Institution,Euro Member Countries,,,,,,,601009.0,0.02,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities LLC,Name of Institution,Japan Yen,,,,,,,-9942.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities LLC,Name of Institution,United Kingdom Pound,,,,,,,-107681.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities LLC,Name of Institution,United States Dollar,,,,,,,1339452.0,0.04,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities PLC,Name of Institution,Australia Dollar,,,,,,,898285.0,0.03,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities PLC,Name of Institution,Canada Dollar,,,,,,,78053.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities PLC,Name of Institution,Euro Member Countries,,,,,,,415411.0,0.01,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities PLC,Name of Institution,Japan Yen,,,,,,,219548.0,0.01,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities PLC,Name of Institution,Korea (South) Won,,,,,,,132153.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities PLC,Name of Institution,United Kingdom Pound,,,,,,,252783.0,0.01,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JP Morgan Securities PLC,Name of Institution,United States Dollar,,,,,,,3244446.0,0.1,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Australia Dollar,,,,,,,16777526.0,0.52,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Brazil Real,,,,,,,138548.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Canada Dollar,,,,,,,1425914.0,0.04,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,China Yuan Renminbi (offshore),,,,,,,679014.0,0.02,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Czech Republic Koruna,,,,,,,-33.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Denmark Krone,,,,,,,126450.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Euro Member Countries,,,,,,,1298908.0,0.04,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Hong Kong Dollar,,,,,,,122496.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Hungary Forint,,,,,,,1.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,India Rupee,,,,,,,77219.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Israel Shekel,,,,,,,9765.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Japan Yen,,,,,,,579817.0,0.02,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Korea (South) Won,,,,,,,44435.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Mexico Peso,,,,,,,474039.0,0.01,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,New Zealand Dollar,,,,,,,1997.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Norway Krone,,,,,,,43263.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Poland Zloty,,,,,,,2953.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Qatar Riyal,,,,,,,-2282.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,South Africa Rand,,,,,,,72490.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Sweden Krona,,,,,,,17757.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Switzerland Franc,,,,,,,828927.0,0.03,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Taiwan New Dollar,,,,,,,89919.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,Turkey Lira,,,,,,,234.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,United Arab Emirates Dirham,,,,,,,-364.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,United Kingdom Pound,,,,,,,919493.0,0.03,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,JPMorgan Chase Bank NA,Name of Institution,United States Dollar,,,,,,,4370314.0,0.14,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Mitsubishi UFJ Trust & Banking Corp/London,Name of Institution,Euro Member Countries,,,,,,,35625.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Morgan Stanley & Co International PLC,Name of Institution,Australia Dollar,,,,,,,-97251.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,MUFG Bank Ltd/London,Name of Institution,Euro Member Countries,,,,,,,115796.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,MUFG Bank Ltd/London,Name of Institution,United Kingdom Pound,,,,,,,73565.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,National Australia Bank Ltd,Name of Institution,Australia Dollar,,,,,,,1725120.0,0.05,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,National Australia Bank Ltd,Name of Institution,United Kingdom Pound,,,,,,,141719.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,National Australia Bank Ltd,Name of Institution,United States Dollar,,,,,,,2066859.0,0.06,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Royal Bank of Canada,Name of Institution,Australia Dollar,,,,,,,-391903.0,-0.01,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Royal Bank of Canada,Name of Institution,United Kingdom Pound,,,,,,,74724.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Royal Bank of Canada,Name of Institution,United States Dollar,,,,,,,2543826.0,0.08,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Royal Bank of Canada/Sydney,Name of Institution,Australia Dollar,,,,,,,5748917.0,0.18,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Skandinaviska Enskilda Banken AB,Name of Institution,Euro Member Countries,,,,,,,50888.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Skandinaviska Enskilda Banken AB,Name of Institution,Norway Krone,,,,,,,-43.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Skandinaviska Enskilda Banken AB,Name of Institution,Sweden Krona,,,,,,,-49.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Skandinaviska Enskilda Banken AB,Name of Institution,United States Dollar,,,,,,,961089.0,0.03,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Societe Generale SA,Name of Institution,Australia Dollar,,,,,,,-214944.0,-0.01,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Standard Chartered Bank,Name of Institution,Australia Dollar,,,,,,,6362.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Standard Chartered Bank,Name of Institution,Euro Member Countries,,,,,,,115796.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Standard Chartered Bank,Name of Institution,United Kingdom Pound,,,,,,,83743.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,State Street Bank and Trust Co,Name of Institution,Australia Dollar,,,,,,,-4715.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Sumitomo Mitsui Banking Corp/Sydney,Name of Institution,Australia Dollar,,,,,,,1851442.0,0.06,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Toronto-Dominion Bank/The,Name of Institution,Australia Dollar,,,,,,,-10083.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,UBS AG,Name of Institution,Australia Dollar,,,,,,,-37681.0,0.0,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Westpac Banking Corp,Name of Institution,Australia Dollar,,,,,,,-803376.0,-0.03,,,,,,,nan,nan
ARSB,Socially Aware,Cash,,,Total,Total,,,,,,,,60510276.0,1.89,,,,,,,nan,nan
