Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Cash,-,COMMONWEALTH BANK OF AUSTRALIA,2613762.0,0.18,-,AUD,,AwareSuper,Accumulation-Australian-Shares,0.1755894447618196
Cash,-,STATE STREET BANK AND TRUST,1486895.0,0.1,-,AUD,,AwareSuper,Accumulation-Australian-Shares,0.09988785033569457
Cash,-,NATIONAL AUSTRALIA BANK LIMITED,1276747.0,0.09,-,AUD,,AwareSuper,Accumulation-Australian-Shares,0.08577035584392108
Cash,-,JPMORGAN CHASE & CO,1017311.0,0.07,-,AUD,,AwareSuper,Accumulation-Australian-Shares,0.06834175171270049
Cash,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,65828.0,0.0,-,AUD,,AwareSuper,Accumulation-Australian-Shares,0.0044222473085847374
Cash,-,STATE STREET BANK AND TRUST,86.0,0.0,-,USD,,AwareSuper,Accumulation-Australian-Shares,5.777378448962256e-06
Cash,-,STATE STREET BANK AND TRUST,5.0,0.0,-,NZD,,AwareSuper,Accumulation-Australian-Shares,3.358940958698986e-07
Cash,-,MORGAN STANLEY,-1449.0,0.0,-,AUD,,AwareSuper,Accumulation-Australian-Shares,-9.734210898309663e-05
Fixed Income,Internally,WESTPAC BANKING CORPORATION,6376797.0,0.43,-,-,,AwareSuper,Accumulation-Australian-Shares,0.4283856925721764
Fixed Income,Internally,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,1698177.0,0.11,-,-,,AwareSuper,Accumulation-Australian-Shares,0.11408152560841137
Fixed Income,Internally,COMMONWEALTH BANK OF AUSTRALIA,1191162.0,0.08,-,-,,AwareSuper,Accumulation-Australian-Shares,0.08002085660491604
Fixed Income,Internally,NATIONAL AUSTRALIA BANK LIMITED,446983.0,0.03,-,-,,AwareSuper,Accumulation-Australian-Shares,0.030027790130842974
Fixed Income,Internally,STANDARD CHARTERED BANK,446417.0,0.03,-,-,,AwareSuper,Accumulation-Australian-Shares,0.029989766919190506
Fixed Income,Internally,CANADIAN IMPERIAL BANK OF COMMERCE,410020.0,0.03,-,-,,AwareSuper,Accumulation-Australian-Shares,0.027544659437715165
Fixed Income,Internally,NBN CO. LTD.,373255.0,0.03,-,-,,AwareSuper,Accumulation-Australian-Shares,0.025074830150783798
Fixed Income,Internally,UNITED OVERSEAS BANK LTD.,297156.0,0.02,-,-,,AwareSuper,Accumulation-Australian-Shares,0.019962589190463117
Fixed Income,Internally,OVERSEA-CHINESE BANKING CORP. LTD.,224395.0,0.02,-,-,,AwareSuper,Accumulation-Australian-Shares,0.015074591128545178
Fixed Income,Internally,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,222368.0,0.01,-,-,,AwareSuper,Accumulation-Australian-Shares,0.014938419662079521
Fixed Income,Internally,COOPERATIEVE RABOBANK UA,221727.0,0.01,-,-,,AwareSuper,Accumulation-Australian-Shares,0.014895358038989002
Fixed Income,Internally,SUMITOMO MITSUI BANKING CORP.,148945.0,0.01,-,-,,AwareSuper,Accumulation-Australian-Shares,0.01000594922186841
Fixed Income,Internally,THE BANK OF NOVA SCOTIA,148923.0,0.01,-,-,,AwareSuper,Accumulation-Australian-Shares,0.010004471287846583
Fixed Income,Internally,DBS BANK LTD.,74983.0,0.01,-,-,,AwareSuper,Accumulation-Australian-Shares,0.0050372693981225215
Equity,-,CommBank,178425584.0,11.99,CBA AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,11.98642004354773
Equity,-,BHP,107720460.0,7.24,BHP AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,7.236533303677915
Equity,-,NAB,69487225.0,4.67,NAB AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,4.668069723176642
Equity,-,Csl,66892521.0,4.49,CSL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,4.4937605723506415
Equity,-,Westpac,66883841.0,4.49,WBC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,4.493177460200211
Equity,-,Wesfarmers,55465724.0,3.73,WES AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,3.7261218429498673
Equity,-,Anz,50005922.0,3.36,ANZ AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,3.359338791666134
Equity,-,Macquarie,47718214.0,3.21,MQG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,3.2056532696112674
Equity,-,Telstra,32119497.0,2.16,TLS AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,2.157749880922184
Equity,-,Woodside Energy,25933694.0,1.74,WDS AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,1.7421949397393228
Equity,-,Rio Tinto,23032092.0,1.55,RIO AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,1.547268743666465
Equity,-,Woolworths,21922213.0,1.47,WOW AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,1.4727083830204675
Equity,-,Aristocrat Leisure,21165247.0,1.42,ALL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,1.4218563009856169
Equity,-,Qbe Insurance,20386325.0,1.37,QBE AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,1.3695292407969821
Equity,-,Brambles,18587461.0,1.25,BXB AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,1.2486836814224003
Equity,-,Coles,16203245.0,1.09,COL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,1.088514865886691
Equity,-,Xero,16189771.0,1.09,XRO AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,1.0876096984771408
Equity,-,Fortescue,14984083.0,1.01,FMG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,1.0066130023449036
Equity,-,Northern Star Resources,14445194.0,0.97,NST AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.9704110756590568
Equity,-,James Hardie Industries,13907193.0,0.93,JHX AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.9342688037646365
Equity,-,Suncorp,13555400.0,0.91,SUN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.9106357654309647
Equity,-,Resmed,13191197.0,0.89,RMD AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.8861690379513438
Equity,-,Wisetech Global,12644813.0,0.85,WTC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.8494636060157881
Equity,-,Insurance Australia,12337648.0,0.83,IAG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.8288286240242125
Equity,-,Computershare,12118533.0,0.81,CPU AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.8141087370609059
Equity,-,Cochlear,11301029.0,0.76,COH AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.7591897836709008
Equity,-,Pro Medicus,9458744.0,0.64,PME AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.6354272527889657
Equity,-,Qantas Airways,9394964.0,0.63,QAN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.6311425877020491
Equity,-,Evolution Mining,8908885.0,0.6,EVN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.5984883744567803
Equity,-,Car,8135068.0,0.55,CAR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.5465042621400289
Equity,-,Medibank Pvt,8027932.0,0.54,MPL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.5393069921690054
Equity,-,Sigma Healthcare,7982070.0,0.54,SIG AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.5362260371640483
Equity,-,Asx,7826794.0,0.53,ASX AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.5257947788379894
Equity,-,Amcor,7817158.0,0.53,AMC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.525147443736429
Equity,-,Rea,7331675.0,0.49,REA AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.49253326906738776
Equity,-,Sonic Healthcare,7065067.0,0.47,SHL AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.47462285844505137
Equity,-,Technology One,7047046.0,0.47,TNE AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.4734122289447171
Equity,-,Jb Hi-Fi,6983392.0,0.47,JBH AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.4691360283890166
Equity,-,Lottery,6811765.0,0.46,TLC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.457606329190644
Equity,-,Sgh,6366130.0,0.43,SGH AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.42766909610804754
Equity,-,Newmont,5580136.0,0.37,NEM AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.37486694731021447
Equity,-,Orica,5508234.0,0.37,ORI AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.370036655853967
Equity,-,Nextdc,5380581.0,0.36,NXT AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.361461078049951
Equity,-,Seek,4941856.0,0.33,SEK AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.3319880506078467
Equity,-,Als,4792970.0,0.32,ALQ AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.32198606493630955
Equity,-,Lynas Rare Earths,4249904.0,0.29,LYC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.2855035323227731
Equity,-,Hub24,4217462.0,0.28,HUB AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.28332411707113087
Equity,-,Bendigo & Adelaide Bank,4201147.0,0.28,BEN AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.2822280946363074
Equity,-,Qube,4182424.0,0.28,QUB AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.28097030560491293
Equity,-,Ramsay Health Care,4174684.0,0.28,RHC AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.2804503415445064
Equity,-,Ebos,3966061.0,0.27,EBO AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.2664352947519732
Equity,-,Telix Pharmaceuticals,3844880.0,0.26,TLX AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.25829449826565115
Equity,-,Worley,3805972.0,0.26,WOR AU,-,Listed,AwareSuper,Accumulation-Australian-Shares,0.25568070476922994
