Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Cash,-,COMMONWEALTH BANK OF AUSTRALIA,4932959.0,1.19,-,AUD,,AwareSuper,Accumulation-Balanced-Indexed,1.1910702243408227
Cash,-,NATIONAL AUSTRALIA BANK LIMITED,2499998.0,0.6,-,AUD,,AwareSuper,Accumulation-Balanced-Indexed,0.6036282034194097
Cash,-,STATE STREET BANK AND TRUST,744381.0,0.18,-,USD,,AwareSuper,Accumulation-Balanced-Indexed,0.1797318900613295
Cash,-,STATE STREET BANK AND TRUST,198745.0,0.05,-,AUD,,AwareSuper,Accumulation-Balanced-Indexed,0.04798727330525488
Cash,-,STATE STREET BANK AND TRUST,190227.0,0.05,-,EUR,,AwareSuper,Accumulation-Balanced-Indexed,0.04593058964521734
Cash,-,STATE STREET BANK AND TRUST,135669.0,0.03,-,JPY,,AwareSuper,Accumulation-Balanced-Indexed,0.032757480097867234
Cash,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,113786.0,0.03,-,AUD,,AwareSuper,Accumulation-Balanced-Indexed,0.027473797480750364
Cash,-,STATE STREET BANK AND TRUST,92335.0,0.02,-,CAD,,AwareSuper,Accumulation-Balanced-Indexed,0.02229442190063
Cash,-,JPMORGAN CHASE & CO,84394.0,0.02,-,AUD,,AwareSuper,Accumulation-Balanced-Indexed,0.020377055741395658
Cash,-,MUFG BANK LTD.,82005.0,0.02,-,USD,,AwareSuper,Accumulation-Balanced-Indexed,0.019800228168746013
Cash,-,STATE STREET BANK AND TRUST,62913.0,0.02,-,GBP,,AwareSuper,Accumulation-Balanced-Indexed,0.015190436617039423
Cash,-,JPMORGAN CHASE & CO,49649.0,0.01,-,USD,,AwareSuper,Accumulation-Balanced-Indexed,0.011987824258887515
Cash,-,MORGAN STANLEY,35288.0,0.01,-,EUR,,AwareSuper,Accumulation-Balanced-Indexed,0.008520339633177358
Cash,-,STATE STREET BANK AND TRUST,34350.0,0.01,-,ILS,,AwareSuper,Accumulation-Balanced-Indexed,0.00829385815006921
Cash,-,STATE STREET BANK AND TRUST,31527.0,0.01,-,DKK,,AwareSuper,Accumulation-Balanced-Indexed,0.0076122406374740026
Cash,-,STATE STREET BANK AND TRUST,30398.0,0.01,-,CHF,,AwareSuper,Accumulation-Balanced-Indexed,0.007339641922730825
Cash,-,STATE STREET BANK AND TRUST,27624.0,0.01,-,SEK,,AwareSuper,Accumulation-Balanced-Indexed,0.006669855532387535
Cash,-,STATE STREET BANK AND TRUST,23655.0,0.01,-,MYR,,AwareSuper,Accumulation-Balanced-Indexed,0.005711534629982158
Cash,-,STATE STREET BANK AND TRUST,17824.0,0.0,-,SGD,,AwareSuper,Accumulation-Balanced-Indexed,0.0043036310820038885
Cash,-,STATE STREET BANK AND TRUST,17409.0,0.0,-,NOK,,AwareSuper,Accumulation-Balanced-Indexed,0.004203428720074377
Cash,-,STATE STREET BANK AND TRUST,16687.0,0.0,-,HKD,,AwareSuper,Accumulation-Balanced-Indexed,0.00402910075546448
Cash,-,JPMORGAN CHASE & CO,16064.0,0.0,-,EUR,,AwareSuper,Accumulation-Balanced-Indexed,0.0038786764868329483
Cash,-,STATE STREET BANK AND TRUST,15214.0,0.0,-,THB,,AwareSuper,Accumulation-Balanced-Indexed,0.0036734427334833464
Cash,-,STATE STREET BANK AND TRUST,11651.0,0.0,-,KRW,,AwareSuper,Accumulation-Balanced-Indexed,0.0028131511297367208
Cash,-,STATE STREET BANK AND TRUST,9291.0,0.0,-,HUF,,AwareSuper,Accumulation-Balanced-Indexed,0.0022433256498484142
Cash,-,STATE STREET BANK AND TRUST,8814.0,0.0,-,MXN,,AwareSuper,Accumulation-Balanced-Indexed,0.002128153296498108
Cash,-,STATE STREET BANK AND TRUST,8726.0,0.0,-,IDR,,AwareSuper,Accumulation-Balanced-Indexed,0.002106905566739561
Cash,-,STATE STREET BANK AND TRUST,8222.0,0.0,-,COP,,AwareSuper,Accumulation-Balanced-Indexed,0.0019852140235769736
Cash,-,STATE STREET BANK AND TRUST,8127.0,0.0,-,PEN,,AwareSuper,Accumulation-Balanced-Indexed,0.001962276133496724
Cash,-,JPMORGAN CHASE & CO,7855.0,0.0,-,JPY,,AwareSuper,Accumulation-Balanced-Indexed,0.0018966013324248512
Cash,-,STATE STREET BANK AND TRUST,7832.0,0.0,-,PLN,,AwareSuper,Accumulation-Balanced-Indexed,0.0018910479485106854
Cash,-,STATE STREET BANK AND TRUST,6595.0,0.0,-,CZK,,AwareSuper,Accumulation-Balanced-Indexed,0.0015923724745183826
Cash,-,STATE STREET BANK AND TRUST,4173.0,0.0,-,NZD,,AwareSuper,Accumulation-Balanced-Indexed,0.001007577003209281
Cash,-,STATE STREET BANK AND TRUST,3530.0,0.0,-,CLP,,AwareSuper,Accumulation-Balanced-Indexed,0.0008523237050871706
Cash,-,STATE STREET BANK AND TRUST,2961.0,0.0,-,RON,,AwareSuper,Accumulation-Balanced-Indexed,0.0007149378160802017
