Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Cash,-,COMMONWEALTH BANK OF AUSTRALIA,8196221.0,0.87,-,AUD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.8677544422062068
Cash,-,NATIONAL AUSTRALIA BANK LIMITED,4150206.0,0.44,-,AUD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.43939270214539755
Cash,-,STATE STREET BANK AND TRUST,1485633.0,0.16,-,USD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.15728768602483187
Cash,-,STATE STREET BANK AND TRUST,465302.0,0.05,-,AUD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.049262687946973666
Cash,-,STATE STREET BANK AND TRUST,443488.0,0.05,-,EUR,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.04695318514046245
Cash,-,STATE STREET BANK AND TRUST,324195.0,0.03,-,JPY,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.03432333649752016
Cash,-,JPMORGAN CHASE & CO,223546.0,0.02,-,AUD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.023667374822790736
Cash,-,MUFG BANK LTD.,220314.0,0.02,-,USD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.02332519488923227
Cash,-,STATE STREET BANK AND TRUST,217107.0,0.02,-,CAD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.02298566176827869
Cash,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,189476.0,0.02,-,AUD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.020060298604864756
Cash,-,STATE STREET BANK AND TRUST,150012.0,0.02,-,GBP,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.015882146099310584
Cash,-,JPMORGAN CHASE & CO,132779.0,0.01,-,USD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.01405764523451697
Cash,-,MORGAN STANLEY,94805.0,0.01,-,EUR,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.01003724276021345
Cash,-,STATE STREET BANK AND TRUST,76635.0,0.01,-,DKK,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.008113539358989058
Cash,-,STATE STREET BANK AND TRUST,76289.0,0.01,-,ILS,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.008076907472537564
Cash,-,STATE STREET BANK AND TRUST,64144.0,0.01,-,CHF,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.00679108590908846
Cash,-,STATE STREET BANK AND TRUST,63313.0,0.01,-,SEK,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.006703105858102358
Cash,-,JPMORGAN CHASE & CO,43015.0,0.0,-,EUR,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.004554105767950862
Cash,-,STATE STREET BANK AND TRUST,42809.0,0.0,-,HKD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.004532296032086679
Cash,-,STATE STREET BANK AND TRUST,39729.0,0.0,-,SGD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.004206208719165868
Cash,-,STATE STREET BANK AND TRUST,36657.0,0.0,-,NOK,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0038809683862786183
Cash,-,JPMORGAN CHASE & CO,20953.0,0.0,-,JPY,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.002218346580399266
Cash,-,STATE STREET BANK AND TRUST,20886.0,0.0,-,MYR,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0022112531226181962
Cash,-,STATE STREET BANK AND TRUST,13433.0,0.0,-,THB,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0014221853488523522
Cash,-,STATE STREET BANK AND TRUST,10287.0,0.0,-,KRW,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0010891104506546674
Cash,-,STATE STREET BANK AND TRUST,8203.0,0.0,-,HUF,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0008684721519121451
Cash,-,STATE STREET BANK AND TRUST,7782.0,0.0,-,MXN,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0008238998276460214
Cash,-,STATE STREET BANK AND TRUST,7704.0,0.0,-,IDR,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.000815641772318806
Cash,-,STATE STREET BANK AND TRUST,7260.0,0.0,-,COP,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0007686343804561957
Cash,-,MORGAN STANLEY,7197.0,0.0,-,GBP,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0007619644126919064
Cash,-,STATE STREET BANK AND TRUST,7175.0,0.0,-,PEN,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0007596352175996149
Cash,-,STATE STREET BANK AND TRUST,6915.0,0.0,-,PLN,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0007321083665088972
Cash,-,STATE STREET BANK AND TRUST,5823.0,0.0,-,CZK,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0006164955919278827
Cash,-,STATE STREET BANK AND TRUST,4640.0,0.0,-,NZD,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0004912484194651168
Cash,-,MORGAN STANLEY,4414.0,0.0,-,SEK,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0004673212335170314
Cash,-,STATE STREET BANK AND TRUST,3117.0,0.0,-,CLP,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.00033000459557602785
Cash,-,STATE STREET BANK AND TRUST,2615.0,0.0,-,RON,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0002768565984701036
Cash,-,MORGAN STANLEY,1674.0,0.0,-,CHF,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.0001772305720225443
Cash,-,MORGAN STANLEY,1594.0,0.0,-,JPY,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.00016876077168693885
Cash,-,JPMORGAN CHASE & CO,1396.0,0.0,-,GBP,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.00014779801585631532
Cash,-,MORGAN STANLEY,791.0,0.0,-,CAD,,AwareSuper,Accumulation-High-Growth-Indexed (1),8.374515081829902e-05
Cash,-,MORGAN STANLEY,-318.0,0.0,-,AUD,,AwareSuper,Accumulation-High-Growth-Indexed (1),-3.3667456334031714e-05
Cash,-,MORGAN STANLEY,-5720.0,0.0,-,USD,,AwareSuper,Accumulation-High-Growth-Indexed (1),-0.0006055907239957905
Fixed Income,Internally,WESTPAC BANKING CORPORATION,18548546.0,1.96,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),1.963781014197417
Fixed Income,Internally,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,5042551.0,0.53,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.5338675019013458
Fixed Income,Internally,COMMONWEALTH BANK OF AUSTRALIA,3463804.0,0.37,-,-,,AwareSuper,Accumulation-High-Growth-Indexed (1),0.3667216035208943
