Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Cash,-,STATE STREET BANK AND TRUST,2023683.0,0.09,-,USD,,AwareSuper,Accumulation-International-Shares,0.08601374396925562
Cash,-,STATE STREET BANK AND TRUST,1837968.0,0.08,-,EUR,,AwareSuper,Accumulation-International-Shares,0.07812019420812687
Cash,-,MUFG BANK LTD.,1529703.0,0.07,-,USD,,AwareSuper,Accumulation-International-Shares,0.06501783243274872
Cash,-,STATE STREET BANK AND TRUST,1298612.0,0.06,-,JPY,,AwareSuper,Accumulation-International-Shares,0.055195640860452436
Cash,-,STATE STREET BANK AND TRUST,1254659.0,0.05,-,CAD,,AwareSuper,Accumulation-International-Shares,0.05332748162371393
Cash,-,MORGAN STANLEY,658728.0,0.03,-,EUR,,AwareSuper,Accumulation-International-Shares,0.027998289029151212
Cash,-,STATE STREET BANK AND TRUST,639132.0,0.03,-,GBP,,AwareSuper,Accumulation-International-Shares,0.0271653891496634
Cash,-,JPMORGAN CHASE & CO,623248.0,0.03,-,USD,,AwareSuper,Accumulation-International-Shares,0.02649026250719635
Cash,-,STATE STREET BANK AND TRUST,501096.0,0.02,-,DKK,,AwareSuper,Accumulation-International-Shares,0.021298366912218026
Cash,-,STATE STREET BANK AND TRUST,469684.0,0.02,-,ILS,,AwareSuper,Accumulation-International-Shares,0.019963244896782677
Cash,-,STATE STREET BANK AND TRUST,395796.0,0.02,-,AUD,,AwareSuper,Accumulation-International-Shares,0.01682274141160226
Cash,-,STATE STREET BANK AND TRUST,387467.0,0.02,-,SEK,,AwareSuper,Accumulation-International-Shares,0.016468729210323736
Cash,-,STATE STREET BANK AND TRUST,371812.0,0.02,-,CHF,,AwareSuper,Accumulation-International-Shares,0.015803335884472455
Cash,-,STATE STREET BANK AND TRUST,284426.0,0.01,-,HKD,,AwareSuper,Accumulation-International-Shares,0.012089119265319468
Cash,-,JPMORGAN CHASE & CO,228639.0,0.01,-,EUR,,AwareSuper,Accumulation-International-Shares,0.009717972828445283
Cash,-,STATE STREET BANK AND TRUST,228339.0,0.01,-,SGD,,AwareSuper,Accumulation-International-Shares,0.00970522175864296
Cash,-,STATE STREET BANK AND TRUST,186284.0,0.01,-,NOK,,AwareSuper,Accumulation-International-Shares,0.007917734290187156
Cash,-,JPMORGAN CHASE & CO,71489.0,0.0,-,JPY,,AwareSuper,Accumulation-International-Shares,0.0030385374303278307
Cash,-,MORGAN STANLEY,50005.0,0.0,-,GBP,,AwareSuper,Accumulation-International-Shares,0.0021253908182173923
Cash,-,COMMONWEALTH BANK OF AUSTRALIA,35203.0,0.0,-,AUD,,AwareSuper,Accumulation-International-Shares,0.0014962530341707202
Cash,-,MORGAN STANLEY,30666.0,0.0,-,SEK,,AwareSuper,Accumulation-International-Shares,0.0013034143551935717
Cash,-,NATIONAL AUSTRALIA BANK LIMITED,17196.0,0.0,-,AUD,,AwareSuper,Accumulation-International-Shares,0.0007308913210692186
Cash,-,MORGAN STANLEY,11627.0,0.0,-,CHF,,AwareSuper,Accumulation-International-Shares,0.0004941889619720752
