PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCAEQU] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$2,613,762",0.18%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$1,486,895",0.10%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$1,276,747",0.09%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$1,017,311",0.07%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$65,828",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,$86,0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,$5,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,"-$1,449",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$6,459,185",0.43%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$6,376,797",0.43%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$1,698,177",0.11%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$1,191,162",0.08%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$446,983",0.03%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$446,417",0.03%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$410,020",0.03%,
