PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCGROW] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$188,239,631",0.74%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$95,172,221",0.37%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$42,890,308",0.17%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$29,118,239",0.11%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$8,027,202",0.03%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$7,508,258",0.03%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$5,644,152",0.02%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,GBP,-,-,,,"$5,481,121",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$5,366,859",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$4,488,720",0.02%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$4,370,996",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$3,184,097",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,KRW,-,-,,,"$2,928,192",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,NZD,-,-,,,"$2,082,649",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$2,065,680",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,"$1,727,190",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,JPY,-,-,,,"$1,708,490",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$1,289,512",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNY,-,-,,,"$1,236,370",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$1,215,029",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$1,020,855",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$995,095",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,"$975,082",0.00%,
CASH,-,MACQUARIE GROUP LTD.,-,-,-,AUD,-,-,,,"$857,641",0.00%,
CASH,-,UBS AG,-,-,-,AUD,-,-,,,"$854,277",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,INR,-,-,,,"$767,588",0.00%,
CASH,-,J.P. MORGAN SECURITIES LLC,-,-,-,USD,-,-,,,"$737,823",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RUB,-,-,,,"$694,545",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,USD,-,-,,,"$659,208",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,HKD,-,-,,,"$656,116",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$602,792",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,"$556,750",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$492,184",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$309,644",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,BRL,-,-,,,"$308,281",0.00%,
CASH,-,UBS AG,-,-,-,USD,-,-,,,"$265,811",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$264,847",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$244,840",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$242,524",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$234,468",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,"$179,971",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,"$165,366",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$165,221",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$155,805",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,"$148,207",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$143,769",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$139,768",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$134,372",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,THB,-,-,,,"$109,219",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RON,-,-,,,"$108,788",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$97,429",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNH,-,-,,,"$90,960",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CZK,-,-,,,"$84,951",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TWD,-,-,,,"$77,597",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,"$75,355",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$41,733",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SAR,-,-,,,"$34,888",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PEN,-,-,,,"$29,076",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$23,116",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ZAR,-,-,,,"$21,825",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KWD,-,-,,,"$20,410",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,QAR,-,-,,,"$17,187",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TRY,-,-,,,"$14,644",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PHP,-,-,,,"$11,540",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AED,-,-,,,"$5,402",0.00%,
CASH,-,UBS AG,-,-,-,EUR,-,-,,,$968,0.00%,
CASH,-,UBS AG,-,-,-,GBP,-,-,,,$568,0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,EUR,-,-,,,"-$7,340",0.00%,
CASH,-,"BANK OF AMERICA, N.A.",-,-,-,USD,-,-,,,"-$45,724",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"-$233,800",0.00%,
CASH,-,"WELLS FARGO BANK, N.A.",-,-,-,USD,-,-,,,"-$243,170",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"-$249,047",0.00%,
CASH,-,WESTPAC BANKING CORPORATION,-,-,-,USD,-,-,,,"-$293,051",0.00%,
CASH,-,BARCLAYS BANK PLC,-,-,-,USD,-,-,,,"-$369,951",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$426,141,339",1.67%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$429,418,346",1.68%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$143,705,092",0.56%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$116,133,631",0.45%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$81,303,635",0.32%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA GOVERNMENT,-,-,-,-,-,,,"$42,754,597",0.17%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$32,905,330",0.13%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$30,073,180",0.12%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$27,225,316",0.11%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$24,784,100",0.10%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$20,091,943",0.08%,
