PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBALINDX] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$4,932,959",1.19%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$2,499,998",0.60%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$744,381",0.18%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$198,745",0.05%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$190,227",0.05%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$135,669",0.03%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$113,786",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$92,335",0.02%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$84,394",0.02%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$82,005",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$62,913",0.02%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$49,649",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$35,288",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$34,350",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$31,527",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$30,398",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$27,624",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,"$23,655",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$17,824",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$17,409",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$16,687",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$16,064",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,THB,-,-,,,"$15,214",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$11,651",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$9,291",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$8,814",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$8,726",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,"$8,222",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PEN,-,-,,,"$8,127",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$7,855",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$7,832",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CZK,-,-,,,"$6,595",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$4,173",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$3,530",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RON,-,-,,,"$2,961",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"$2,679",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,"$1,643",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,$623,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,$593,0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,$519,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,$295,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,-$120,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"-$2,129",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$9,544,981",2.30%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$11,142,208",2.68%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$3,030,726",0.73%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$2,080,709",0.50%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$840,542",0.20%,
