PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCSOCCN] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$21,831,945",0.80%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$11,069,588",0.41%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$4,898,353",0.18%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$4,222,809",0.16%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$1,279,073",0.05%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$561,777",0.02%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$502,981",0.02%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,NZD,-,-,,,"$483,881",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$391,527",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$337,915",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$262,288",0.01%,
CASH,-,J.P. MORGAN SECURITIES LLC,-,-,-,USD,-,-,,,"$242,123",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"$231,467",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,JPY,-,-,,,"$181,177",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$179,656",0.01%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$174,286",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$160,794",0.01%,
CASH,-,"CITIGROUP, INC.",-,-,-,EUR,-,-,,,"$147,698",0.01%,
