PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCBGRO] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$388,463,579",1.61%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$159,637,313",0.66%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$71,092,699",0.30%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$32,781,004",0.14%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$26,364,122",0.11%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$16,301,090",0.07%,
CASH,-,BANK OF QUEENSLAND LTD.,-,-,-,AUD,-,-,,,"$13,171,260",0.05%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$8,388,116",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$5,270,894",0.02%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$5,112,668",0.02%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,"$4,229,736",0.02%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,GBP,-,-,,,"$3,804,751",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$3,409,167",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$2,890,486",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,KRW,-,-,,,"$2,197,150",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,NZD,-,-,,,"$2,097,515",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$1,700,915",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,JPY,-,-,,,"$1,618,932",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$1,380,394",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNY,-,-,,,"$1,219,627",0.01%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$1,197,944",0.00%,
CASH,-,J.P. MORGAN SECURITIES LLC,-,-,-,USD,-,-,,,"$1,004,680",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$812,105",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$701,692",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,EUR,-,-,,,"$639,880",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$626,125",0.00%,
CASH,-,MACQUARIE GROUP LTD.,-,-,-,AUD,-,-,,,"$589,506",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,"$560,807",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"$536,507",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,INR,-,-,,,"$532,826",0.00%,
CASH,-,UBS AG,-,-,-,AUD,-,-,,,"$519,441",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RUB,-,-,,,"$482,122",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,"$433,791",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$398,969",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,USD,-,-,,,"$393,127",0.00%,
CASH,-,UBS AG,-,-,-,USD,-,-,,,"$357,622",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$334,833",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$332,474",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$304,209",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$304,067",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,"$302,503",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$291,524",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,"$241,033",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,"$221,117",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,BRL,-,-,,,"$220,623",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$202,534",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$195,797",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$154,865",0.00%,
