PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [VSACCCPSTB] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$32,744,480",1.61%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$16,543,415",0.81%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$3,338,749",0.16%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$1,768,282",0.09%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$1,762,823",0.09%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,"$1,572,109",0.08%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$925,168",0.05%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$761,325",0.04%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$443,063",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$277,569",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$226,138",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$219,659",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,NZD,-,-,,,"$201,625",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,GBP,-,-,,,"$186,071",0.01%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,EUR,-,-,,,"$185,956",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$159,216",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNY,-,-,,,"$136,076",0.01%,
CASH,-,J.P. MORGAN SECURITIES LLC,-,-,-,USD,-,-,,,"$84,007",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$83,688",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,JPY,-,-,,,"$81,949",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,KRW,-,-,,,"$79,830",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$71,186",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$65,233",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$46,163",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$42,739",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$42,677",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$40,487",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$40,343",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,USD,-,-,,,"$38,563",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,"$33,235",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$32,676",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,"$32,220",0.00%,
CASH,-,UBS AG,-,-,-,USD,-,-,,,"$30,492",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$30,470",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$27,752",0.00%,
CASH,-,MACQUARIE GROUP LTD.,-,-,-,AUD,-,-,,,"$27,452",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$26,890",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,INR,-,-,,,"$26,058",0.00%,
