PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGRO] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$758,970,219",0.80%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$383,940,217",0.41%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$192,905,160",0.20%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$120,249,785",0.13%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"$36,433,664",0.04%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$26,545,430",0.03%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,GBP,-,-,,,"$23,739,066",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$18,038,725",0.02%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$17,600,038",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$16,628,728",0.02%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$10,311,542",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,KRW,-,-,,,"$10,184,650",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$9,382,154",0.01%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$4,518,649",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$4,185,460",0.00%,
CASH,-,UBS AG,-,-,-,AUD,-,-,,,"$3,973,997",0.00%,
CASH,-,MACQUARIE GROUP LTD.,-,-,-,AUD,-,-,,,"$3,761,321",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$3,523,332",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,JPY,-,-,,,"$3,331,979",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,INR,-,-,,,"$3,324,473",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,"$3,017,026",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RUB,-,-,,,"$3,008,118",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNY,-,-,,,"$2,821,657",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$2,592,314",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,HKD,-,-,,,"$2,475,966",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$1,796,842",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"$1,685,964",0.00%,
CASH,-,J.P. MORGAN SECURITIES LLC,-,-,-,USD,-,-,,,"$1,585,137",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,USD,-,-,,,"$1,492,113",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$1,353,454",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,BRL,-,-,,,"$1,313,169",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,"$864,595",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$637,221",0.00%,
CASH,-,UBS AG,-,-,-,USD,-,-,,,"$576,308",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$534,203",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CNH,-,-,,,"$393,953",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TWD,-,-,,,"$336,076",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,"$326,822",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$289,284",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$224,301",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$188,131",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$178,247",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$153,447",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SAR,-,-,,,"$151,100",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$147,194",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$146,504",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$143,775",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ZAR,-,-,,,"$94,527",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$93,320",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KWD,-,-,,,"$88,399",0.00%,
CASH,-,MORGAN STANLEY & CO. INTERNATIONAL PLC,-,-,-,AUD,-,-,,,"$79,671",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,QAR,-,-,,,"$74,438",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,TRY,-,-,,,"$63,426",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CZK,-,-,,,"$58,011",0.00%,
