PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGINDX] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$8,196,221",0.87%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$4,150,206",0.44%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$1,485,633",0.16%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$465,302",0.05%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$443,488",0.05%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$324,195",0.03%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,AUD,-,-,,,"$223,546",0.02%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$220,314",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$217,107",0.02%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$189,476",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$150,012",0.02%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$132,779",0.01%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$94,805",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$76,635",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$76,289",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$64,144",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$63,313",0.01%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$43,015",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$42,809",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$39,729",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$36,657",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$20,953",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MYR,-,-,,,"$20,886",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,THB,-,-,,,"$13,433",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,KRW,-,-,,,"$10,287",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HUF,-,-,,,"$8,203",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,MXN,-,-,,,"$7,782",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,IDR,-,-,,,"$7,704",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,COP,-,-,,,"$7,260",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"$7,197",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PEN,-,-,,,"$7,175",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,PLN,-,-,,,"$6,915",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CZK,-,-,,,"$5,823",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$4,640",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,"$4,414",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CLP,-,-,,,"$3,117",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,RON,-,-,,,"$2,615",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"$1,674",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,"$1,594",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,"$1,396",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,$791,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,-$318,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"-$5,720",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$16,873,496",1.78%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$18,548,546",1.96%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$5,042,551",0.53%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$3,463,804",0.37%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$1,396,701",0.15%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$1,304,688",0.14%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$1,180,172",0.12%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$1,087,299",0.11%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$1,074,350",0.11%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$871,845",0.09%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$776,835",0.08%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$645,882",0.07%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$640,048",0.07%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$491,061",0.05%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$458,009",0.05%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$428,649",0.05%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$413,871",0.04%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$322,645",0.03%,
FIXED INCOME,INTERNALLY,-,BANK OF QUEENSLAND LTD.,-,-,-,-,-,,,"$91,717",0.01%,
FIXED INCOME,INTERNALLY,-,NORFINA LTD.,-,-,-,-,-,,,"$64,783",0.01%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$62,574",0.01%,
FIXED INCOME,INTERNALLY,-,TORONTO-DOMINION BANK,-,-,-,-,-,,,"$40,526",0.00%,
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 1,-,-,-,-,-,,,"$29,414",0.00%,
FIXED INCOME,INTERNALLY,-,VOLKSWAGEN FINANCIAL SERVICES AUSTRALIA PTY LTD,-,-,-,-,-,,,"$21,887",0.00%,
FIXED INCOME,INTERNALLY,-,SCENTRE GROUP TRUST 2,-,-,-,-,-,,,"$19,516",0.00%,
FIXED INCOME,INTERNALLY,-,UBS AG,-,-,-,-,-,,,"$14,187",0.00%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$38,491,560",4.06%,
FIXED INCOME,EXTERNALLY,-,-,STATE STREET INVESTMENT MANAGEMENT,-,-,-,-,,,"$63,422,757",6.70%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,"$63,422,757",6.70%,
LISTED EQUITY,-,-,-,-,COMMONWEALTH BANK OF AUSTRALIA,-,CBA AU,-,,"212,219","$39,207,533",4.14%,
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"113,915","$27,462,456",2.90%,
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"33,014","$25,057,566",2.65%,
LISTED EQUITY,-,-,-,-,BHP GROUP LTD.,-,BHP AU,-,,"644,100","$23,670,672",2.50%,
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"70,180","$21,971,009",2.32%,
LISTED EQUITY,-,-,-,-,NATIONAL AUSTRALIA BANK LTD.,-,NAB AU,-,,"387,938","$15,269,238",1.61%,
