PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCHGSC] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$7,384,243",0.79%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$3,747,406",0.40%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$1,753,856",0.19%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$1,724,138",0.18%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$422,255",0.05%,
CASH,-,MORGAN STANLEY,-,-,-,AUD,-,-,,,"$191,782",0.02%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,"$169,740",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$157,014",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$86,699",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$74,370",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$64,489",0.01%,
CASH,-,"CITIGROUP, INC.",-,-,-,EUR,-,-,,,"$59,237",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$52,612",0.01%,
CASH,-,J.P. MORGAN SECURITIES LLC,-,-,-,USD,-,-,,,"$46,650",0.00%,
CASH,-,"CITIGROUP, INC.",-,-,-,GBP,-,-,,,"$38,392",0.00%,
CASH,-,"CITIGROUP, INC.",-,-,-,USD,-,-,,,"$37,778",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$33,966",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$33,580",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$30,512",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$29,615",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$25,710",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$14,978",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$10,925",0.00%,
