PHD SCHEDULE 8D TABLE 1 - PORTFOLIO HOLDINGS INFORMATION FOR INVESTMENT OPTION [AWAREACCIEQU] - ASSETS - 2025-06-30,,,,,,,,,,,,,
ASSET CLASS,INTERNALLY MANAGED OR EXTERNALLY MANAGED,NAME OF INSTITUTION,NAME OF ISSUER / COUNTERPARTY,NAME OF FUND MANAGER,NAME / KIND OF INVESTMENT ITEM,CURRENCY,SECURITY IDENTIFIER,ADDRESS,% OWNERSHIP / PROPERTY HELD,UNITS HELD,VALUE(AUD),WEIGHTING(%),
CASH,-,STATE STREET BANK AND TRUST,-,-,-,USD,-,-,,,"$2,023,683",0.09%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,EUR,-,-,,,"$1,837,968",0.08%,
CASH,-,MUFG BANK LTD.,-,-,-,USD,-,-,,,"$1,529,703",0.07%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,JPY,-,-,,,"$1,298,612",0.06%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CAD,-,-,,,"$1,254,659",0.05%,
CASH,-,MORGAN STANLEY,-,-,-,EUR,-,-,,,"$658,728",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,GBP,-,-,,,"$639,132",0.03%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,USD,-,-,,,"$623,248",0.03%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,DKK,-,-,,,"$501,096",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,ILS,-,-,,,"$469,684",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,AUD,-,-,,,"$395,796",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SEK,-,-,,,"$387,467",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,CHF,-,-,,,"$371,812",0.02%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,HKD,-,-,,,"$284,426",0.01%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,EUR,-,-,,,"$228,639",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,SGD,-,-,,,"$228,339",0.01%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NOK,-,-,,,"$186,284",0.01%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,JPY,-,-,,,"$71,489",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,GBP,-,-,,,"$50,005",0.00%,
CASH,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,AUD,-,-,,,"$35,203",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,SEK,-,-,,,"$30,666",0.00%,
CASH,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,AUD,-,-,,,"$17,196",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CHF,-,-,,,"$11,627",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,JPY,-,-,,,"$11,075",0.00%,
CASH,-,JPMORGAN CHASE & CO,-,-,-,GBP,-,-,,,"$9,694",0.00%,
CASH,-,MORGAN STANLEY,-,-,-,CAD,-,-,,,"$5,498",0.00%,
CASH,-,STATE STREET BANK AND TRUST,-,-,-,NZD,-,-,,,"$3,779",0.00%,
CASH,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,AUD,-,-,,,$887,0.00%,
CASH,-,MORGAN STANLEY,-,-,-,USD,-,-,,,"-$39,745",0.00%,
SUB TOTAL CASH,,,,,,,,,,,"$13,126,650",0.56%,
FIXED INCOME,INTERNALLY,-,UNITED STATES TREASURY,-,-,-,-,-,,,"$7,549,429",0.32%,
FIXED INCOME,INTERNALLY,-,BENDIGO & ADELAIDE BANK LTD.,-,-,-,-,-,,,"$595,866",0.03%,
FIXED INCOME,INTERNALLY,-,MIZUHO BANK LTD.,-,-,-,-,-,,,"$594,368",0.03%,
FIXED INCOME,INTERNALLY,-,KIWIBANK LTD.,-,-,-,-,-,,,"$298,474",0.01%,
FIXED INCOME,INTERNALLY,-,SUMITOMO MITSUI BANKING CORP.,-,-,-,-,-,,,"$297,829",0.01%,
FIXED INCOME,INTERNALLY,-,WESTPAC BANKING CORPORATION,-,-,-,-,-,,,"$85,885",0.00%,
FIXED INCOME,INTERNALLY,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,-,-,-,-,-,,,"$22,872",0.00%,
FIXED INCOME,INTERNALLY,-,COMMONWEALTH BANK OF AUSTRALIA,-,-,-,-,-,,,"$16,043",0.00%,
FIXED INCOME,INTERNALLY,-,NATIONAL AUSTRALIA BANK LIMITED,-,-,-,-,-,,,"$6,020",0.00%,
FIXED INCOME,INTERNALLY,-,STANDARD CHARTERED BANK,-,-,-,-,-,,,"$6,012",0.00%,
FIXED INCOME,INTERNALLY,-,CANADIAN IMPERIAL BANK OF COMMERCE,-,-,-,-,-,,,"$5,522",0.00%,
FIXED INCOME,INTERNALLY,-,NBN CO. LTD.,-,-,-,-,-,,,"$5,027",0.00%,
FIXED INCOME,INTERNALLY,-,UNITED OVERSEAS BANK LTD.,-,-,-,-,-,,,"$4,002",0.00%,
FIXED INCOME,INTERNALLY,-,OVERSEA-CHINESE BANKING CORP. LTD.,-,-,-,-,-,,,"$3,022",0.00%,
FIXED INCOME,INTERNALLY,-,CREDIT AGRICOLE CORPORATE & INVESTMENT BANK,-,-,-,-,-,,,"$2,995",0.00%,
FIXED INCOME,INTERNALLY,-,COOPERATIEVE RABOBANK UA,-,-,-,-,-,,,"$2,986",0.00%,
FIXED INCOME,INTERNALLY,-,THE BANK OF NOVA SCOTIA,-,-,-,-,-,,,"$2,006",0.00%,
FIXED INCOME,INTERNALLY,-,DBS BANK LTD.,-,-,-,-,-,,,"$1,010",0.00%,
SUB TOTAL FIXED INCOME INTERNALLY,,,,,,,,,,,"$9,499,368",0.40%,
SUB TOTAL FIXED INCOME EXTERNALLY,,,,,,,,,,,$0,0.00%,
LISTED EQUITY,-,-,-,-,NVIDIA CORP.,-,NVDA US,-,,"528,043","$127,299,157",5.41%,
LISTED EQUITY,-,-,-,-,MICROSOFT CORP.,-,MSFT US,-,,"153,127","$116,222,980",4.94%,
LISTED EQUITY,-,-,-,-,"APPLE, INC.",-,AAPL US,-,,"325,402","$101,873,359",4.33%,
LISTED EQUITY,-,-,-,-,"AMAZON.COM, INC.",-,AMZN US,-,,"207,188","$69,359,675",2.95%,
LISTED EQUITY,-,-,-,-,"META PLATFORMS, INC.",-,META US,-,,"47,547","$53,550,004",2.28%,
LISTED EQUITY,-,-,-,-,"BROADCOM, INC.",-,AVGO US,-,,"96,683","$40,666,221",1.73%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOGL US,-,,"126,774","$34,090,862",1.45%,
LISTED EQUITY,-,-,-,-,"TESLA, INC.",-,TSLA US,-,,"62,647","$30,366,169",1.29%,
LISTED EQUITY,-,-,-,-,"ALPHABET, INC.",-,GOOG US,-,,"107,215","$29,020,880",1.23%,
LISTED EQUITY,-,-,-,-,JPMORGAN CHASE & CO.,-,JPM US,-,,"60,180","$26,622,001",1.13%,
LISTED EQUITY,-,-,-,-,ELI LILLY & CO.,-,LLY US,-,,"17,323","$20,605,948",0.88%,
LISTED EQUITY,-,-,-,-,"VISA, INC.",-,V US,-,,"37,270","$20,191,661",0.86%,
LISTED EQUITY,-,-,-,-,"NETFLIX, INC.",-,NFLX US,-,,"9,296","$18,994,651",0.81%,
LISTED EQUITY,-,-,-,-,"MASTERCARD, INC.",-,MA US,-,,"18,270","$15,665,906",0.67%,
LISTED EQUITY,-,-,-,-,COSTCO WHOLESALE CORP.,-,COST US,-,,"9,534","$14,400,887",0.61%,
