Option_Name,Asset_Class,Listing_Status,Management_Type,Name,Dollar_Value,Weighting_Percentage,Currency,Security_Identifier,Super_Fund,Weighting_Percentage_Clean
Balanced Growth,Cash,,,JPMorgan Chase & Co,11768.35525,1.6e-07,AED,,Hesta,8.177335129797163e-06
Balanced Growth,Cash,,,JPMorgan Chase & Co,9615.554279,1.3e-07,ARS,,Hesta,6.681444273883399e-06
Balanced Growth,Cash,,,Australia & New Zealand Banking Group Ltd,327356293.6,0.00448095,AUD,,Hesta,0.22746612102956992
Balanced Growth,Cash,,,Australia Treasury Bill,154275910.7,0.00211177,AUD,,Hesta,0.10719984207211623
Balanced Growth,Cash,,,Bank of America Corp,-2750687.539,-3.765e-05,AUD,,Hesta,-0.0019113370871226888
Balanced Growth,Cash,,,Bank of Nova Scotia/Australia,109656597.0,0.00150101,AUD,,Hesta,0.07619575750503539
Balanced Growth,Cash,,,Bank of Queensland Ltd,90284455.31,0.00123584,AUD,,Hesta,0.0627348709651729
Balanced Growth,Cash,,,Barclays Bank PLC,-917870.5628,-1.256e-05,AUD,,Hesta,-0.0006377896518539525
Balanced Growth,Cash,,,Bendigo & Adelaide Bank Ltd,113899641.2,0.00155909,AUD,,Hesta,0.07914407047289403
Balanced Growth,Cash,,,Canadian Imperial Bank of Commerce/Sydney,61669394.12,0.00084415,AUD,,Hesta,0.042851468387715655
Balanced Growth,Cash,,,Citigroup Inc,-26747917.09,-0.00036613,AUD,,Hesta,-0.01858600266753155
Balanced Growth,Cash,,,Commonwealth Bank of Australia,907810049.8,0.01242638,AUD,,Hesta,0.6307990244781616
Balanced Growth,Cash,,,Cooperatieve Rabobank UA/Australia,167722556.4,0.00229584,AUD,,Hesta,0.11654335065293905
Balanced Growth,Cash,,,Credit Agricole Corporate & Investment Bank SA/Sydney,38568977.68,0.00052794,AUD,,Hesta,0.026799960521503352
Balanced Growth,Cash,,,Credit Union Australia Ltd,168135383.1,0.00230149,AUD,,Hesta,0.11683020656480729
Balanced Growth,Cash,,,DBS Bank Ltd/Australia,1616188.559,2.212e-05,AUD,,Hesta,0.0011230214587452188
Balanced Growth,Cash,,,Defence Bank Ltd,27070616.79,0.00037055,AUD,,Hesta,0.018810233117507555
Balanced Growth,Cash,,,Goldman Sachs Group Inc/The,1908629.156,2.613e-05,AUD,,Hesta,0.0013262261306323081
Balanced Growth,Cash,,,Heritage and People's Choice Ltd,2695662.896,3.69e-05,AUD,,Hesta,0.0018731027768346437
Balanced Growth,Cash,,,HSBC Holdings PLC,6335710.735,8.673e-05,AUD,,Hesta,0.004402418933227607
Balanced Growth,Cash,,,IMB Ltd,22176698.59,0.00030356,AUD,,Hesta,0.015409655180398317
Balanced Growth,Cash,,,JPMorgan Chase & Co,413724634.8,0.00566319,AUD,,Hesta,0.28747984899695667
Balanced Growth,Cash,,,Macquarie Bank Ltd,165919023.6,0.00227115,AUD,,Hesta,0.1152901515601277
Balanced Growth,Cash,,,Macquarie Group Ltd,22815466.95,0.0003123,AUD,,Hesta,0.015853508449531307
Balanced Growth,Cash,,,Merrill Lynch,97260.69724,1.33e-06,AUD,,Hesta,6.758236808743669e-05
Balanced Growth,Cash,,,Mitsubishi UFJ Financial Group Inc,25064920.16,0.0003431,AUD,,Hesta,0.017416558881491035
Balanced Growth,Cash,,,Mizuho Bank Ltd/Sydney,40597320.6,0.00055571,AUD,,Hesta,0.02820937071202181
Balanced Growth,Cash,,,MUFG Bank Ltd/Sydney,26429433.34,0.00036177,AUD,,Hesta,0.0183647017039033
Balanced Growth,Cash,,,MyState Bank Ltd,112290311.6,0.00153706,AUD,,Hesta,0.07802581501629549
Balanced Growth,Cash,,,National Australia Bank Ltd,980224843.5,0.01341761,AUD,,Hesta,0.6811170191223176
Balanced Growth,Cash,,,NBN Co Ltd,80109102.63,0.00109656,AUD,,Hesta,0.055664446325481655
Balanced Growth,Cash,,,Newcastle Greater Mutual Group Ltd,83641107.56,0.0011449,AUD,,Hesta,0.058118688008295054
Balanced Growth,Cash,,,Norfina Ltd,420165032.4,0.00575134,AUD,,Hesta,0.291955010429931
Balanced Growth,Cash,,,Oversea-Chinese Banking Corp Ltd/Sydney,42772996.25,0.00058549,AUD,,Hesta,0.029721156220348408
Balanced Growth,Cash,,,Police & Nurses Ltd,93204291.51,0.00127581,AUD,,Hesta,0.0647637423430584
Balanced Growth,Cash,,,Rabobank Australia Ltd,5488440.822,7.513e-05,AUD,,Hesta,0.0038136867037178723
Balanced Growth,Cash,,,Royal Bank of Canada,74760271.59,0.00102334,AUD,,Hesta,0.051947768587805324
Balanced Growth,Cash,,,Royal Bank of Canada/Sydney,328807991.9,0.00450082,AUD,,Hesta,0.22847484512518698
Balanced Growth,Cash,,,SSB Bank,-133559.0404,-1.83e-06,AUD,,Hesta,-9.280456017546874e-05
Balanced Growth,Cash,,,Standard Chartered Bank/Australia,38568977.68,0.00052794,AUD,,Hesta,0.026799960521503352
Balanced Growth,Cash,,,Sumitomo Mitsui Banking Corp/Sydney,359658420.6,0.00492311,AUD,,Hesta,0.24991151057406633
Balanced Growth,Cash,,,Teachers Mutual Bank Ltd,102637001.2,0.00140493,AUD,,Hesta,0.07131813560181179
Balanced Growth,Cash,,,Telstra Group Ltd,110850547.5,0.00151736,AUD,,Hesta,0.07702538349435016
Balanced Growth,Cash,,,Toronto-Dominion Bank/The,676142.6421,9.26e-06,AUD,,Hesta,0.00046982308594042493
Balanced Growth,Cash,,,UBS AG/Australia,147282349.5,0.00201604,AUD,,Hesta,0.10234031051751379
Balanced Growth,Cash,,,UBS Group AG,4253612.067,5.822e-05,AUD,,Hesta,0.0029556561341915833
Balanced Growth,Cash,,,United Overseas Bank Ltd/Sydney,46346169.58,0.0006344,AUD,,Hesta,0.03220400409293139
Balanced Growth,Cash,,,Westpac Banking Corp,387571510.6,0.00530519,AUD,,Hesta,0.2693071428939005
Balanced Growth,Cash,,,JPMorgan Chase & Co,3015123.879,4.127e-05,BRL,,Hesta,0.0020950827785757905
Balanced Growth,Cash,,,Barclays Bank PLC,1448911.468,1.983e-05,CAD,,Hesta,0.0010067876432641155
Balanced Growth,Cash,,,Citigroup Inc,-199522.8195,-2.73e-06,CAD,,Hesta,-0.00013864001607986204
Balanced Growth,Cash,,,Goldman Sachs Group Inc/The,-203698.1989,-2.79e-06,CAD,,Hesta,-0.00014154131162393146
Balanced Growth,Cash,,,JPMorgan Chase & Co,7928774.454,0.00010853,CAD,,Hesta,0.005509371913201934
Balanced Growth,Cash,,,Merrill Lynch,-19748.74558,-2.7e-07,CAD,,Hesta,-1.3722572744458955e-05
Balanced Growth,Cash,,,Royal Bank of Canada,-269.794033,0.0,CAD,,Hesta,-1.8746852699408062e-07
Balanced Growth,Cash,,,Barclays Bank PLC,54344.94509,7.4e-07,CHF,,Hesta,3.776201679596262e-05
Balanced Growth,Cash,,,Citigroup Inc,43370.87613,5.9e-07,CHF,,Hesta,3.0136597804347403e-05
Balanced Growth,Cash,,,JPMorgan Chase & Co,18526572.51,0.0002536,CHF,,Hesta,0.012873336078187938
Balanced Growth,Cash,,,JPMorgan Chase & Co,-931.411296,-1e-08,CLP,,Hesta,-6.471985378815535e-07
Balanced Growth,Cash,,,JPMorgan Chase & Co,44490.4635,6.1e-07,CNY,,Hesta,3.091455198206295e-05
Balanced Growth,Cash,,,JPMorgan Chase & Co,529.405809,1e-08,COP,,Hesta,3.6786183182687207e-07
Balanced Growth,Cash,,,JPMorgan Chase & Co,75402.5109,1.03e-06,CZK,,Hesta,5.239403367411802e-05
Balanced Growth,Cash,,,JPMorgan Chase & Co,1794550.766,2.456e-05,DKK,,Hesta,0.0012469578551358067
Balanced Growth,Cash,,,JPMorgan Chase & Co,51.94276,0.0,EGP,,Hesta,3.6092839403928e-08
Balanced Growth,Cash,,,Barclays Bank PLC,18058340.75,0.00024719,EUR,,Hesta,0.012547981520257271
Balanced Growth,Cash,,,Citigroup Inc,-1058829.885,-1.449e-05,EUR,,Hesta,-0.0007357363566238019
Balanced Growth,Cash,,,Credit Suisse Group AG,0.029429,0.0,EUR,,Hesta,2.0448974425274995e-11
Balanced Growth,Cash,,,Goldman Sachs Group Inc/The,-19964.22777,-2.7e-07,EUR,,Hesta,-1.3872302255907266e-05
Balanced Growth,Cash,,,JPMorgan Chase & Co,-10681281.53,-0.00014621,EUR,,Hesta,-0.007421973320062936
Balanced Growth,Cash,,,Macquarie Group Ltd,-1.47,0.0,EUR,,Hesta,-1.0214411772453784e-09
