Option_Name,Asset_Class,Listing_Status,Management_Type,Name,Dollar_Value,Weighting_Percentage,Currency,Security_Identifier,Super_Fund,Weighting_Percentage_Clean
High Growth,Cash,,,JPMorgan Chase & Co,793.6902,2e-07,AED,,Hesta,9.912343214576069e-06
High Growth,Cash,,,Australia & New Zealand Banking Group Ltd,10100129.79,0.00248246,AUD,,Hesta,0.12613983767248746
High Growth,Cash,,,Australia Treasury Bill,7147954.242,0.00175686,AUD,,Hesta,0.08927031696849592
High Growth,Cash,,,Bank of America Corp,-121981.0989,-2.998e-05,AUD,,Hesta,-0.001523413692128172
High Growth,Cash,,,Bank of Nova Scotia/Australia,1786988.561,0.00043921,AUD,,Hesta,0.022317579248368448
High Growth,Cash,,,Bank of Queensland Ltd,3764653.601,0.00092529,AUD,,Hesta,0.04701650414368441
High Growth,Cash,,,Bendigo & Adelaide Bank Ltd,3957924.384,0.0009728,AUD,,Hesta,0.049430249877782995
High Growth,Cash,,,Canadian Imperial Bank of Commerce/Sydney,1353193.657,0.00033259,AUD,,Hesta,0.016899944038582464
High Growth,Cash,,,Citigroup Inc,2041580.652,0.00050179,AUD,,Hesta,0.02549716264968622
High Growth,Cash,,,Commonwealth Bank of Australia,31470295.8,0.00773492,AUD,,Hesta,0.3930303952774417
High Growth,Cash,,,Cooperatieve Rabobank UA/Australia,4973363.253,0.00122238,AUD,,Hesta,0.062111997218179726
High Growth,Cash,,,Credit Agricole Corporate & Investment Bank SA/Sydney,1786988.561,0.00043921,AUD,,Hesta,0.022317579248368448
High Growth,Cash,,,Credit Union Australia Ltd,5908767.888,0.00145229,AUD,,Hesta,0.07379420242447465
High Growth,Cash,,,Defence Bank Ltd,1015782.991,0.00024966,AUD,,Hesta,0.012686045056774842
High Growth,Cash,,,Goldman Sachs Group Inc/The,1030.826188,2.5e-07,AUD,,Hesta,1.2873918526434009e-05
High Growth,Cash,,,HSBC Holdings PLC,410657.0998,0.00010093,AUD,,Hesta,0.0051286687384070224
High Growth,Cash,,,JPMorgan Chase & Co,27934794.72,0.00686595,AUD,,Hesta,0.3488757614663346
High Growth,Cash,,,Macquarie Bank Ltd,5572863.486,0.00136973,AUD,,Hesta,0.0695991150718641
High Growth,Cash,,,Macquarie Group Ltd,155150.0077,3.813e-05,AUD,,Hesta,0.001937657950251269
High Growth,Cash,,,Mitsubishi UFJ Financial Group Inc,1111520.833,0.00027319,AUD,,Hesta,0.01388170848883795
High Growth,Cash,,,Mizuho Bank Ltd/Sydney,1016109.363,0.00024974,AUD,,Hesta,0.01269012109460374
High Growth,Cash,,,MUFG Bank Ltd/Sydney,1172031.092,0.00028807,AUD,,Hesta,0.014637417019963683
High Growth,Cash,,,MyState Bank Ltd,4050940.727,0.00099566,AUD,,Hesta,0.0505919246929448
High Growth,Cash,,,National Australia Bank Ltd,30981537.42,0.00761479,AUD,,Hesta,0.38692632493417656
High Growth,Cash,,,Newcastle Greater Mutual Group Ltd,2884773.94,0.00070903,AUD,,Hesta,0.03602774658140528
High Growth,Cash,,,Norfina Ltd,15139943.12,0.00372117,AUD,,Hesta,0.1890817254069656
High Growth,Cash,,,Oversea-Chinese Banking Corp Ltd/Sydney,1981770.314,0.00048709,AUD,,Hesta,0.024750195384579756
High Growth,Cash,,,Police & Nurses Ltd,2709753.399,0.00066602,AUD,,Hesta,0.03384192688501394
High Growth,Cash,,,Royal Bank of Canada,3483624.112,0.00085622,AUD,,Hesta,0.04350674586723735
High Growth,Cash,,,Royal Bank of Canada/Sydney,3272321.085,0.00080429,AUD,,Hesta,0.04086779665770592
High Growth,Cash,,,SSB Bank,-7715.999987,-1.9e-06,AUD,,Hesta,-9.636460184944767e-05
High Growth,Cash,,,Standard Chartered Bank/Australia,1786988.561,0.00043921,AUD,,Hesta,0.022317579248368448
High Growth,Cash,,,Sumitomo Mitsui Banking Corp/Sydney,14250216.16,0.00350249,AUD,,Hesta,0.17796998559364627
High Growth,Cash,,,Teachers Mutual Bank Ltd,3735834.344,0.00091821,AUD,,Hesta,0.046656582392637126
High Growth,Cash,,,Telstra Group Ltd,2560701.087,0.00062938,AUD,,Hesta,0.03198042264385022
High Growth,Cash,,,Toronto-Dominion Bank/The,39062.24994,9.6e-06,AUD,,Hesta,0.00048784579693542075
High Growth,Cash,,,UBS AG/Australia,5863967.301,0.00144127,AUD,,Hesta,0.07323469092419597
High Growth,Cash,,,UBS Group AG,214505.2387,5.272e-05,AUD,,Hesta,0.002678941414822767
High Growth,Cash,,,United Overseas Bank Ltd/Sydney,2131873.394,0.00052398,AUD,,Hesta,0.026624822596210906
High Growth,Cash,,,Westpac Banking Corp,14969452.94,0.00367926,AUD,,Hesta,0.18695248508262388
High Growth,Cash,,,JPMorgan Chase & Co,206210.6958,5.068e-05,BRL,,Hesta,0.0025753514296713497
High Growth,Cash,,,Citigroup Inc,-6585.860861,-1.62e-06,CAD,,Hesta,-8.225037075886216e-05
High Growth,Cash,,,JPMorgan Chase & Co,518525.0992,0.00012745,CAD,,Hesta,0.006475824885632332
High Growth,Cash,,,Citigroup Inc,7096.325511,1.74e-06,CHF,,Hesta,8.862552923972591e-05
