Option_Name,Asset_Class,Listing_Status,Management_Type,Name,Dollar_Value,Weighting_Percentage,Currency,Security_Identifier,Super_Fund,Weighting_Percentage_Clean
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,9341.674708,1.803e-05,AED,,Hesta,0.0009045971733150127
Indexed Balanced Growth,Cash,,,Australia & New Zealand Banking Group Ltd,1379513.454,0.00266321,AUD,,Hesta,0.13358460983122789
Indexed Balanced Growth,Cash,,,Australia Treasury Bill,905402.3123,0.00174792,AUD,,Hesta,0.08767425520801556
Indexed Balanced Growth,Cash,,,Bank of America Corp,-17138.33297,-3.309e-05,AUD,,Hesta,-0.0016595833236107888
Indexed Balanced Growth,Cash,,,Bank of Nova Scotia/Australia,226350.5781,0.00043698,AUD,,Hesta,0.021918563804424755
Indexed Balanced Growth,Cash,,,Bank of Queensland Ltd,528933.4784,0.00102113,AUD,,Hesta,0.051219052727511996
Indexed Balanced Growth,Cash,,,Bendigo & Adelaide Bank Ltd,556088.0054,0.00107355,AUD,,Hesta,0.05384855002159678
Indexed Balanced Growth,Cash,,,Canadian Imperial Bank of Commerce/Sydney,183201.6609,0.00035368,AUD,,Hesta,0.017740256407647485
Indexed Balanced Growth,Cash,,,Citigroup Inc,-372988.0579,-0.00072007,AUD,,Hesta,-0.03611814298860686
Indexed Balanced Growth,Cash,,,Commonwealth Bank of Australia,4345665.985,0.00838948,AUD,,Hesta,0.42081075279100805
Indexed Balanced Growth,Cash,,,Cooperatieve Rabobank UA/Australia,693812.842,0.00133943,AUD,,Hesta,0.06718507711956345
Indexed Balanced Growth,Cash,,,Credit Agricole Corporate & Investment Bank SA/Sydney,226350.5781,0.00043698,AUD,,Hesta,0.021918563804424755
Indexed Balanced Growth,Cash,,,Credit Union Australia Ltd,830181.335,0.0016027,AUD,,Hesta,0.0803902632508453
Indexed Balanced Growth,Cash,,,Defence Bank Ltd,142717.4151,0.00027552,AUD,,Hesta,0.013819981354277458
Indexed Balanced Growth,Cash,,,Goldman Sachs Group Inc/The,144.830983,2.8e-07,AUD,,Hesta,1.4024647820164137e-05
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,3754368.508,0.00724796,AUD,,Hesta,0.3635527082752389
Indexed Balanced Growth,Cash,,,Macquarie Bank Ltd,782986.798,0.00151159,AUD,,Hesta,0.07582019994843228
Indexed Balanced Growth,Cash,,,Mitsubishi UFJ Financial Group Inc,156168.573,0.00030149,AUD,,Hesta,0.015122518618150883
Indexed Balanced Growth,Cash,,,Mizuho Bank Ltd/Sydney,142763.2704,0.00027561,AUD,,Hesta,0.013824421733123659
Indexed Balanced Growth,Cash,,,MUFG Bank Ltd/Sydney,164670.2588,0.0003179,AUD,,Hesta,0.015945775815974984
Indexed Balanced Growth,Cash,,,MyState Bank Ltd,569156.7928,0.00109878,AUD,,Hesta,0.055114060597614895
Indexed Balanced Growth,Cash,,,National Australia Bank Ltd,4275377.587,0.00825379,AUD,,Hesta,0.41400440509264624
Indexed Balanced Growth,Cash,,,Newcastle Greater Mutual Group Ltd,405310.4685,0.00078247,AUD,,Hesta,0.03924807013522949
Indexed Balanced Growth,Cash,,,Norfina Ltd,2044295.305,0.00394659,AUD,,Hesta,0.19795848304806457
Indexed Balanced Growth,Cash,,,Oversea-Chinese Banking Corp Ltd/Sydney,251022.7911,0.00048461,AUD,,Hesta,0.024307687257857886
Indexed Balanced Growth,Cash,,,Police & Nurses Ltd,380720.0989,0.000735,AUD,,Hesta,0.03686687195329302
Indexed Balanced Growth,Cash,,,Royal Bank of Canada,432329.6041,0.00083463,AUD,,Hesta,0.04186445685957603
Indexed Balanced Growth,Cash,,,Royal Bank of Canada/Sydney,459760.8061,0.00088759,AUD,,Hesta,0.044520745861866245
Indexed Balanced Growth,Cash,,,Standard Chartered Bank/Australia,226350.5781,0.00043698,AUD,,Hesta,0.021918563804424755
Indexed Balanced Growth,Cash,,,Sumitomo Mitsui Banking Corp/Sydney,1868165.417,0.00360657,AUD,,Hesta,0.1809030188190815
Indexed Balanced Growth,Cash,,,Teachers Mutual Bank Ltd,524884.3755,0.00101331,AUD,,Hesta,0.05082695953734077
Indexed Balanced Growth,Cash,,,Telstra Group Ltd,359778.263,0.00069457,AUD,,Hesta,0.03483897801014987
Indexed Balanced Growth,Cash,,,UBS AG/Australia,823886.8569,0.00159055,AUD,,Hesta,0.0797807400898775
Indexed Balanced Growth,Cash,,,UBS Group AG,21724.64743,4.194e-05,AUD,,Hesta,0.002103697171087929
Indexed Balanced Growth,Cash,,,United Overseas Bank Ltd/Sydney,274806.8649,0.00053053,AUD,,Hesta,0.02661080812236098
Indexed Balanced Growth,Cash,,,Westpac Banking Corp,1989489.459,0.00384079,AUD,,Hesta,0.19265138181382002
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,42886.93236,8.279e-05,BRL,,Hesta,0.004152938204087179
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,26943.458,5.202e-05,CAD,,Hesta,0.0026090585155207013
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,311288.2068,0.00060095,CHF,,Hesta,0.030143463646452102
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,34205.85064,6.604e-05,CNY,,Hesta,0.003312309277187851
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,1.550761,0.0,COP,,Hesta,1.501672945093907e-07
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,13667.5262,2.639e-05,CZK,,Hesta,0.0013234891979423092
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,49570.22879,9.57e-05,DKK,,Hesta,0.004800112425838545
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,374359.4148,0.00072272,EUR,,Hesta,0.036250937761934145
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,383433.8287,0.00074023,GBP,,Hesta,0.03712965484639874
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,86613.63683,0.00016721,HKD,,Hesta,0.008387195390121378
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,6461.225908,1.247e-05,HUF,,Hesta,0.0006256701153938881
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,20330.15621,3.925e-05,ILS,,Hesta,0.001968662195534314
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,8602.795573,1.661e-05,INR,,Hesta,0.0008330481205129439
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,171588.9532,0.00033126,JPY,,Hesta,0.01661574470195114
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,4141.69279,8e-06,KRW,,Hesta,0.00040105909354397616
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,22749.87316,4.392e-05,KWD,,Hesta,0.0022029744769626026
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,26789.69109,5.172e-05,MXN,,Hesta,0.002594168560937262
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,35991.43885,6.948e-05,NOK,,Hesta,0.003485215966615536
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,8809.124704,1.701e-05,NZD,,Hesta,0.000853027915839718
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,9649.216315,1.863e-05,PLN,,Hesta,0.0009343778365327878
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,11632.96683,2.246e-05,QAR,,Hesta,0.0011264734900984631
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,51636.70734,9.969e-05,SEK,,Hesta,0.005000219014162076
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,21783.33609,4.205e-05,SGD,,Hesta,0.0021093802629960834
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,1984.046643,3.83e-06,TRY,,Hesta,0.00019212432899702077
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,24600.65567,4.749e-05,TWD,,Hesta,0.0023821942292339064
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,3161051.82,0.00610254,USD,,Hesta,0.306099134304632
Indexed Balanced Growth,Cash,,,JPMorgan Chase & Co,8452.753609,1.632e-05,ZAR,,Hesta,0.0008185188695214917
Indexed Balanced Growth,Cash Total,,,,34464822.17,0.06653574,,,Hesta,3.3373866772611436
Indexed Balanced Growth,Fixed Income,,Externally Managed,Macquarie Investment Management Australia Limited,101567306.8,0.1960798,,,Hesta,9.835227783495483
Indexed Balanced Growth,Fixed Income Total,,,,101567306.8,0.1960798,,,Hesta,9.835227783495483
Indexed Balanced Growth,Equity,Listed,,3I,121178.173,0.00023394,,GB00B1YW4409,Hesta,0.011734237830975176
Indexed Balanced Growth,Equity,Listed,,3M,217777.4322,0.00042043,,US88579Y1010,Hesta,0.021088386797627916
