Option_Name,Asset_Class,Listing_Status,Management_Type,Name,Dollar_Value,Weighting_Percentage,Currency,Security_Identifier,Super_Fund,Weighting_Percentage_Clean
International Shares,Cash,,,JPMorgan Chase & Co,773.149788,5.1e-07,AED,,Hesta,2.5719221918225094e-05
International Shares,Cash,,,Australia & New Zealand Banking Group Ltd,-65192.21714,-4.329e-05,AUD,,Hesta,-0.0021686523439424102
International Shares,Cash,,,Australia Treasury Bill,-42786.95793,-2.841e-05,AUD,,Hesta,-0.001423329972131391
International Shares,Cash,,,Bank of America Corp,809.913032,5.4e-07,AUD,,Hesta,2.6942169975050867e-05
International Shares,Cash,,,Bank of Nova Scotia/Australia,-10696.73948,-7.1e-06,AUD,,Hesta,-0.00035583249294968405
International Shares,Cash,,,Bank of Queensland Ltd,-24996.0202,-1.66e-05,AUD,,Hesta,-0.0008315053571433394
International Shares,Cash,,,Bendigo & Adelaide Bank Ltd,-26279.27251,-1.745e-05,AUD,,Hesta,-0.0008741933995514491
International Shares,Cash,,,Canadian Imperial Bank of Commerce/Sydney,-8657.633907,-5.75e-06,AUD,,Hesta,-0.00028800060634677835
International Shares,Cash,,,Citigroup Inc,17626.44531,1.17e-05,AUD,,Hesta,0.0005863526907639117
International Shares,Cash,,,Commonwealth Bank of Australia,-205364.8695,-0.00013636,AUD,,Hesta,-0.006831567097161044
International Shares,Cash,,,Cooperatieve Rabobank UA/Australia,-32787.79,-2.177e-05,AUD,,Hesta,-0.0010907025524763663
International Shares,Cash,,,Credit Agricole Corporate & Investment Bank SA/Sydney,-10696.73948,-7.1e-06,AUD,,Hesta,-0.00035583249294968405
International Shares,Cash,,,Credit Union Australia Ltd,-39232.21023,-2.605e-05,AUD,,Hesta,-0.0013050794773649098
International Shares,Cash,,,Defence Bank Ltd,-6744.453769,-4.48e-06,AUD,,Hesta,-0.00022435769354711463
International Shares,Cash,,,Goldman Sachs Group Inc/The,-6.844335,0.0,AUD,,Hesta,-2.2768029362464901e-07
International Shares,Cash,,,HSBC Holdings PLC,55466.69986,3.683e-05,AUD,,Hesta,0.0018451280526910327
International Shares,Cash,,,JPMorgan Chase & Co,8319588.669,0.00552409,AUD,,Hesta,0.2767553591392331
International Shares,Cash,,,Macquarie Bank Ltd,-37001.91918,-2.457e-05,AUD,,Hesta,-0.0012308877083862687
International Shares,Cash,,,Mitsubishi UFJ Financial Group Inc,-7380.120497,-4.9e-06,AUD,,Hesta,-0.0002455034713733695
International Shares,Cash,,,Mizuho Bank Ltd/Sydney,-6746.62077,-4.48e-06,AUD,,Hesta,-0.00022442977994030914
International Shares,Cash,,,MUFG Bank Ltd/Sydney,-7781.88805,-5.17e-06,AUD,,Hesta,-0.00025886847388068343
International Shares,Cash,,,MyState Bank Ltd,-26896.8694,-1.786e-05,AUD,,Hesta,-0.0008947380750030262
International Shares,Cash,,,National Australia Bank Ltd,-202043.2226,-0.00013415,AUD,,Hesta,-0.006721070819362046
International Shares,Cash,,,Newcastle Greater Mutual Group Ltd,-19153.91835,-1.272e-05,AUD,,Hesta,-0.0006371648602808823
International Shares,Cash,,,Norfina Ltd,-96608.07799,-6.415e-05,AUD,,Hesta,-0.003213716973712741
International Shares,Cash,,,Oversea-Chinese Banking Corp Ltd/Sydney,-11862.68409,-7.88e-06,AUD,,Hesta,-0.0003946182349034132
International Shares,Cash,,,Police & Nurses Ltd,-17991.84145,-1.195e-05,AUD,,Hesta,-0.0005985077796724052
International Shares,Cash,,,Royal Bank of Canada,-20430.77241,-1.357e-05,AUD,,Hesta,-0.0006796400616403462
