Option_Name,Asset_Class,Listing_Status,Management_Type,Name,Dollar_Value,Weighting_Percentage,Currency,Security_Identifier,Super_Fund,Weighting_Percentage_Clean
Sustainable Growth,Cash,,,JPMorgan Chase & Co,366.904246,1.5e-07,ARS,,Hesta,7.77041480074003e-06
Sustainable Growth,Cash,,,Australia & New Zealand Banking Group Ltd,8136490.542,0.00339152,AUD,,Hesta,0.1723171841779069
Sustainable Growth,Cash,,,Australia Treasury Bill,5357679.281,0.00223324,AUD,,Hesta,0.11346663560470378
Sustainable Growth,Cash,,,Bank of America Corp,-100965.2058,-4.209e-05,AUD,,Hesta,-0.0021382732363039564
Sustainable Growth,Cash,,,Bank of Nova Scotia/Australia,1339419.82,0.00055831,AUD,,Hesta,0.028366658895881365
Sustainable Growth,Cash,,,Bank of Queensland Ltd,3116048.544,0.00129886,AUD,,Hesta,0.06599266699715985
Sustainable Growth,Cash,,,Barclays Bank PLC,-502593.832,-0.0002095,AUD,,Hesta,-0.01064409200359444
Sustainable Growth,Cash,,,Bendigo & Adelaide Bank Ltd,3276021.07,0.00136554,AUD,,Hesta,0.06938061602553432
Sustainable Growth,Cash,,,Canadian Imperial Bank of Commerce/Sydney,1080940.759,0.00045057,AUD,,Hesta,0.022892507143285445
Sustainable Growth,Cash,,,Citigroup Inc,464090.0574,0.00019345,AUD,,Hesta,0.009828646820558324
Sustainable Growth,Cash,,,Commonwealth Bank of Australia,25619406.55,0.01067891,AUD,,Hesta,0.5425759391247166
Sustainable Growth,Cash,,,Cooperatieve Rabobank UA/Australia,4088573.523,0.00170424,AUD,,Hesta,0.08658911027438206
Sustainable Growth,Cash,,,Credit Agricole Corporate & Investment Bank SA/Sydney,1339419.82,0.00055831,AUD,,Hesta,0.028366658895881365
Sustainable Growth,Cash,,,Credit Union Australia Ltd,4890757.432,0.00203861,AUD,,Hesta,0.10357801620110467
Sustainable Growth,Cash,,,Defence Bank Ltd,840775.6587,0.00035046,AUD,,Hesta,0.017806214274403428
Sustainable Growth,Cash,,,Goldman Sachs Group Inc/The,59174.90351,2.467e-05,AUD,,Hesta,0.001253224924702744
Sustainable Growth,Cash,,,HSBC Holdings PLC,-13666.47003,-5.7e-06,AUD,,Hesta,-0.00028943284835952
Sustainable Growth,Cash,,,JPMorgan Chase & Co,13678269.82,0.0057015,AUD,,Hesta,0.2896827480645826
Sustainable Growth,Cash,,,Macquarie Bank Ltd,4612725.365,0.00192272,AUD,,Hesta,0.09768976466940356
Sustainable Growth,Cash,,,Macquarie Group Ltd,788538.9952,0.00032869,AUD,,Hesta,0.016699929603057117
Sustainable Growth,Cash,,,Merrill Lynch,3755.72165,1.57e-06,AUD,,Hesta,7.953986745800636e-05
Sustainable Growth,Cash,,,Mitsubishi UFJ Financial Group Inc,920019.0089,0.00038349,AUD,,Hesta,0.019484455145059105
Sustainable Growth,Cash,,,Mizuho Bank Ltd/Sydney,841045.8009,0.00035057,AUD,,Hesta,0.017811935431822752
Sustainable Growth,Cash,,,MUFG Bank Ltd/Sydney,970104.0699,0.00040437,AUD,,Hesta,0.02054517249443087
Sustainable Growth,Cash,,,MyState Bank Ltd,3353011.803,0.00139763,AUD,,Hesta,0.07101115025277524
Sustainable Growth,Cash,,,National Australia Bank Ltd,25205713.2,0.01050647,AUD,,Hesta,0.5338146098000957
Sustainable Growth,Cash,,,Newcastle Greater Mutual Group Ltd,2387761.688,0.00099529,AUD,,Hesta,0.05056877635881923
Sustainable Growth,Cash,,,Norfina Ltd,12063263.82,0.00502832,AUD,,Hesta,0.25547963740970087
Sustainable Growth,Cash,,,Oversea-Chinese Banking Corp Ltd/Sydney,1485416.581,0.00061916,AUD,,Hesta,0.031458624728662996
Sustainable Growth,Cash,,,Police & Nurses Ltd,2242895.106,0.0009349,AUD,,Hesta,0.047500745816307005
Sustainable Growth,Cash,,,Royal Bank of Canada,2579997.427,0.00107542,AUD,,Hesta,0.054640005972108566
Sustainable Growth,Cash,,,Royal Bank of Canada/Sydney,2708539.068,0.001129,AUD,,Hesta,0.057362301722640195
Sustainable Growth,Cash,,,SSB Bank,-4287.52001,-1.79e-06,AUD,,Hesta,-9.080246224289548e-05
