HC SRI - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Table 1 - Assets HC SRI - Class A Option - Assets,,,,
Portfolio Holdings Information for Investment Option HC SRI - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ANZ Bank,AUD,,"565,162",0.09%
Australian Govt,AUD,,"3,602,115",0.57%
BNSC,AUD,,"553,484",0.09%
CABC,AUD,,"273,960",0.04%
CIBC,AUD,,"390,655",0.06%
Citigroup Inc,AUD,,"1,968,452",0.31%
Citigroup Inc,CAD,,"14,502",0.00%
Citigroup Inc,CHF,,119,0.00%
Citigroup Inc,DKK,,46,0.00%
Citigroup Inc,EUR,,"5,323",0.00%
Citigroup Inc,GBP,,"3,215",0.00%
Citigroup Inc,HKD,,"7,292",0.00%
Citigroup Inc,ILS,,414,0.00%
Citigroup Inc,JPY,,"34,722",0.01%
Citigroup Inc,NOK,,5,0.00%
Citigroup Inc,NZD,,"5,882",0.00%
Citigroup Inc,SEK,,7,0.00%
Citigroup Inc,SGD,,71,0.00%
Citigroup Inc,USD,,"858,874",0.14%
DBSN,AUD,,"1,286,217",0.21%
Macquarie Bank,AUD,,"180,793",0.03%
Macquarie Bank,CAD,,1,0.00%
Macquarie Bank,EUR,,"-4,296",0.00%
Macquarie Bank,JPY,,-884,0.00%
Macquarie Bank,USD,,"112,177",0.02%
Mizho Bank,AUD,,"139,552",0.02%
NBN Co,AUD,,"3,425,738",0.55%
National Australia Bank,AUD,,,0.00%
Norfina,AUD,,"277,128",0.04%
OCBC,AUD,,"1,508,517",0.24%
RANE,AUD,,"2,160,252",0.34%
Royal Bank of Canada,AUD,,"4,430,106",0.71%
SMBC,AUD,,"1,020,751",0.16%
STCB,AUD,,"276,953",0.04%
SUMIT,AUD,,"464,735",0.07%
Suncorp Metway,AUD,,"1,843,290",0.29%
Toronto Dominion Bank,AUD,,"895,017",0.14%
UOBL,AUD,,"3,249,014",0.52%
Westpac Banking Corporation,AUD,,"5,979,779",0.95%
Total,,,"35,529,138",5.66%
Fixed Income,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
BlackRock Investment Management (Australia) Ltd,,,"41,096,685",6.55%
Total,,,"41,096,685",6.55%
Listed Equity,,,,
Name/kind of investment item,Security Identifier,Units held,Value (AUD),Weighting (%)
A2 MILK CO LTD ATM,NZATME0002S8,"77,815.04","623,298",0.10%
