HC SRI Defensive - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Portfolio Holdings Information for Investment Option HC SRI Defensive - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
ANZ Bank,AUD,,"163,436",0.78%
Australian Govt,AUD,,"1,041,674",4.98%
BNSC,AUD,,"160,059",0.77%
CABC,AUD,,"79,225",0.38%
CIBC,AUD,,"112,971",0.54%
Citigroup Inc,AUD,,"30,413",0.15%
Citigroup Inc,CAD,,129,0.00%
Citigroup Inc,CHF,,1,0.00%
Citigroup Inc,DKK,,,0.00%
Citigroup Inc,EUR,,48,0.00%
Citigroup Inc,GBP,,29,0.00%
Citigroup Inc,HKD,,65,0.00%
Citigroup Inc,ILS,,4,0.00%
Citigroup Inc,JPY,,310,0.00%
Citigroup Inc,NOK,,,0.00%
Citigroup Inc,NZD,,53,0.00%
Citigroup Inc,SEK,,,0.00%
Citigroup Inc,SGD,,1,0.00%
Citigroup Inc,USD,,"7,573",0.04%
DBSN,AUD,,"371,954",1.78%
Macquarie Bank,AUD,,"2,366",0.01%
Macquarie Bank,CAD,,,0.00%
Macquarie Bank,EUR,,-38,0.00%
Macquarie Bank,JPY,,-8,0.00%
Macquarie Bank,USD,,"1,001",0.00%
Mizho Bank,AUD,,"40,356",0.19%
NBN Co,AUD,,"990,669",4.74%
National Australia Bank,AUD,,,0.00%
Norfina,AUD,,"80,141",0.38%
OCBC,AUD,,"436,239",2.09%
RANE,AUD,,"624,710",2.99%
Royal Bank of Canada,AUD,,"1,281,116",6.13%
SMBC,AUD,,"295,185",1.41%
STCB,AUD,,"80,090",0.38%
SUMIT,AUD,,"134,394",0.64%
Suncorp Metway,AUD,,"533,050",2.55%
Toronto Dominion Bank,AUD,,"258,825",1.24%
UOBL,AUD,,"939,563",4.49%
Westpac Banking Corporation,AUD,,"1,729,257",8.27%
Total,,,"9,394,860",44.92%
Fixed Income,,,,
Investment in non?associated entities;,,,,
Held directly or by associated entities or by PSTs,,,,
Externally managed,,,,
Name of Fund Manager,,,Value (AUD),Weighting (%)
BlackRock Investment Management (Australia) Ltd,,,"6,603,463",31.57%
Total,,,"6,603,463",31.57%
Listed Equity,,,,
Name/kind of investment item,Security Identifier,Units held,Value (AUD),Weighting (%)
A2 MILK CO LTD ATM,NZATME0002S8,781.6,"6,261",0.03%
ABBOTT LABORATORIES COM NPV,US0028241000,21.08,"4,374",0.02%
ABBVIE INC COM USD0.01,US00287Y1091,36.04,"10,209",0.05%
ACCENTURE PLC-CL A CLS'A'USD0.0000225,IE00B4BNMY34,10.71,"4,885",0.02%
ADIDAS AG NPV (REGD),DE000A1EWWW0,2.1,745,0.00%
ADOBE INC,US00724F1012,7.53,"4,445",0.02%
ADV MICRO DEVICES INC COM USD0.01,US0079031078,20.67,"4,475",0.02%
ADVANTEST CORP NPV,JP3122400009,11.32,"1,275",0.01%
AEGON LTD,BMG0112X1056,131.38,"1,447",0.01%
AFLAC INC COM USD0.10,US0010551028,61.91,"9,963",0.05%
AIA GROUP LTD USD1.00,HK0000069689,228.53,"3,127",0.01%
AIB GROUP PLC,IE00BF0L3536,166.74,"2,086",0.01%
AIRBNB INC,US0090661010,13.46,"2,718",0.01%
AKAMAI TECHNOLOGIES INC COM STK USD0.01,US00971T1016,20.45,"2,489",0.01%
ALCON INC,CH0432492467,11.27,"1,516",0.01%
ALEXANDRIA REAL ESTATE EQUIT COM STK USD0.01,US0152711091,7.36,815,0.00%
ALIGN TECHNOLOGY INC COM USD0.0001,US0162551016,3.52,"1,016",0.00%
ALLIANZ SE-REG ALV,DE0008404005,4.31,"2,655",0.01%
ALNYLAM PHARMACEUTICALS INC COM USD0.01,US02043Q1076,4.23,"2,105",0.01%
ALPHABET INC-CL A GOOGL,US02079K3059,54.6,"14,682",0.07%
ALPHABET INC-CL C GOOG,US02079K1079,97.46,"26,380",0.13%
ALSTOM EUR7.00,FR0010220475,41.95,"1,488",0.01%
AMERICAN EXPRESS CO COM USD0.20,US0258161092,16.21,"7,889",0.04%
AMERICAN HOMES 4 RENT- A AMH,US02665T3068,83.19,"4,579",0.02%
AMERICAN INTERNATIONAL GROUP COM USD2.50,US0268747849,47.02,"6,141",0.03%
AMERICAN WATER WORKS CO INC COM STK USD0.01,US0304201033,38.63,"8,200",0.04%
AMERIPRISE FINANCIAL INC COM STK USD0.01,US03076C1062,7.97,"6,489",0.03%
AMGEN INC COM USD0.0001,US0311621009,11.56,"4,925",0.02%
AMP LTD NPV(POST RECON),AU000000AMP6,"2,781.67","3,505",0.02%
ANALOG DEVICES INC COM USD0.16 2/3,US0326541051,7.68,"2,791",0.01%
ANTOFAGASTA PLC ORD GBP0.05,GB0000456144,74.67,"2,825",0.01%
ANZ GROUP HOLDINGS LTD ANZ,AU000000ANZ3,"1,670.96","48,725",0.23%
AON PLC,IE00BLP1HW54,6.19,"3,371",0.02%
APOLLO GLOBAL MANAGEMENT INC,US03769M1062,5.15,"1,114",0.01%
APPLE INC,US0378331005,201.5,"63,082",0.30%
APPLIED MATERIALS INC COM USD0.01,US0382221051,16.18,"4,520",0.02%
APPLOVIN CORP-CLASS A,US03831W1080,4.67,"2,494",0.01%
