HC SRI High Growth - Class A Option,,,,
HOSTPLUS,,,,
,,,,
Table 1 - Assets HC SRI High Growth - Class A Option - Assets,,,,
Portfolio Holdings Information for Investment Option HC SRI High Growth - Class A Option - Assets,,,,
Cash,,,,
Name of Institution,Currency,,Value (AUD),Weighting (%)
Citigroup Inc,AUD,,"441,451",0.33%
Citigroup Inc,CAD,,"5,265",0.00%
Citigroup Inc,CHF,,43,0.00%
Citigroup Inc,DKK,,17,0.00%
Citigroup Inc,EUR,,"1,933",0.00%
Citigroup Inc,GBP,,"1,167",0.00%
Citigroup Inc,HKD,,"2,647",0.00%
Citigroup Inc,ILS,,150,0.00%
Citigroup Inc,JPY,,"12,605",0.01%
Citigroup Inc,NOK,,2,0.00%
Citigroup Inc,NZD,,"2,135",0.00%
Citigroup Inc,SEK,,3,0.00%
Citigroup Inc,SGD,,26,0.00%
Citigroup Inc,USD,,"310,115",0.23%
Macquarie Bank,AUD,,"66,681",0.05%
Macquarie Bank,CAD,,,0.00%
Macquarie Bank,EUR,,"-1,560",0.00%
Macquarie Bank,JPY,,-321,0.00%
Macquarie Bank,USD,,"40,724",0.03%
Total,,,"883,083",0.66%
Listed Equity,,,,
Name/kind of investment item,Security Identifier,Units held,Value (AUD),Weighting (%)
A2 MILK CO LTD ATM,NZATME0002S8,"29,016.37","232,421",0.17%
ABBOTT LABORATORIES COM NPV,US0028241000,857.06,"177,873",0.13%
ABBVIE INC COM USD0.01,US00287Y1091,"1,465.69","415,140",0.31%
ACCENTURE PLC-CL A CLS'A'USD0.0000225,IE00B4BNMY34,435.54,"198,641",0.15%
ADIDAS AG NPV (REGD),DE000A1EWWW0,85.39,"30,277",0.02%
ADOBE INC,US00724F1012,306.2,"180,762",0.13%
ADV MICRO DEVICES INC COM USD0.01,US0079031078,840.32,"181,951",0.14%
ADVANTEST CORP NPV,JP3122400009,460.45,"51,827",0.04%
AEGON LTD,BMG0112X1056,"5,342.25","58,830",0.04%
AFLAC INC COM USD0.10,US0010551028,"2,517.61","405,138",0.30%
AIA GROUP LTD USD1.00,HK0000069689,"9,292.70","127,167",0.09%
