Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,_status
Cash,-,STATE STREET BANK AND TRUST COMPANY,"$39,353,399",0.62%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,STATE STREET BANK AND TRUST COMPANY,"$17,588,366",0.28%,-,USD,,Rest,High Growth:31-12-25,kept
Cash,-,MACQUARIE GROUP LTD.,"$1,464,842",0.02%,-,USD,,Rest,High Growth:31-12-25,kept
Cash,-,SUMITOMO MITSUI BANKING CORP.,"$856,458",0.01%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,MACQUARIE GROUP LTD.,"$755,763",0.01%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,UBS GROUP AG,"$677,919",0.01%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD.,"$656,669",0.01%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,OVERSEAS-CHINESE BANKING CORP. LTD.,"$550,962",0.01%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,STATE STREET BANK AND TRUST COMPANY,"$489,057",0.01%,-,EUR,,Rest,High Growth:31-12-25,kept
Cash,-,NBN CO. LTD.,"$458,933",0.01%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,UNITED OVERSEAS BANK LTD.,"$427,090",0.01%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,STATE STREET BANK AND TRUST COMPANY,"$426,021",0.01%,-,CAD,,Rest,High Growth:31-12-25,kept
Cash,-,PACCAR FINANCIAL PTY. LTD.,"$397,600",0.01%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,JPMORGAN CHASE & CO,"$378,906",0.01%,-,USD,,Rest,High Growth:31-12-25,kept
Cash,-,MACQUARIE GROUP LTD.,"$271,478",0.00%,-,EUR,,Rest,High Growth:31-12-25,kept
Cash,-,TOYOTA FINANCE AUSTRALIA LIMITED,"$214,264",0.00%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,BANK OF CHINA LTD.,"$170,333",0.00%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,STOCKLAND TRUST MANAGEMENT LTD,"$152,856",0.00%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,NATIONAL AUSTRALIA BANK LTD.,"$149,975",0.00%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,CANADIAN IMPERIAL BANK OF COMMERCE,"$106,656",0.00%,-,AUD,,Rest,High Growth:31-12-25,kept
Cash,-,STATE STREET BANK AND TRUST COMPANY,"$93,223",0.00%,-,GBP,,Rest,High Growth:31-12-25,kept
Cash,-,STATE STREET BANK AND TRUST COMPANY,"$81,868",0.00%,-,BRL,,Rest,High Growth:31-12-25,kept
Cash,-,STATE STREET BANK AND TRUST COMPANY,"$78,312",0.00%,-,MYR,,Rest,High Growth:31-12-25,kept
Cash,-,STATE STREET BANK AND TRUST COMPANY,"$61,358",0.00%,-,MXN,,Rest,High Growth:31-12-25,kept
Cash,-,STATE STREET BANK AND TRUST COMPANY,"$58,681",0.00%,-,HKD,,Rest,High Growth:31-12-25,kept
Cash,-,"CITIGROUP, INC.","$45,947",0.00%,-,USD,,Rest,High Growth:31-12-25,kept
