Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Cash,-,STATE STREET BANK AND TRUST COMPANY,519522371.0,0.64,-,AUD,,Rest,Growth,0.6614772587703563
Cash,-,STATE STREET BANK AND TRUST COMPANY,324487516.0,0.4,-,USD,,Rest,Growth,0.4131508565756875
Cash,-,SUMITOMO MITSUI BANKING CORP.,186360100.0,0.23,-,AUD,,Rest,Growth,0.23728134720144606
Cash,-,NBN CO. LTD.,151808522.0,0.19,-,AUD,,Rest,Growth,0.19328885644953167
Cash,-,PACCAR FINANCIAL PTY. LTD.,139394628.0,0.17,-,AUD,,Rest,Growth,0.1774829758327261
Cash,-,UNITED OVERSEAS BANK LTD.,131528054.0,0.16,-,AUD,,Rest,Growth,0.1674669301417232
Cash,-,STANDARD CHARTERED PLC,99786182.0,0.12,-,AUD,,Rest,Growth,0.1270518726757964
Cash,-,OVERSEAS-CHINESE BANKING CORP. LTD.,71826388.0,0.09,-,AUD,,Rest,Growth,0.09145231253499961
Cash,-,NATIONAL AUSTRALIA BANK LTD.,64744882.0,0.08,-,AUD,,Rest,Growth,0.08243584772362034
Cash,-,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD.,59740859.0,0.07,-,AUD,,Rest,Growth,0.07606451974693958
Cash,-,TOYOTA FINANCE AUSTRALIA LIMITED,55940528.0,0.07,-,AUD,,Rest,Growth,0.07122578195118062
Cash,-,BANK OF CHINA LTD.,43746512.0,0.05,-,AUD,,Rest,Growth,0.0556998590509676
Cash,-,SCENTRE GROUP TRUST 2,40015629.0,0.05,-,AUD,,Rest,Growth,0.050949545306282054
Cash,-,AUSTRALIA AND NEW ZEALAND BANKING GROUP LIMITED,38155398.0,0.05,-,AUD,,Rest,Growth,0.048581022656927965
Cash,-,WARTSILA OYJ ABP,32057344.0,0.04,-,AUD,,Rest,Growth,0.04081672939658325
Cash,-,AIRSERVICES AUSTRALIA,27949364.0,0.03,-,AUD,,Rest,Growth,0.035586280235649144
Cash,-,STATE STREET BANK AND TRUST COMPANY,27232653.0,0.03,-,EUR,,Rest,Growth,0.03467373430100919
Cash,-,SEMPRA,24403119.0,0.03,-,USD,,Rest,Growth,0.03107105518958836
Cash,-,STOCKLAND TRUST MANAGEMENT LTD,24029290.0,0.03,-,AUD,,Rest,Growth,0.030595080725403324
Cash,-,SCENTRE GROUP TRUST,12101583.0,0.01,-,AUD,,Rest,Growth,0.015408233401410053
Cash,-,STATE STREET BANK AND TRUST COMPANY,9354239.0,0.01,-,JPY,,Rest,Growth,0.01191020197973873
Cash,-,STATE STREET BANK AND TRUST COMPANY,7116920.0,0.01,-,CAD,,Rest,Growth,0.009061555373306388
Cash,-,"SPIRE, INC.",6803072.0,0.01,-,USD,,Rest,Growth,0.008661951186270216
Cash,-,"ENBRIDGE, INC.",6312177.0,0.01,-,USD,,Rest,Growth,0.008036923474144853
Cash,-,"ONEOK, INC.",6252221.0,0.01,-,USD,,Rest,Growth,0.007960585028024627
Cash,-,STATE STREET BANK AND TRUST COMPANY,4649494.0,0.01,-,GBP,,Rest,Growth,0.005919927066604065
Cash,-,AMRIZE FINANCE U.S. LLC,4075029.0,0.01,-,USD,,Rest,Growth,0.005188494591948392
Cash,-,STATE STREET BANK AND TRUST COMPANY,2024237.0,0.0,-,INR,,Rest,Growth,0.002577341836664681
