Asset_Class,Management_Type,Name,Dollar_Value,Weighting_Percentage,Security_Identifier,Currency,Listing_Status,Super_Fund,Option_Name,Weighting_Percentage_Clean
Cash,-,STATE STREET BANK AND TRUST COMPANY,35850975.0,0.64,-,AUD,,Rest,High Growth,0.6498481376566271
Cash,-,STATE STREET BANK AND TRUST COMPANY,21977263.0,0.39,-,USD,,Rest,High Growth,0.39836806199384805
Cash,-,STATE STREET BANK AND TRUST COMPANY,1170266.0,0.02,-,EUR,,Rest,High Growth,0.021212677776904824
Cash,-,SEMPRA,934428.0,0.02,-,USD,,Rest,High Growth,0.016937790271372166
Cash,-,STATE STREET BANK AND TRUST COMPANY,638192.0,0.01,-,JPY,,Rest,High Growth,0.011568106102201074
Cash,-,SUMITOMO MITSUI BANKING CORP.,625663.0,0.01,-,AUD,,Rest,High Growth,0.011341000777542543
Cash,-,NBN CO. LTD.,509664.0,0.01,-,AUD,,Rest,High Growth,0.009238359660528819
Cash,-,PACCAR FINANCIAL PTY. LTD.,467987.0,0.01,-,AUD,,Rest,High Growth,0.008482906821851063
Cash,-,STATE STREET BANK AND TRUST COMPANY,465899.0,0.01,-,CAD,,Rest,High Growth,0.008445058955470106
Cash,-,UNITED OVERSEAS BANK LTD.,441576.0,0.01,-,AUD,,Rest,High Growth,0.008004171190152088
Cash,-,STANDARD CHARTERED PLC,335010.0,0.01,-,AUD,,Rest,High Growth,0.006072516147645821
Cash,-,STATE STREET BANK AND TRUST COMPANY,276618.0,0.0,-,GBP,,Rest,High Growth,0.005014080987819742
Cash,-,"SPIRE, INC.",260499.0,0.0,-,USD,,Rest,High Growth,0.004721901984852956
Cash,-,"ENBRIDGE, INC.",241702.0,0.0,-,USD,,Rest,High Growth,0.004381180555560402
Cash,-,OVERSEAS-CHINESE BANKING CORP. LTD.,241142.0,0.0,-,AUD,,Rest,High Growth,0.004371029786799226
Cash,-,"ONEOK, INC.",239406.0,0.0,-,USD,,Rest,High Growth,0.004339562403639579
Cash,-,INDUSTRIAL & COMMERCIAL BANK OF CHINA LTD.,200567.0,0.0,-,AUD,,Rest,High Growth,0.003635552210933642
Cash,-,TOYOTA FINANCE AUSTRALIA LIMITED,187807.0,0.0,-,AUD,,Rest,High Growth,0.003404259694161126
Cash,-,STATE STREET BANK AND TRUST COMPANY,182359.0,0.0,-,INR,,Rest,High Growth,0.003305507215213111
Cash,-,SCENTRE GROUP TRUST,174972.0,0.0,-,AUD,,Rest,High Growth,0.003171607699429523
